"storenum","OPENDATE","date_super","conversion","st","county","STREETADDR","STRCITY","STRSTATE","ZIPCODE","type_store"
1,7/1/1962 ,3/1/1997 ,1,"05","007","2110 WEST WALNUT","Rogers","AR","72756","Supercenter"
2,8/1/1964 ,3/1/1996 ,1,"05","009","1417 HWY 62/65 N","Harrison","AR","72601","Supercenter"
3,4/12/1988 ,3/1/2000 ,1,"13","011","30983 HWY 441 SOUTH","Commerce","GA","30529","Supercenter"
4,8/1/1965 ,3/1/2002 ,1,"05","007","2901 HWY 412 EAST","Siloam Springs","AR","72761","Supercenter"
5,5/1/1972 ,3/1/1994 ,1,"05","045","1155 HWY 65 NORTH","Conway","AR","72032","Supercenter"
7,10/1/1967 ,,,"05","119","3801 CAMP ROBINSON RD.","North Little Rock","AR","72118","Wal-Mart"
8,10/1/1967 ,3/1/1993 ,1,"05","029","1621 NORTH BUSINESS 9","Morrilton","AR","72110","Supercenter"
9,3/1/1968 ,3/1/2000 ,1,"29","143","1303 SOUTH MAIN","Sikeston","MO","63801","Supercenter"
10,7/1/1968 ,3/1/1998 ,1,"40","021","2020 SOUTH MUSKOGEE","Tahlequah","OK","74464","Supercenter"
11,3/1/1968 ,2/20/2002 ,1,"05","005","65 WAL-MART DRIVE","Mountain Home","AR","72653","Supercenter"
12,7/1/1968 ,3/1/1994 ,1,"40","131","1500 LYNN RIGGS BLVD","Claremore","OK","74017","Supercenter"
13,11/1/1968 ,3/1/1996 ,1,"29","097","2705 GRAND AVE","Carthage","MO","64836","Supercenter"
14,4/1/1969 ,3/1/1999 ,1,"29","105","1800 S JEFFERSON","Lebanon","MO","65536","Supercenter"
15,5/1/1969 ,3/1/1995 ,1,"29","091","1310 PREACHER RD/HGWY 160","West Plains","MO","65775","Supercenter"
16,4/1/1969 ,3/1/2000 ,1,"05","033","2214 FAYETTEVILLE RD","Van Buren","AR","72956","Supercenter"
17,5/1/1969 ,3/1/1993 ,1,"29","145","3200 LUSK DRIVE","Neosho","MO","64850","Supercenter"
18,11/1/1969 ,,,"05","067","2500 MALCOLM ST/HWY 67 NORTH","Newport","AR","72112","Wal-Mart"
19,4/3/1990 ,4/3/1990 ,0,"29","023","333 S WESTWOOD","Poplar Bluff","MO","63901","Supercenter"
20,10/1/1970 ,3/1/1999 ,1,"29","083","1712 EAST OHIO","Clinton","MO","64735","Supercenter"
21,3/1/1970 ,8/22/2001 ,1,"29","169","185 ST ROBERT BLVD","St. Robert","MO","65584","Supercenter"
22,10/1/1970 ,5/18/2005 ,1,"40","097","4901 SO. MILL ROAD","Pryor","OK","74361","Supercenter"
23,11/1/1970 ,3/1/1994 ,1,"22","061","1201 N SERVICE ROAD EAST","Ruston","LA","71270","Supercenter"
24,4/1/1971 ,3/1/1999 ,1,"05","119","2000 JOHN HARDEN DR","Jacksonville","AR","72076","Supercenter"
