iata,airport,city,state,country,lat,long,cnt
ORD,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417,25129
ATL,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444,21925
DFW,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372,20662
PHX,Phoenix Sky Harbor International,Phoenix,AZ,USA,33.43416667,-112.0080556,17290
DEN,Denver Intl,Denver,CO,USA,39.85840806,-104.6670019,13781
IAH,George Bush Intercontinental,Houston,TX,USA,29.98047222,-95.33972222,13223
SFO,San Francisco International,San Francisco,CA,USA,37.61900194,-122.3748433,12016
LAX,Los Angeles International,Los Angeles,CA,USA,33.94253611,-118.4080744,11797
MCO,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778,10536
CLT,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583,10490
SLC,Salt Lake City Intl,Salt Lake City,UT,USA,40.78838778,-111.9777731,9898
TPA,Tampa International ,Tampa,FL,USA,27.97547222,-82.53325,9182
EWR,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056,8678
LAS,McCarran International,Las Vegas,NV,USA,36.08036111,-115.1523333,8523
PHL,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083,7965
MSP,Minneapolis-St Paul Intl,Minneapolis,MN,USA,44.88054694,-93.2169225,7690
SEA,Seattle-Tacoma Intl,Seattle,WA,USA,47.44898194,-122.3093131,7541
LGA,LaGuardia,New York,NY,USA,40.77724306,-73.87260917,7392
MDW,Chicago Midway,Chicago,IL,USA,41.7859825,-87.75242444,6979
IAD,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972,6779
SAN,San Diego International-Lindbergh ,San Diego,CA,USA,32.73355611,-117.1896567,6233
STL,Lambert-St Louis International,St Louis,MO,USA,38.74768694,-90.35998972,6204
DTW,Detroit Metropolitan-Wayne County,Detroit,MI,USA,42.21205889,-83.34883583,6044
JFK,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556,5945
MIA,Miami International,Miami,FL,USA,25.79325,-80.29055556,5907
BOS,Gen Edw L Logan Intl,Boston,MA,USA,42.3643475,-71.00517917,5627
SMF,Sacramento International,Sacramento,CA,USA,38.69542167,-121.5907669,4943
BWI,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833,4749
SNA,John Wayne /Orange Co,Santa Ana,CA,USA,33.67565861,-117.8682225,4616
MSY,New Orleans International ,New Orleans,LA,USA,29.99338889,-90.25802778,4432
SJC,San Jose International,San Jose,CA,USA,37.36186194,-121.9290089,4367
DCA,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222,4332
PDX,Portland Intl,Portland,OR,USA,45.58872222,-122.5975,4071
RSW,Southwest Florida International,Ft. Myers,FL,USA,26.53616667,-81.75516667,4057
PBI,Palm Beach International,West Palm Beach,FL,USA,26.68316194,-80.09559417,3972
RDU,Raleigh-Durham International,Raleigh,NC,USA,35.87763889,-78.78747222,3896
HOU,William P Hobby,Houston,TX,USA,29.64541861,-95.27888889,3824
SAT,San Antonio International,San Antonio,TX,USA,29.53369444,-98.46977778,3654
FLL,Fort Lauderdale-Hollywood Int'l,Ft. Lauderdale,FL,USA,26.07258333,-80.15275,3616
MCI,Kansas City International,Kansas City,MO,USA,39.29760528,-94.71390556,3403
OAK,Metropolitan Oakland International,Oakland,CA,USA,37.72129083,-122.2207167,3386
PIT,Pittsburgh International,Pittsburgh,PA,USA,40.49146583,-80.23287083,3180
MEM,Memphis International,Memphis,TN,USA,35.04241667,-89.97666667,3058
MKE,General Mitchell International,Milwaukee,WI,USA,42.94722222,-87.89658333,3030
CLE,Cleveland-Hopkins Intl,Cleveland,OH,USA,41.41089417,-81.84939667,3015
JAX,Jacksonville International,Jacksonville,FL,USA,30.49405556,-81.68786111,3005
TUS,Tucson International,Tucson,AZ,USA,32.11608333,-110.9410278,2786
IND,Indianapolis International,Indianapolis,IN,USA,39.71732917,-86.29438417,2136
RNO,Reno/Tahoe International,Reno,NV,USA,39.49857611,-119.7680647,2104
OKC,Will Rogers World,Oklahoma City,OK,USA,35.39308833,-97.60073389,2104
PVD,Theodore F Green State,Providence,RI,USA,41.72399917,-71.42822111,2044
TUL,Tulsa International,Tulsa,OK,USA,36.19837222,-95.88824167,2003
CVG,Cincinnati Northern Kentucky Intl,Covington,KY,USA,39.04614278,-84.6621725,1986
CMH,Port Columbus Intl,Columbus,OH,USA,39.99798528,-82.89188278,1752
SDF,Louisville International-Standiford ,Louisville,KY,USA,38.17438889,-85.736,1716
ONT,Ontario International,Ontario,CA,USA,34.056,-117.6011944,1622
LIT,Adams ,Little Rock,AR,USA,34.72939611,-92.22424556,1620
DAL,Dallas Love ,Dallas,TX,USA,32.84711389,-96.85177222,1502
OMA,Eppley Airfield,Omaha,NE,USA,41.30251861,-95.89417306,1474
ORF,Norfolk International,Norfolk,VA,USA,36.89461111,-76.20122222,1439
DAY,James M Cox Dayton Intl,Dayton,OH,USA,39.90237583,-84.219375,1337
ROC,Greater Rochester Int'l,Rochester,NY,USA,43.11886611,-77.67238389,1327
XNA,Northwest Arkansas Regional,Fayetteville/Springdale/Rogers,AR,USA,36.28186944,-94.30681111,1310
BNA,Nashville International,Nashville,TN,USA,36.12447667,-86.67818222,1299
ABQ,Albuquerque International,Albuquerque,NM,USA,35.04022222,-106.6091944,1258
JAN,Jackson International,Jackson,MS,USA,32.31116667,-90.07588889,1224
ELP,El Paso International,El Paso,TX,USA,31.80666667,-106.3778056,1206
RIC,Richmond International,Richmond,VA,USA,37.50516667,-77.31966667,1199
BDL,Bradley International,Windsor Locks,CT,USA,41.93887417,-72.68322833,1162
MAF,Midland International,Midland,TX,USA,31.94252778,-102.2019139,1103
BTR,"Baton Rouge Metropolitan, Ryan ",Baton Rouge,LA,USA,30.53316083,-91.14963444,1095
TYS,McGhee-Tyson,Knoxville,TN,USA,35.81248722,-83.99285583,1052
COS,City of Colorado Springs Muni,Colorado Springs,CO,USA,38.80580556,-104.70025,1040
PNS,Pensacola Regional,Pensacola,FL,USA,30.47330556,-87.18744444,1035
SYR,Syracuse-Hancock Intl,Syracuse,NY,USA,43.11118694,-76.10631056,1006
BHM,Birmingham International,Birmingham,AL,USA,33.56294306,-86.75354972,956
MHT,Manchester,Manchester,NH,USA,42.93451639,-71.43705583,953
PSP,Palm Springs International,Palm Springs,CA,USA,33.82921556,-116.5062531,949
SRQ,Sarasota Bradenton International,Sarasota,FL,USA,27.39533333,-82.55411111,932
CRP,Corpus Christi International,Corpus Christi,TX,USA,27.77036083,-97.50121528,926
HSV,Huntsville International ,Huntsville,AL,USA,34.6404475,-86.77310944,880
CAE,Columbia Metropolitan,Columbia,SC,USA,33.93884,-81.11953944,840
LFT,Lafayette Regional,Lafayette,LA,USA,30.20527972,-91.987655,818
SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,34.42621194,-119.8403733,800
GEG,Spokane Intl,Spokane,WA,USA,47.61985556,-117.5338425,785
MOB,Mobile Regional,Mobile,AL,USA,30.69141667,-88.24283333,768
ICT,Wichita Mid-Continent,Wichita,KS,USA,37.64995889,-97.43304583,747
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.94052472,-78.73216667,711
DSM,Des Moines International,Des Moines,IA,USA,41.53493306,-93.66068222,708
MDT,Harrisburg Intl,Harrisburg,PA,USA,40.19349528,-76.76340361,702
PWM,Portland International Jetport,Portland,ME,USA,43.64616667,-70.30875,686
MGM,Montgomery Regional Apt,Montgomery,AL,USA,32.30064417,-86.39397611,686
PHF,Newport News/Williamsburg International,Newport News,VA,USA,37.13189556,-76.4929875,675
HPN,Westchester Cty,White Plains,NY,USA,41.06695778,-73.70757444,664
MRY,Monterey Peninsula,Monterey,CA,USA,36.5869825,-121.8429478,658
GRR,Kent County International,Grand Rapids,MI,USA,42.88081972,-85.52276778,656
