Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
2020-03-01,2212965,97,984908,99,86790,100,55825,59,19922,113,786960,98,1636,52
2020-03-02,5329915,96,2209066,99,321569,103,180701,66,30338,102,874619,95,17140,107
2020-03-03,5481103,98,2228608,99,319727,102,190648,69,32767,110,882175,96,17453,109
2020-03-04,5498809,99,2177165,97,311662,99,192689,70,34297,115,905558,98,17136,107
2020-03-05,5496453,99,2244515,100,307597,98,194386,70,33209,112,929298,101,17203,108
2020-03-06,5189447,93,2066743,92,289171,92,205056,74,30970,104,945408,103,15285,96
2020-03-07,2814637,92,1249085,94,106058,98,75838,56,18117,107,827907,95,2445,48
2020-03-08,2120656,93,957163,96,81565,94,60800,64,19477,111,765083,95,1672,53
2020-03-09,4973513,89,2124770,95,277001,88,183953,67,29609,100,860073,93,16122,101
2020-03-10,4867818,87,2111989,94,259324,83,179050,65,31315,105,855585,93,15805,99
2020-03-11,4697122,84,2112967,94,245798,78,175074,63,32198,108,866706,94,15340,96
2020-03-12,4149505,75,1938424,86,197178,63,169547,61,30814,104,881188,96,14169,89
2020-03-13,3484996,63,1715737,77,158582,51,167176,61,26640,90,860419,93,11769,74
2020-03-14,1670665,54,993287,75,44885,42,39701,29,13394,79,631101,72,2135,42
2020-03-15,1157711,51,711555,72,33407,38,32641,35,12480,71,535987,66,1368,43
2020-03-16,2178555,39,1237309,55,119333,38,153262,56,21145,71,708869,77,5741,36
