country;continent;year;lifeExp;pop;iso_alpha
Afghanistan;Asia;1952;28,801;8425333;AFG
Afghanistan;Asia;1957;30,332;9240934;AFG
Afghanistan;Asia;1962;31,997;10267083;AFG
Afghanistan;Asia;1967;34,02;11537966;AFG
Afghanistan;Asia;1972;36,088;13079460;AFG
Afghanistan;Asia;1977;38,438;14880372;AFG
Afghanistan;Asia;1982;39,854;12881816;AFG
Afghanistan;Asia;1987;40,822;13867957;AFG
Afghanistan;Asia;1992;41,674;16317921;AFG
Afghanistan;Asia;1997;41,763;22227415;AFG
Afghanistan;Asia;2002;42,129;25268405;AFG
Afghanistan;Asia;2007;43,828;31889923;AFG
Albania;Europe;1952;55,23;1282697;ALB
Albania;Europe;1957;59,28;1476505;ALB
Albania;Europe;1962;64,82;1728137;ALB
Albania;Europe;1967;66,22;1984060;ALB
Albania;Europe;1972;67,69;2263554;ALB
Albania;Europe;1977;68,93;2509048;ALB
Albania;Europe;1982;70,42;2780097;ALB
Albania;Europe;1987;72;3075321;ALB
Albania;Europe;1992;71,581;3326498;ALB
Albania;Europe;1997;72,95;3428038;ALB
Albania;Europe;2002;75,651;3508512;ALB
Albania;Europe;2007;76,423;3600523;ALB
Algeria;Africa;1952;43,077;9279525;DZA
Algeria;Africa;1957;45,685;10270856;DZA
Algeria;Africa;1962;48,303;11000948;DZA
Algeria;Africa;1967;51,407;12760499;DZA
Algeria;Africa;1972;54,518;14760787;DZA
Algeria;Africa;1977;58,014;17152804;DZA
Algeria;Africa;1982;61,368;20033753;DZA
Algeria;Africa;1987;65,799;23254956;DZA
Algeria;Africa;1992;67,744;26298373;DZA
Algeria;Africa;1997;69,152;29072015;DZA
Algeria;Africa;2002;70,994;31287142;DZA
Algeria;Africa;2007;72,301;33333216;DZA
Angola;Africa;1952;30,015;4232095;AGO
Angola;Africa;1957;31,999;4561361;AGO
Angola;Africa;1962;34;4826015;AGO
Angola;Africa;1967;35,985;5247469;AGO
Angola;Africa;1972;37,928;5894858;AGO
Angola;Africa;1977;39,483;6162675;AGO
Angola;Africa;1982;39,942;7016384;AGO
Angola;Africa;1987;39,906;7874230;AGO
Angola;Africa;1992;40,647;8735988;AGO
Angola;Africa;1997;40,963;9875024;AGO
Angola;Africa;2002;41,003;10866106;AGO
Angola;Africa;2007;42,731;12420476;AGO
Argentina;Americas;1952;62,485;17876956;ARG
Argentina;Americas;1957;64,399;19610538;ARG
Argentina;Americas;1962;65,142;21283783;ARG
Argentina;Americas;1967;65,634;22934225;ARG
Argentina;Americas;1972;67,065;24779799;ARG
Argentina;Americas;1977;68,481;26983828;ARG
Argentina;Americas;1982;69,942;29341374;ARG
Argentina;Americas;1987;70,774;31620918;ARG
Argentina;Americas;1992;71,868;33958947;ARG
Argentina;Americas;1997;73,275;36203463;ARG
Argentina;Americas;2002;74,34;38331121;ARG
Argentina;Americas;2007;75,32;40301927;ARG
Australia;Oceania;1952;69,12;8691212;AUS
Australia;Oceania;1957;70,33;9712569;AUS
Australia;Oceania;1962;70,93;10794968;AUS
Australia;Oceania;1967;71,1;11872264;AUS
Australia;Oceania;1972;71,93;13177000;AUS
Australia;Oceania;1977;73,49;14074100;AUS
Australia;Oceania;1982;74,74;15184200;AUS
Australia;Oceania;1987;76,32;16257249;AUS
Australia;Oceania;1992;77,56;17481977;AUS
Australia;Oceania;1997;78,83;18565243;AUS
Australia;Oceania;2002;80,37;19546792;AUS
Australia;Oceania;2007;81,235;20434176;AUS
Austria;Europe;1952;66,8;6927772;AUT
Austria;Europe;1957;67,48;6965860;AUT
Austria;Europe;1962;69,54;7129864;AUT
Austria;Europe;1967;70,14;7376998;AUT
Austria;Europe;1972;70,63;7544201;AUT
Austria;Europe;1977;72,17;7568430;AUT
Austria;Europe;1982;73,18;7574613;AUT
Austria;Europe;1987;74,94;7578903;AUT
Austria;Europe;1992;76,04;7914969;AUT
Austria;Europe;1997;77,51;8069876;AUT
Austria;Europe;2002;78,98;8148312;AUT
Austria;Europe;2007;79,829;8199783;AUT
Bahrain;Asia;1952;50,939;120447;BHR
Bahrain;Asia;1957;53,832;138655;BHR
Bahrain;Asia;1962;56,923;171863;BHR
Bahrain;Asia;1967;59,923;202182;BHR
Bahrain;Asia;1972;63,3;230800;BHR
Bahrain;Asia;1977;65,593;297410;BHR
Bahrain;Asia;1982;69,052;377967;BHR
Bahrain;Asia;1987;70,75;454612;BHR
Bahrain;Asia;1992;72,601;529491;BHR
Bahrain;Asia;1997;73,925;598561;BHR
Bahrain;Asia;2002;74,795;656397;BHR
Bahrain;Asia;2007;75,635;708573;BHR
Bangladesh;Asia;1952;37,484;46886859;BGD
Bangladesh;Asia;1957;39,348;51365468;BGD
Bangladesh;Asia;1962;41,216;56839289;BGD
Bangladesh;Asia;1967;43,453;62821884;BGD
Bangladesh;Asia;1972;45,252;70759295;BGD
Bangladesh;Asia;1977;46,923;80428306;BGD
Bangladesh;Asia;1982;50,009;93074406;BGD
Bangladesh;Asia;1987;52,819;103764241;BGD
Bangladesh;Asia;1992;56,018;113704579;BGD
Bangladesh;Asia;1997;59,412;123315288;BGD
Bangladesh;Asia;2002;62,013;135656790;BGD
Bangladesh;Asia;2007;64,062;150448339;BGD
Belgium;Europe;1952;68;8730405;BEL
Belgium;Europe;1957;69,24;8989111;BEL
Belgium;Europe;1962;70,25;9218400;BEL
Belgium;Europe;1967;70,94;9556500;BEL
Belgium;Europe;1972;71,44;9709100;BEL
Belgium;Europe;1977;72,8;9821800;BEL
Belgium;Europe;1982;73,93;9856303;BEL
Belgium;Europe;1987;75,35;9870200;BEL
Belgium;Europe;1992;76,46;10045622;BEL
Belgium;Europe;1997;77,53;10199787;BEL
Belgium;Europe;2002;78,32;10311970;BEL
Belgium;Europe;2007;79,441;10392226;BEL
Benin;Africa;1952;38,223;1738315;BEN
Benin;Africa;1957;40,358;1925173;BEN
Benin;Africa;1962;42,618;2151895;BEN
Benin;Africa;1967;44,885;2427334;BEN
Benin;Africa;1972;47,014;2761407;BEN
Benin;Africa;1977;49,19;3168267;BEN
Benin;Africa;1982;50,904;3641603;BEN
Benin;Africa;1987;52,337;4243788;BEN
Benin;Africa;1992;53,919;4981671;BEN
Benin;Africa;1997;54,777;6066080;BEN
Benin;Africa;2002;54,406;7026113;BEN
Benin;Africa;2007;56,728;8078314;BEN
Bolivia;Americas;1952;40,414;2883315;BOL
Bolivia;Americas;1957;41,89;3211738;BOL
Bolivia;Americas;1962;43,428;3593918;BOL
Bolivia;Americas;1967;45,032;4040665;BOL
Bolivia;Americas;1972;46,714;4565872;BOL
Bolivia;Americas;1977;50,023;5079716;BOL
Bolivia;Americas;1982;53,859;5642224;BOL
Bolivia;Americas;1987;57,251;6156369;BOL
Bolivia;Americas;1992;59,957;6893451;BOL
Bolivia;Americas;1997;62,05;7693188;BOL
Bolivia;Americas;2002;63,883;8445134;BOL
Bolivia;Americas;2007;65,554;9119152;BOL
Bosnia and Herzegovina;Europe;1952;53,82;2791000;BIH
Bosnia and Herzegovina;Europe;1957;58,45;3076000;BIH
Bosnia and Herzegovina;Europe;1962;61,93;3349000;BIH
Bosnia and Herzegovina;Europe;1967;64,79;3585000;BIH
Bosnia and Herzegovina;Europe;1972;67,45;3819000;BIH
Bosnia and Herzegovina;Europe;1977;69,86;4086000;BIH
Bosnia and Herzegovina;Europe;1982;70,69;4172693;BIH
Bosnia and Herzegovina;Europe;1987;71,14;4338977;BIH
Bosnia and Herzegovina;Europe;1992;72,178;4256013;BIH
Bosnia and Herzegovina;Europe;1997;73,244;3607000;BIH
Bosnia and Herzegovina;Europe;2002;74,09;4165416;BIH
Bosnia and Herzegovina;Europe;2007;74,852;4552198;BIH
Botswana;Africa;1952;47,622;442308;BWA
Botswana;Africa;1957;49,618;474639;BWA
Botswana;Africa;1962;51,52;512764;BWA
Botswana;Africa;1967;53,298;553541;BWA
Botswana;Africa;1972;56,024;619351;BWA
Botswana;Africa;1977;59,319;781472;BWA
Botswana;Africa;1982;61,484;970347;BWA
Botswana;Africa;1987;63,622;1151184;BWA
Botswana;Africa;1992;62,745;1342614;BWA
Botswana;Africa;1997;52,556;1536536;BWA
Botswana;Africa;2002;46,634;1630347;BWA
Botswana;Africa;2007;50,728;1639131;BWA
Brazil;Americas;1952;50,917;56602560;BRA
Brazil;Americas;1957;53,285;65551171;BRA
Brazil;Americas;1962;55,665;76039390;BRA
Brazil;Americas;1967;57,632;88049823;BRA
Brazil;Americas;1972;59,504;100840058;BRA
Brazil;Americas;1977;61,489;114313951;BRA
Brazil;Americas;1982;63,336;128962939;BRA
Brazil;Americas;1987;65,205;142938076;BRA
Brazil;Americas;1992;67,057;155975974;BRA
Brazil;Americas;1997;69,388;168546719;BRA
Brazil;Americas;2002;71,006;179914212;BRA
Brazil;Americas;2007;72,39;190010647;BRA
Bulgaria;Europe;1952;59,6;7274900;BGR
Bulgaria;Europe;1957;66,61;7651254;BGR
Bulgaria;Europe;1962;69,51;8012946;BGR
Bulgaria;Europe;1967;70,42;8310226;BGR
Bulgaria;Europe;1972;70,9;8576200;BGR
Bulgaria;Europe;1977;70,81;8797022;BGR
Bulgaria;Europe;1982;71,08;8892098;BGR
Bulgaria;Europe;1987;71,34;8971958;BGR
Bulgaria;Europe;1992;71,19;8658506;BGR
Bulgaria;Europe;1997;70,32;8066057;BGR
Bulgaria;Europe;2002;72,14;7661799;BGR
Bulgaria;Europe;2007;73,005;7322858;BGR
Burkina Faso;Africa;1952;31,975;4469979;BFA
Burkina Faso;Africa;1957;34,906;4713416;BFA
