Indicator,Country,Gender,Year,Val
(EU) Population aged 0-14 as % of total population,Albania,combined,2014,19.6
(EU) Population aged 0-14 as % of total population,Albania,combined,2015,19.0
(EU) Population aged 0-14 as % of total population,Albania,combined,2016,18.5
(EU) Population aged 0-14 as % of total population,Albania,combined,2017,18.2
(EU) Population aged 0-14 as % of total population,Albania,combined,2018,17.7
(EU) Population aged 15-24 as % of total population,Albania,combined,2014,17.9
(EU) Population aged 15-24 as % of total population,Albania,combined,2015,17.5
(EU) Population aged 15-24 as % of total population,Albania,combined,2016,17.1
(EU) Population aged 15-24 as % of total population,Albania,combined,2017,16.5
(EU) Population aged 15-24 as % of total population,Albania,combined,2018,16.1
(EU) Population aged 25-49 as % of total population,Albania,combined,2014,32.0
(EU) Population aged 25-49 as % of total population,Albania,combined,2015,32.0
(EU) Population aged 25-49 as % of total population,Albania,combined,2016,32.3
(EU) Population aged 25-49 as % of total population,Albania,combined,2017,32.6
(EU) Population aged 25-49 as % of total population,Albania,combined,2018,32.7
(EU) Population aged 50-64 as % of total population,Albania,combined,2014,18.6
(EU) Population aged 50-64 as % of total population,Albania,combined,2015,19.0
(EU) Population aged 50-64 as % of total population,Albania,combined,2016,19.3
(EU) Population aged 50-64 as % of total population,Albania,combined,2017,19.6
(EU) Population aged 50-64 as % of total population,Albania,combined,2018,20.0
(EU) Population aged 65 years and over as % of total population,Albania,combined,2014,12.0
(EU) Population aged 65 years and over as % of total population,Albania,combined,2015,12.4
(EU) Population aged 65 years and over as % of total population,Albania,combined,2016,12.8
(EU) Population aged 65 years and over as % of total population,Albania,combined,2017,13.1
(EU) Population aged 65 years and over as % of total population,Albania,combined,2018,13.6
(EU) Population aged 65-79 as % of total population,Albania,combined,2014,9.9
(EU) Population aged 65-79 as % of total population,Albania,combined,2015,10.2
(EU) Population aged 65-79 as % of total population,Albania,combined,2016,10.5
(EU) Population aged 65-79 as % of total population,Albania,combined,2017,10.7
(EU) Population aged 65-79 as % of total population,Albania,combined,2018,11.0
(EU) Population aged 80 years and over as % of total population,Albania,combined,2014,2.1
(EU) Population aged 80 years and over as % of total population,Albania,combined,2015,2.2
(EU) Population aged 80 years and over as % of total population,Albania,combined,2016,2.3
(EU) Population aged 80 years and over as % of total population,Albania,combined,2017,2.4
