ID_REF,Brain_CG_1,Brain_CG_10,Brain_CG_11,Brain_CG_12,Brain_CG_13,Brain_CG_14,Brain_CG_2,Brain_CG_3,Brain_CG_4,Brain_CG_5,Brain_CG_6,Brain_CG_7,Brain_CG_8,Brain_CG_9,Brain_NG_1,Brain_NG_10,Brain_NG_11,Brain_NG_12,Brain_NG_13,Brain_NG_14,Brain_NG_2,Brain_NG_3,Brain_NG_4,Brain_NG_5,Brain_NG_6,Brain_NG_7,Brain_NG_8,Brain_NG_9
1005_at,10,195.08,200.6,133.38,50.82,1121.8,684.12,749.21,70.09,72.31,142,62.39,142.01,297.88,83.1,100.04,49.74,130.26,35.67,44.49,10,134.11,131.43,80.12,40.48,166.92,148.67,189.07
1039_s_at,18,24.8,144.75,178,14.08,224.44,278.79,146.43,194.13,152.57,148.75,343.81,157.37,24.09,10,202.18,35.55,98.77,64.44,60.64,45.98,140.79,52.31,58.59,28.49,76.55,45.35,145.31
103_at,10,35.03,10,43.22,20.2,66.62,19.86,34.77,33.55,34.64,47.02,13.9,345.22,67.88,10,32.46,25.8,209.99,10,40.65,10,83.01,14.13,29.67,22.15,44.05,77.62,11.22
1052_s_at,167.9,148.51,354.78,158.48,75.3,410.88,669.72,455.08,322.62,192.65,398.98,267.63,557.4,261.75,44.1,489.38,68.36,107.41,19.1,81.96,24.18,303.56,264.75,392.3,79.87,201.64,332.68,232.13
1058_at,10,201.51,30.22,99.18,177.54,52.57,292.81,17.64,57.08,41.34,176.63,67.2,387.03,91.16,87,12.26,188.23,49.06,17.79,120.91,23.43,37.22,41.89,65.7,29.63,10,12.62,110.3
1063_s_at,69.3,383.86,65.74,32.91,257.13,18.63,150.38,26.67,26.94,199.35,151.78,29.99,80.37,36.95,53.3,18.27,128.74,57.54,48.54,11.95,37.22,29.21,49.23,79.06,68.1,24.3,17.21,30.22
1072_g_at,71.8,126.6,22.32,20.36,122.24,10,22.19,10,10,83.93,15.15,66.57,41.7,61.2,48.7,13.54,39.74,10,50.42,20.95,93.93,17.26,23.17,22.03,36.63,28.29,13.08,36.48
1091_at,10,1445.4,160.32,41.74,863.44,13.43,101.7,10,174.85,349.1,11.86,10,236.5,338.9,66.6,85.88,426.75,10.39,16.23,10,96.65,60.12,94.51,88.92,115.54,27.02,77.39,88.05
1101_at,12.2,116.1,22.55,10,178.97,30.61,19.62,10,31.95,10,10,10,10,10,10,10,91.66,39.27,10,12.91,10,10,10,12.64,10,10,10,16.48
1104_s_at,21.3,491.04,504.75,205.24,116.32,551.52,459.92,323.59,154.11,17.16,190.23,309.74,152.66,709.87,31,211.97,194.92,102.08,563.42,41.68,10,80.13,282.83,141.35,153.79,300.05,441.17,79.81
1124_at,10,62.84,45.95,106.71,79.18,42.26,13.71,10,25.55,103.39,53.77,20.27,58.06,80.25,47.1,29.66,63.28,10,44.44,10.62,28.87,20.6,31.52,10.42,41.1,26.63,10,46.46
1126_s_at,15.2,10,90.82,26.03,10,257.75,107.86,81.61,56.8,10,47.88,20.9,51,10,21.5,72.27,10,34.32,10,24.27,10,54.58,17.83,20.21,10,16.81,21.4,19.69
1136_at,14.1,10,35.9,61.26,10,14.47,30.29,22.11,34.73,112.08,72.82,17.03,26.12,10,10,14.19,10,10,46.65,10,10,31.96,39.75,45.98,51.51,52.53,25.52,10
113_i_at,10,122.4,10.43,23.8,43.26,10,45.63,10,27.15,26.79,18.44,18.5,31.5,37.93,54.5,15.5,30.55,14.36,12.95,10,33.69,10,13.12,18.13,18.73,10,10.99,36.79
1153_f_at,111.5,10,21.4,31.6,40.41,10,10,10,39.61,30.87,35.59,65.84,143.36,10,58,10,10,38.72,33.7,10,47.54,58.65,10,10,10,10,58.9,26.69
1198_at,27.9,34.11,75.25,110.33,57.35,12.6,178.25,18.99,108.24,40.71,53.51,130.52,147.73,12.21,10,17.47,19.99,14.9,20.5,32.09,20.04,40.15,35.29,35.56,32.56,39.83,23.2,90.14
120_at,12.3,10.89,152.42,10,13.27,57.57,49.06,51.91,95.29,34.11,11,29.16,32.62,22.95,19.2,30.42,10,99.74,17.22,18.66,10,42.35,16.08,26.27,10,18.47,17.91,10
1217_g_at,10,228.93,25.16,11.81,286.11,26.86,12.62,10,10,23.76,10,10.14,13.67,79.44,10,10,144.05,27.57,10,13.57,10,10,10,10,10,10,10,27.55
1230_g_at,10,10,76.02,45.92,25.71,67.35,11.21,110.23,10,29.72,59.31,10,79.13,10,15.3,52.18,23.94,83.76,31.32,10,10,63.55,41.32,70.26,49.63,30.07,33.2,12.19
1237_at,37.4,22.04,61.06,10,22.24,126.48,113.07,99.59,10,10,14.37,10,10,10,10,43.16,21.2,19.14,10,10,10,80.45,27.88,10,14.18,10,25.7,41.59
1242_at,39.1,71.76,317.27,129.48,29.39,100.35,162.76,92.92,72.81,313.52,237.33,140.76,63.33,121.76,11.9,154.73,16.2,63.09,17.63,68.83,10,46.79,71.78,82.6,79.26,157.04,109.48,64.11
1251_g_at,10,199.67,60.75,10,216.73,10,11.45,10,72.11,104.54,10,20.17,10,82.37,10,10,122.37,10,10,22.13,18.47,22.85,10,10,35.23,10,10,15.36
1262_s_at,10,10,46.95,19.61,10,42.99,84.42,42.62,65.22,35.06,27.53,13.06,71.62,14.81,10,55.9,16.77,26.6,10,19.55,10,27.11,17.39,13.07,10,34.95,10,10
1269_at,11.6,85.01,21.79,92.67,33.26,19.05,49.45,10,27.08,48.14,11.6,58.21,52.9,24.09,21.2,25.69,30.55,34.32,10,10.85,25.74,10,11.43,14.19,14.36,10,10,40.31
1277_at,81.3,50.12,27.23,22.4,55.1,25.71,10,10,79.7,26.48,10,10,18.27,39.07,21,16.19,16.36,10,40.83,26.71,46.8,21.29,10,18.72,10,10,24.01,20.62
1319_at,17.1,13.51,35.82,17.01,16.33,104.2,23.05,115.37,26.03,10,10.91,26.86,93.7,27.51,10,48.47,10,20.45,19.1,10,10,43.08,10,10,10.72,10,30.23,21.94
1321_s_at,51,10,116.29,23.52,12.86,162.39,96.64,151.41,19.35,10,63.55,10,10,10,10,28.06,10,23.71,10,17.63,10,36.03,15.95,10.85,10,12.76,47.15,20.85
1327_s_at,10,87.77,41.88,36.44,43.26,59.13,146.79,34.01,44.83,10,118.45,64.37,136.29,54.86,17.4,10.3,43.69,17.08,14.02,63.08,16.23,39.56,27.76,26.17,10,28.79,17.15,72.89
1333_f_at,10,87.5,54.92,83.1,38.37,16.86,31.77,43.38,36.61,10,50.48,39.92,10,26.21,88,10,24.59,15.77,10,73.92,101.13,28.94,10,26.83,10,10,10,40.08
1336_s_at,10,567.92,13.81,27.51,449.17,27.69,16.28,12.91,15.87,42.17,12.3,14,27.91,106.46,19,20.09,220.23,38.02,18.28,20.95,11.21,14.42,10.86,10,11.25,10,10,36.95
