DATE,UNRATE,CPIAUCSL,DFF,USRECM
01/12/1957,,,2.98,
01/01/1958,5.8,3.5056,2.72,1
01/02/1958,6.4,3.23741,1.67,1
01/03/1958,6.7,3.62527,1.2,1
01/04/1958,7.4,3.61618,1.26,1
01/05/1958,7.4,3.35714,0.63,0
01/06/1958,7.3,2.84596,0.93,0
01/07/1958,7.5,2.48315,0.68,0
01/08/1958,7.4,2.3338,1.53,0
01/09/1958,7.1,2.08333,1.76,0
01/10/1958,6.7,2.08333,1.8,0
01/11/1958,6.2,1.90074,2.27,0
01/12/1958,6.2,1.75623,2.42,0
01/01/1959,6,1.2919,2.48,0
01/02/1959,5.9,1.0453,2.43,0
01/03/1959,5.6,0.34638,2.8,0
01/04/1959,5.2,0.13822,2.96,0
01/05/1959,5.1,0.34554,2.9,0
01/06/1959,5,0.6918,3.39,0
01/07/1959,5.1,0.89997,3.47,0
01/08/1959,5.2,0.8293,3.5,0
01/09/1959,5.5,1.17606,3.76,0
01/10/1959,5.7,1.52196,3.98,0
01/11/1959,5.8,1.38169,4,0
01/12/1959,5.3,1.51881,3.99,0
01/01/1960,5.2,1.24095,3.99,0
01/02/1960,4.8,1.41379,3.97,0
01/03/1960,5.4,1.51881,3.84,0
01/04/1960,5.2,1.93237,3.92,1
01/05/1960,5.1,1.82507,3.85,1
01/06/1960,5.4,1.71762,3.32,1
01/07/1960,5.5,1.37221,3.23,1
01/08/1960,5.6,1.47361,2.98,1
01/09/1960,5.5,1.23077,2.6,1
01/10/1960,6.1,1.36286,2.47,1
01/11/1960,6.1,1.46508,2.44,1
01/12/1960,6.6,1.36008,1.98,1
01/01/1961,6.6,1.60027,1.45,1
01/02/1961,6.9,1.46209,2.54,1
01/03/1961,6.9,1.46209,2.02,0
01/04/1961,7,0.91401,1.49,0
01/05/1961,7.1,0.91309,1.98,0
01/06/1961,6.9,0.77676,1.73,0
01/07/1961,7,1.25212,1.17,0
01/08/1961,6.6,1.11449,2,0
01/09/1961,6.7,1.24958,1.88,0
