"","person","dept","eow","cause","cause_short","date","year","canine","dept_name","state","description","latitude","longitude","state_name"
"1","K9 Roscoe","Phoenix Police Department, AZ","EOW: Friday, July 13, 1984","Cause of Death: Struck by vehicle","Struck by vehicle","1984-07-13",1984,"True","Phoenix Police Department","AZ","Phoenix",33.448143,-112.096962,"Arizona"
"2","Police Officer Roy L. Leon, Jr.","Cotton Plant Police Department, AR","EOW: Friday, July 13, 1984","Cause of Death: Gunfire","Gunfire","1984-07-13",1984,"False","Cotton Plant Police Department","AR","Little Rock",34.746613,-92.288986,"Arkansas"
"3","Officer Stanley D. Pounds","Portland Police Bureau, OR","EOW: Wednesday, July 18, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-18",1984,"False","Portland Police Bureau","OR","Salem",44.938461,-123.030403,"Oregon"
"4","Enforcement Agent Ernest Joseph Gray, Jr.","Pennsylvania Public Utility Commission, PA","EOW: Friday, July 20, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-20",1984,"False","Pennsylvania Public Utility Commission","PA","Harrisburg",40.264378,-76.883598,"Pennsylvania"
"5","Police Officer James W. Carozza, Jr.","Greenburgh Police Department, NY","EOW: Friday, July 20, 1984","Cause of Death: Vehicle pursuit","Vehicle pursuit","1984-07-20",1984,"False","Greenburgh Police Department","NY","Albany",42.652843,-73.757874,"New York"
"6","Patrolman Cleo J. Sheely","Newton Falls Police Department, OH","EOW: Saturday, July 21, 1984","Cause of Death: Heart attack","Heart attack","1984-07-21",1984,"False","Newton Falls Police Department","OH","Columbus",39.961346,-82.999069,"Ohio"
"7","Deputy Sheriff Thomas E. Bryant","Wood County Sheriff's Office, OH","EOW: Monday, July 23, 1984","Cause of Death: Automobile accident","Automobile accident","1984-07-23",1984,"False","Wood County Sheriff's Office","OH","Columbus",39.961346,-82.999069,"Ohio"
"8","Reserve Officer James Charles Taylor","Dallas Police Department, TX","EOW: Tuesday, July 24, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-07-24",1984,"False","Dallas Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"9","Lieutenant Robert L. Cormier","Dallas Police Department, TX","EOW: Tuesday, July 24, 1984","Cause of Death: Aircraft accident","Aircraft accident","1984-07-24",1984,"False","Dallas Police Department","TX","Austin",30.27467,-97.740349,"Texas"
"10","Sergeant Ruben Almanza","Corpus Christi Police Department, TX","EOW: Friday, July 27, 1984","Cause of Death: Gunfire","Gunfire","1984-07-27",1984,"False","Corpus Christi Police Department","TX","Austin",30.27467,-97.740349,"Texas"
