mission,company,location,date,time,rocket,price,successful
CRS SpX-25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-07-15,0:44:00,Falcon 9 Block 5,12480000,True
LARES 2 & Cubesats,ESA,"ELV-1, Guiana Space Centre, French Guiana, France",2022-07-13,13:13:00,Vega C,4470000,True
Wise One Looks Ahead (NROL-162),Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2022-07-13,6:30:00,Electron/Curie,9750000,True
TROPICS Flight 1,Astra,"SLC-46, Cape Canaveral SFS, Florida, USA",2022-07-12,17:43:00,Rocket 3,3670000,False
Starlink Group 3-1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-07-11,1:39:00,Falcon 9 Block 5,11590000,True
Starlink Group 4-21,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-07-07,13:11:00,Falcon 9 Block 5,2330000,False
"DS-EO, NeuSAR, SCOOB-I & POEM",ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2022-06-30,12:32:00,PSLV-CA,21050000,True
SES-22,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-29,21:04:00,Falcon 9 Block 5,16350000,True
CAPSTONE,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2022-06-28,9:55:00,Electron/Photon,3630000,True
Measat-3d & GSAT-24,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2022-06-22,21:50:00,Ariane 5 ECA,1020000,True
Globalstar FM15 & USA 328 to 331,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-19,4:27:00,Falcon 9 Block 5,24900000,True
SARah 1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-06-18,14:19:00,Falcon 9 Block 5,19560000,True
Starlink Group 4-19,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-06-17,16:09:00,Falcon 9 Block 5,23140000,True
Nilesat-301,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-06-08,21:04:00,Falcon 9 Block 5,19220000,True
Progress MS-20,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2022-06-03,9:32:00,Soyuz 2.1a,12620000,True
Transporter 5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-05-25,18:35:00,Falcon 9 Block 5,16680000,True
Starlink Group 4-18,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-05-18,10:59:00,Falcon 9 Block 5,2250000,True
Starlink Group 4-15,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-05-14,20:40:00,Falcon 9 Block 5,24470000,True
Starlink Group 4-13,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-05-13,22:07:00,Falcon 9 Block 5,20390000,True
Starlink Group 4-17,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-05-06,9:42:00,Falcon 9 Block 5,20100000,True
There and Back Again,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2022-05-02,22:49:00,Electron/Curie,1670000,True
Starlink Group 4-16,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-04-29,21:27:00,Falcon 9 Block 5,19830000,True
SpaceX Crew-4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-04-27,7:52:00,Falcon 9 Block 5,5970000,True
Starlink Group 4-14,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-04-21,17:51:00,Falcon 9 Block 5,24270000,True
NROL-85,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-04-17,13:13:00,Falcon 9 Block 5,17380000,True
Axiom Mission 1 (Ax-1),SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-04-08,15:17:00,Falcon 9 Block 5,4600000,True
Without Mission a Beat,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2022-04-02,12:41:00,Electron/Curie,7880000,True
Transporter 4,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-04-01,16:24:00,Falcon 9 Block 5,15460000,True
Starlink Group 4-12,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-03-19,4:42:00,Falcon 9 Block 5,6980000,True
Soyuz MS-21,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2022-03-18,15:55:00,Soyuz 2.1a,18800000,True
Spaceflight Astra-1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2022-03-15,4:22:00,Rocket 3,3260000,True
Starlink Group 4-10,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-03-09,13:45:00,Falcon 9 Block 5,22350000,True
Starlink Group 4-9,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-03-03,14:25:00,Falcon 9 Block 5,19790000,True
The Owl’s Night Continues,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand",2022-02-28,20:37:00,Electron/Curie,12100000,True
Starlink Group 4-11,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-02-25,17:12:00,Falcon 9 Block 5,14730000,True
Starlink Group 4-8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-02-21,14:44:00,Falcon 9 Block 5,19300000,True
CRS NG-17,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2022-02-19,17:40:00,Antares 230+,6660000,True
Progress MS-19,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2022-02-15,4:25:00,Soyuz 2.1a,23190000,True
EOS-04 & Others,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2022-02-14,0:29:00,PSLV-XL,20230000,True
VCLS Demo-2A,Astra,"SLC-46, Cape Canaveral SFS, Florida, USA",2022-02-10,20:00:00,Rocket 3,4610000,False
OneWeb #13,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2022-02-10,18:09:00,Soyuz ST-B/Fregat-MT,23790000,True
Starlink Group 4-7,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-02-03,18:13:00,Falcon 9 Block 5,6780000,True
NROL-87,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2022-02-02,20:27:00,Falcon 9 Block 5,2690000,True
CSG-2,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-01-31,23:11:00,Falcon 9 Block 5,4300000,True
Starlink Group 4-6,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-01-19,2:02:00,Falcon 9 Block 5,11260000,True
Transporter 3,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2022-01-13,15:25:00,Falcon 9 Block 5,23170000,True
Starlink Group 4-5,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2022-01-06,21:49:00,Falcon 9 Block 5,12980000,True
James Webb Space Telescope (JWST),Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-12-25,12:20:00,Ariane 5 ECA,12120000,True
CRS SpX-24,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-12-21,10:07:00,Falcon 9 Block 5,18680000,True
Türksat 5B,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-12-19,3:58:00,Falcon 9 Block 5,11810000,True
Starlink Group 4-4,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-12-18,12:41:00,Falcon 9 Block 5,3050000,True
Ekspress-AMU3 & AMU7,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021-12-13,12:07:00,Proton-M/Briz-M,7240000,False
IXPE,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-12-09,6:00:00,Falcon 9 Block 5,18290000,True
A Data With Destiny,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-12-09,0:02:00,Electron/Curie,9560000,True
Soyuz MS-20 / Space Adventures,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-12-08,7:38:00,Soyuz 2.1a,4900000,True
Galileo FOC FM23-FM24,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2021-12-05,0:19:00,Soyuz ST-B/Fregat-MT,17810000,True
Starlink Group 4-3 & BlackSky,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-12-02,23:12:00,Falcon 9 Block 5,2760000,True
Progress M-UM Prichal,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-11-24,13:06:00,Soyuz 2.1b,3430000,True
DART,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-11-24,6:21:00,Falcon 9 Block 5,5890000,True
STP-27AD2,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021-11-20,6:16:00,Rocket 3,8540000,True
Love At First Insight,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-11-18,1:38:00,Electron/Curie,10550000,True
"CERES 1, 2 & 3",Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-11-16,9:27:00,Vega,1480000,True
Starlink Group 4-1,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-11-13,12:19:00,Falcon 9 Block 5,1790000,True
SpaceX Crew-3,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-11-11,2:03:00,Falcon 9 Block 5,7360000,True
Progress MS-18,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-10-28,0:00:00,Soyuz 2.1a,18170000,True
SES-17 & Syracuse-4A,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-10-24,2:10:00,Ariane 5 ECA,15460000,True
Soyuz MS-19,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-10-05,8:55:00,Soyuz 2.1a,22510000,True
Inspiration4,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-09-16,0:02:00,Falcon 9 Block 5,20220000,True
Starlink Group 2-1,SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-09-14,3:55:00,Falcon 9 Block 5,8730000,True
CRS SpX-23,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-08-29,7:14:00,Falcon 9 Block 5,15900000,True
STP-27AD1,Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021-08-28,22:35:00,Rocket 3,15510000,False
"Pléiades-Néo 4, BRO-4 & Others",Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-08-17,1:47:00,Vega,17120000,True
EOS-03,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2021-08-12,0:13:00,GSLV Mk II,1930000,False
CRS NG-16,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021-08-10,22:01:00,Antares 230+,10110000,True
Eutelsat Quantum & Star One D2,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-07-30,21:00:00,Ariane 5 ECA,23760000,True
It’s a Little Chile Up Here,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-07-29,6:00:00,Electron/Curie,4000000,True
MLM-U Nauka,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021-07-21,14:58:00,Proton-M,5330000,True
Transporter 2,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-30,19:31:00,Falcon 9 Block 5,12950000,True
Progress MS-17,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-06-29,23:27:00,Soyuz 2.1a,12560000,True
GPS III-5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-17,16:09:00,Falcon 9 Block 5,13770000,True
NROL-111,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2021-06-15,13:35:00,Minotaur I,14560000,True
Odyssey (TacRL-2),Northrop,"Stargazer, Vandenberg SFB, California, USA",2021-06-13,8:11:00,Pegasus XL,14680000,True
SXM-8,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-06,4:26:00,Falcon 9 Block 5,1540000,True
CRS SpX-22,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-06-03,17:29:00,Falcon 9 Block 5,20880000,True
Starlink V1 L28,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-05-26,18:59:00,Falcon 9 Block 5,3420000,True
Starlink V1 L26 & Rideshares,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-05-15,22:56:00,Falcon 9 Block 5,19340000,True
Running Out of Toes,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-05-15,11:11:00,Electron/Curie,4050000,False
Starlink V1 L27,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-05-09,6:42:00,Falcon 9 Block 5,16080000,True
10-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021-05-05,22:25:00,Starship Prototype,8370000,True
Starlink V1 L25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-05-04,19:01:00,Falcon 9 Block 5,11880000,True
Starlink V1 L24,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-04-29,3:44:00,Falcon 9 Block 5,15900000,True
Pléiades-Néo 3 & SSMS n°2,Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-04-29,1:50:00,Vega,19420000,True
SpaceX Crew-2,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-04-23,9:49:00,Falcon 9 Block 5,1760000,True
Soyuz MS-18,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-04-09,7:42:00,Soyuz 2.1a,23060000,True
Starlink V1 L23,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-04-07,16:34:00,Falcon 9 Block 5,14370000,True
10-Kilometer Test Flight,SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021-03-30,13:00:00,Starship Prototype,20670000,False
Starlink V1 L22,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-03-24,8:28:00,Falcon 9 Block 5,19600000,True
They Go Up So Fast,Rocket Lab,"Rocket Lab LC-1A, Māhia Peninsula, New Zealand",2021-03-22,22:30:00,Electron/Photon,3640000,True
Starlink V1 L21,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-03-14,10:01:00,Falcon 9 Block 5,9930000,True
Starlink V1 L20,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-03-11,8:13:00,Falcon 9 Block 5,18970000,True
Starlink V1 L17,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-03-04,8:24:00,Falcon 9 Block 5,7230000,True
10-Kilometer Test Flight,SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021-03-03,23:14:00,Starship Prototype,10450000,False
Arktika-M n°1,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-02-28,6:55:00,Soyuz 2.1b/Fregat-M,20150000,True
Amazônia 1 & Others,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2021-02-28,4:54:00,PSLV-DL,19340000,True
CRS NG-15,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021-02-20,17:36:00,Antares 230+,17810000,True
Starlink V1 L19,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-02-16,3:59:00,Falcon 9 Block 5,1760000,True
Progress MS-16,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-02-15,4:45:00,Soyuz 2.1a,11670000,True
