Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,ASIN/ISBN (Product Code),Category,Survey ResponseID
1/18/2018,17.16,1,PA,"NOW Foods, Certified Organic Better Stevia, Extract Powder, Zero-Calorie Sweetener, Certified Non-GMO, 4-Ounce",B005F9XFN0,SUGAR_SUBSTITUTE,R_037XK72IZBJyF69
1/18/2018,6.49,1,PA,"F.M. Brown'S Encore Parakeet Food, 5-Pound",B000HHSHZG,PET_FOOD,R_037XK72IZBJyF69
1/18/2018,14.99,1,PA,COTTON CRAFT - Scandia Stripe 12 Pack - Pure Cotton - Professional Commercial Restaurant Grade Kitchen Dish Tea Towel Cloth Napkins - Low Lint Sturdy Weave - Reusable - 16x28-30 Ounces - Charcoal,B014V1IYEM,TOWEL,R_037XK72IZBJyF69
1/18/2018,12.99,1,PA,"XREXS 4 Channels Digital Kitchen Timer Clock, Cooking Timer with Large LCD Display, 4 Groups Simultaneous Timing Countdown Up Pocket Timer, Magnetic Attachable (Battery Included) (396)",B01K4JKFK6,TIMER,R_037XK72IZBJyF69
1/18/2018,12.87,1,PA,"Premium Wrist Rests for Keyboard and Mouse Pad Set - Memory Foam Cushion, Black - Ergonomic Wrists Hand Arm Rest Support for Laptop Computer Desk and Gaming - Carpal Tunnel Syndrome Relief",B01A92ETXM,WRIST_REST,R_037XK72IZBJyF69
1/18/2018,4.33,1,PA,"Natrol Melatonin Fast Dissolve Tablets, Helps You Fall Asleep Faster, Stay Asleep Longer, Easy to Take, Dissolves in Mouth, Strengthen Immune System, 3mg, 90 Count",B009LENJHW,HEALTH_PERSONAL_CARE,R_037XK72IZBJyF69
1/18/2018,8.38,1,PA,"Celtic Sea Salt, Light Grey Grinder, 3 oz White",B0078DP17Y,CULINARY_SALT,R_037XK72IZBJyF69
2/11/2018,4.49,1,PA,"Burt's Bees Facial Cleansing Towelette Wipes for Sensitive Skin with Cotton Extract, 30 Count (Package May Vary)",B00TH7HTD8,SKIN_CLEANING_WIPE,R_037XK72IZBJyF69
2/11/2018,5.47,1,PA,"U by Kotex Lightdays Liners, Regular, Unscented",B01IR2I79S,SANITARY_NAPKIN,R_037XK72IZBJyF69
2/11/2018,2.29,1,PA,"Amazon Brand - Presto! Biobased Hand Soap, Mandarin Currant Scent",B074G9XFPY,SKIN_CLEANING_AGENT,R_037XK72IZBJyF69
