u,v,w,x,y,z
0.56851,0.62783,-0.001017,70.188,17.5,-0.002
0.56851,0.62783,-0.001017,71.791,17.5,-0.002
0.56851,0.62783,-0.001017,73.393,17.5,-0.002
0.87909,0.62783,-0.001017,74.996,17.5,-0.002
0.56851,0.62783,-0.001017,76.599,17.5,-0.002
0.56851,0.62783,-0.001017,78.202,17.5,-0.002
0.56851,0.27732,-0.001017,79.805,17.5,-0.002
0.87909,-0.42369,-0.001017,81.407,17.5,-0.002
0.87909,-0.42369,-0.001017,83.01,17.5,-0.002
0.87909,0.27732,-0.001017,84.613,17.5,-0.002
0.87909,1.3288,-0.001017,86.216,17.5,-0.002
0.87909,1.3288,-0.001017,87.819,17.5,-0.002
0.56851,1.3288,-0.001017,89.421,17.5,-0.002
-0.36322,0.62783,-0.001017,91.024,17.5,-0.002
-0.6738,-0.42369,-0.001017,92.627,17.5,-0.002
-0.36322,-1.1247,-0.001017,94.23,17.5,-0.002
-0.36322,-1.1247,-0.001017,95.833,17.5,-0.002
0.25794,-1.1247,-0.001017,97.435,17.5,-0.002
-0.36322,-1.4752,-0.001017,99.038,17.5,-0.002
-0.98438,-1.8257,-0.001017,100.64,17.5,-0.002
-1.295,-2.1762,-0.001017,102.24,17.5,-0.002
-0.98438,-2.1762,-0.001017,103.85,17.5,-0.002
-0.98438,-2.5267,-0.001017,105.45,17.5,-0.002
-2.8479,-1.8257,-0.001017,107.05,17.5,-0.002
-2.2267,-3.2277,-0.001017,108.66,17.5,-0.002
-0.6738,-2.1762,-0.001017,110.26,17.5,-0.002
-0.98438,-2.1762,-0.001017,111.86,17.5,-0.002
-0.6738,-2.5267,-0.001017,113.46,17.5,-0.002
-0.6738,-3.2277,-0.001017,115.07,17.5,-0.002
-0.6738,-1.4752,-0.001017,116.67,17.5,-0.002
-1.6055,-0.073182,-0.001017,118.27,17.5,-0.002
-0.6738,1.6793,-0.001017,119.87,17.5,-0.002
-0.36322,2.0299,-0.001017,121.48,17.5,-0.002
-0.6738,2.7309,-0.001017,123.08,17.5,-0.002
-1.295,2.7309,-0.001017,124.68,17.5,-0.002
-2.2267,2.7309,-0.001017,126.29,17.5,-0.002
-2.8479,2.3804,-0.001017,127.89,17.5,-0.002
-2.2267,0.97833,-0.001017,129.49,17.5,-0.002
-0.6738,0.62783,-0.001017,131.09,17.5,-0.002
-0.6738,0.62783,-0.001017,132.7,17.5,-0.002
0.25794,0.97833,-0.001017,134.3,17.5,-0.002
-2.8479,-0.073181,-0.070537,70.188,17.5,1.141
-2.5373,-0.073181,-0.024191,71.791,17.5,1.141
-2.5373,-0.073181,-0.024191,73.393,17.5,1.141
-2.5373,-0.42369,-0.024191,74.996,17.5,1.141
-2.8479,-0.42369,-0.024191,76.599,17.5,1.141
-2.8479,-0.42369,-0.024191,78.202,17.5,1.141
-2.8479,-0.77419,-0.024191,79.805,17.5,1.141
-2.8479,-1.1247,-0.024191,81.407,17.5,1.141
-2.8479,-1.4752,-0.024191,83.01,17.5,1.141
-2.8479,-1.1247,-0.024191,84.613,17.5,1.141
-2.8479,-0.42369,-0.001017,86.216,17.5,1.141
-2.8479,-0.42369,-0.001017,87.819,17.5,1.141
-2.8479,-0.77419,0.010569,89.421,17.5,1.141
-2.8479,-1.1247,-0.001017,91.024,17.5,1.141
-2.5373,-1.8257,-0.024191,92.627,17.5,1.141
-1.6055,-2.1762,-0.024191,94.23,17.5,1.141
-0.98438,-2.1762,-0.024191,95.833,17.5,1.141
0.56851,-3.2277,-0.012604,97.435,17.5,1.141
1.1897,-3.5782,-0.012604,99.038,17.5,1.141
0.56851,-3.2277,-0.012604,100.64,17.5,1.141
0.25794,-1.8257,-0.035777,102.24,17.5,1.141
-0.6738,-2.5267,-0.047364,103.85,17.5,1.141
-0.98438,-2.5267,-0.001017,105.45,17.5,1.141
-2.8479,-1.8257,-0.001017,107.05,17.5,1.141
-2.8479,-3.5782,-0.035777,108.66,17.5,1.141
-2.5373,-2.5267,-0.047364,110.26,17.5,1.141
-2.5373,-2.5267,-0.024191,111.86,17.5,1.141
-2.2267,-2.5267,-0.012604,113.46,17.5,1.141
-1.6055,-2.5267,-0.012604,115.07,17.5,1.141
-2.2267,-2.1762,-0.012604,116.67,17.5,1.141
-2.5373,-1.4752,-0.001017,118.27,17.5,1.141
-2.2267,-0.77419,0.033743,119.87,17.5,1.141
-1.6055,0.27732,0.056916,121.48,17.5,1.141
-1.6055,0.62783,0.10326,123.08,17.5,1.141
-2.2267,0.97834,0.13802,124.68,17.5,1.141
-2.5373,0.62783,0.11485,126.29,17.5,1.141
-2.5373,0.97834,0.045329,127.89,17.5,1.141
-2.2267,0.97834,-0.024191,129.49,17.5,1.141
-1.295,0.97834,-0.024191,131.09,17.5,1.141
-1.295,0.62783,-0.012604,132.7,17.5,1.141
-1.295,0.97834,0.056916,134.3,17.5,1.141
-5.6431,-0.073181,-0.17482,70.188,17.5,2.284
-5.0219,-0.42369,-0.047364,71.791,17.5,2.284
-4.7113,-0.42369,-0.047364,73.393,17.5,2.284
-4.7113,-0.77419,-0.047364,74.996,17.5,2.284
-4.7113,-0.42369,-0.047364,76.599,17.5,2.284
-4.7113,-0.42369,-0.047364,78.202,17.5,2.284
-4.4008,-0.77419,-0.047364,79.805,17.5,2.284
-4.4008,-1.1247,-0.058951,81.407,17.5,2.284
-4.4008,-1.4752,-0.058951,83.01,17.5,2.284
-4.4008,-1.4752,-0.035777,84.613,17.5,2.284
-4.4008,-1.1247,-0.012604,86.216,17.5,2.284
-4.4008,-1.4752,-0.001017,87.819,17.5,2.284
-3.7796,-1.4752,-0.001017,89.421,17.5,2.284
-3.469,-1.8257,-0.024191,91.024,17.5,2.284
-3.1584,-2.5267,-0.058951,92.627,17.5,2.284
-2.5373,-2.5267,-0.058951,94.23,17.5,2.284
-0.98438,-3.2277,-0.047364,95.833,17.5,2.284
2.432,-4.2793,-0.035777,97.435,17.5,2.284
3.6743,-4.6298,-0.035777,99.038,17.5,2.284
3.3637,-3.9287,-0.035777,100.64,17.5,2.284
3.6743,-1.8257,-0.058951,102.24,17.5,2.284
3.0531,-0.77419,-0.1053,103.85,17.5,2.284
-0.36322,-0.77419,-0.082124,105.45,17.5,2.284
-4.7113,-1.1247,-0.047364,107.05,17.5,2.284
-5.6431,-1.4752,-0.11688,108.66,17.5,2.284
-6.8854,-1.8257,-0.1053,110.26,17.5,2.284
-7.5065,-1.8257,-0.035777,111.86,17.5,2.284
-7.5065,-2.1762,-0.012604,113.46,17.5,2.284
-7.196,-2.1762,-0.024191,115.07,17.5,2.284
-7.196,-2.1762,-0.024191,116.67,17.5,2.284
-7.196,-2.1762,-0.001017,118.27,17.5,2.284
-6.2642,-2.5267,0.045329,119.87,17.5,2.284
-5.6431,-3.2277,0.10326,121.48,17.5,2.284
-5.3325,-3.9287,0.17278,123.08,17.5,2.284
-5.0219,-4.6298,0.2423,124.68,17.5,2.284
-4.4008,-3.2277,0.20754,126.29,17.5,2.284
-3.1584,0.27732,0.080089,127.89,17.5,2.284
-2.2267,2.3804,-0.035777,129.49,17.5,2.284
-1.6055,1.6793,-0.047364,131.09,17.5,2.284
-1.295,-0.42369,-0.024191,132.7,17.5,2.284
-0.6738,-1.4752,0.12644,134.3,17.5,2.284
-2.5373,0.27732,-0.29068,70.188,17.5,3.427
-2.2267,0.62783,-0.082124,71.791,17.5,3.427
-1.6055,0.62783,-0.082124,73.393,17.5,3.427
-1.295,0.62783,-0.082124,74.996,17.5,3.427
-1.295,0.62783,-0.070537,76.599,17.5,3.427
-1.295,0.62783,-0.058951,78.202,17.5,3.427
-0.98438,0.27732,-0.058951,79.805,17.5,3.427
-0.98438,-0.42369,-0.082124,81.407,17.5,3.427
-0.98438,-0.77419,-0.082124,83.01,17.5,3.427
-1.295,-0.77419,-0.058951,84.613,17.5,3.427
-1.6055,-0.77419,-0.024191,86.216,17.5,3.427
-1.6055,-1.1247,-0.024191,87.819,17.5,3.427
-2.2267,-0.77419,-0.012604,89.421,17.5,3.427
-2.2267,-1.1247,-0.047364,91.024,17.5,3.427
-2.5373,-1.1247,-0.082124,92.627,17.5,3.427
