School,Women,School,Men,gap
UCLA,64,UCLA,78,14
SoCal,72,SoCal,81,9
Emory,68,Emory,82,14
Michigan,62,Michigan,84,22
Berkeley,71,Berkeley,88,17
Brown,72,Brown,92,20
NYU,67,NYU,94,27
Notre Dame,73,Notre Dame,100,27
Cornell,80,Cornell,107,27
Tufts,76,Tufts,112,36
Yale,79,Yale,114,35
Dartmouth,84,Dartmouth,114,30
Chicago,78,Chicago,118,40
Columbia,86,Columbia,119,33
Duke,93,Duke,124,31
Georgetown,94,Georgetown,131,37
Princeton,90,Princeton,137,47
U.Penn,92,U.Penn,141,49
Stanford,96,Stanford,151,55
MIT,94,MIT,152,58
Harvard,112,Harvard,165,53
