Unknown Number of Deaths,0 Deaths,1-50 Deaths,51-100 Deaths,101-1000 Deaths,>1001 Deaths,"Unknown Number of Deaths, lat","Unknown Number of Deaths, lon","0 Deaths, lat","0 Deaths, lon","1-50 Deaths, lat","1-50 Deaths, lon","51-100 Deaths, lat","51-100 Deaths, lon","101-1000 Deaths, lat","101-1000 Deaths, lon",">1001 Deaths, lat",">1001 Deaths, lon"
"New Caledonia:  Noumea; Vanuatu:  Port-Vila, 1995","Solomon Islands:  Santa Cruz Islands; Vanuatu, 1997","Philippines:  Mindanao:  Talakag-Malaybalay, 1987","Switzerland, 1801","Switzerland, 1584","Philippines:  Mindanao:  S, 1976",-23.008,169.9,-12.584,166.676,8.047,125.41,46.9,8.6,46.3,7,6.292,124.09
"Pakistan:  Battagram, 2015","Iran:  Western:  Masjed-E- Soleyman, 2003","Pakistan:  Quetta, Nushki, 1978","Venezuela:  Cariaco-Cumana, 1997","Switzerland, 1584","China:  Sichuan Province:  Kangding, 1725",34.658,73.302,31.953,49.209,29.926,66.302,10.598,-63.486,46.2,7,30.1,101.9
"Peru, 1852",,"Tonga Trench, 1977","Peru:  Maca, Chivay, Yanque, 1991","El Salvador:  San Marcos, 1965","Iran:  Quchan, 1872",-12.1,-77.1,,,-22.878,-175.9,-15.679,-71.574,13.5,-89.3,37.3,58.3
"Chile:  Southern, 1965",,"Honduras-Guatemala-El Salvador, 1982","Japan:  Off East Coast Of Honshu Island, 1968","China:  Sichuan Province, 1933","Iran:  Quchan, 1871",-42.9,-75.13,,,14.487,-89.121,40.8,143.2,29.5,102.5,37.3,58.3
"Indonesia:  Banda Sea, 1925",,"China:  Gansu Province:  Tianzhu, 1990","China:  Shanxi Province:  Anyi, Gueheng, 1505","China:  Guizhou Province:  Qinglong, 1551","Iran:  Tabriz, 1779",-8,115,,,37.093,103.781,35.2,110.9,25.8,105.2,38,46.7
"Russia:  Makhachkala, Dagestan, 1999",,"Afghanistan:  Hindu Kush:  Pik Lenina, 1990","China:  Yunnan Province:  Anning, Yuxi, 1507","China:  Jiangxi Province:  Yen Hi Chan, 1361","Iran:  Ardabil, 1997",42.962,46.954,,,36.415,70.789,24.6,102.5,28.8,115.3,38.075,48.05
"Micronesia, Fed. States Of:  Yap Is, Caroline Is, 1912",,"Costa Rica-Panama, 1941","China:  Shaanxi Province:  Tongguan, 1789","Afghanistan:  Hindu Kush:  Tashiak, Termiz, 1994","Iran:  Rasht, Qazvin, Zanjan,  Rudbar, Manjil, 1990",None,None,,,8.7,-83.2,34.6,110.3,36.901,67.163,36.957,49.409
"Chile:  Central, Valparaiso, 1986",,"Afghanistan:  Hindu Kush:  Chitral, Mardan, Malakand, 1990","Switzerland, 1622","Indonesia:  Sumatra:  Bengkulu, Enggano, 2000","Iran:  Saimareh, 871",-33.071,-72.084,,,35.121,70.486,46.8,10.3,-4.721,102.087,33.2,47.2
"Chile:  Antofagasta, 1957",,"Taiwan:  Hualien,  Taipei, 1990","Mexico:  Sw Coast:  Mexico City, 1985","Peru:  Moyabamba-Riojo, 1990","Iran:  Taheri (Siraf), 978",-23.5,-71.5,,,23.916,121.636,17.802,-101.647,-6.016,-77.229,27.7,52.3
"Italy:  Tyrrhenian Calabria, 1783",,"Philippines:  Santiago, 1990","Switzerland, 1851","El Salvador: San Juan Tepezontes-San Vicente-Cojutep, 2001","China:  Yunnan Province:  Yiliang, 1560",38.9,17.1,,,9.253,125.606,46.3,8,13.671,-88.938,24.9,103.2
