"","name","province","region","English","French","both","either","neither","total","engperc","frenperc"
"1","Division No.  1, Subd. V","pr10","Atlantic",60,0,0,60,0,60,100,0
"2","Portugal Cove South","pr10","Atlantic",160,0,0,160,0,160,100,0
"3","Trepassey","pr10","Atlantic",560,10,10,560,0,560,100,1.78571428571429
"4","St. Shott's","pr10","Atlantic",80,0,0,80,0,80,100,0
"5","Division No.  1, Subd. U","pr10","Atlantic",1490,25,25,1490,0,1490,100,1.67785234899329
"6","Cape Broyle","pr10","Atlantic",505,0,0,505,0,505,100,0
"7","Renews-Cappahayden","pr10","Atlantic",310,5,5,310,0,310,100,1.61290322580645
"8","Fermeuse","pr10","Atlantic",315,5,5,315,0,315,100,1.58730158730159
"9","Port Kirwan","pr10","Atlantic",65,0,0,65,0,65,100,0
"10","Aquaforte","pr10","Atlantic",85,0,0,85,0,85,100,0
"11","Ferryland","pr10","Atlantic",465,10,10,465,0,465,100,2.1505376344086
"12","Division No.  1, Subd. W","pr10","Atlantic",510,5,5,510,0,510,100,0.980392156862745
"13","St. Vincent's-St. Stephen's-Peter's River","pr10","Atlantic",335,0,0,335,0,335,100,0
"14","Gaskiers-Point La Haye","pr10","Atlantic",235,0,0,235,0,235,100,0
"15","St. Mary's","pr10","Atlantic",440,10,10,440,0,440,100,2.27272727272727
"16","Riverhead","pr10","Atlantic",200,0,0,200,0,200,100,0
"17","Admirals Beach","pr10","Atlantic",155,0,0,155,0,155,100,0
"18","St. Joseph's","pr10","Atlantic",120,5,5,120,0,120,100,4.16666666666667
"19","Mount Carmel-Mitchells Brook-St. Catherine's","pr10","Atlantic",360,5,5,360,0,360,100,1.38888888888889
"20","Division No.  1, Subd. X","pr10","Atlantic",495,15,15,495,0,495,100,3.03030303030303
"21","Colinet","pr10","Atlantic",110,0,0,110,0,110,100,0
"22","Division No.  1, Subd. C","pr10","Atlantic",130,0,0,130,0,130,100,0
"23","Branch","pr10","Atlantic",250,5,5,250,0,250,100,2
"24","Point Lance","pr10","Atlantic",125,5,5,125,0,125,100,4
"25","St. Bride's","pr10","Atlantic",305,5,5,305,0,305,100,1.63934426229508
"26","Division No.  1, Subd. B","pr10","Atlantic",345,10,10,345,0,345,100,2.89855072463768
"27","Placentia","pr10","Atlantic",3570,45,45,3570,5,3575,99.8601398601399,1.25874125874126
"28","Fox Harbour","pr10","Atlantic",275,5,5,275,0,275,100,1.81818181818182
"29","Division No.  1, Subd. A","pr10","Atlantic",755,10,10,755,0,755,100,1.32450331125828
"30","Long Harbour-Mount Arlington Heights","pr10","Atlantic",300,10,10,300,0,300,100,3.33333333333333
"31","Southern Harbour","pr10","Atlantic",535,0,0,535,0,535,100,0
"32","Arnold's Cove","pr10","Atlantic",985,10,10,985,0,985,100,1.01522842639594
"33","Come By Chance","pr10","Atlantic",250,5,5,250,0,250,100,2
"34","Sunnyside","pr10","Atlantic",450,0,0,450,0,450,100,0
"35","Chance Cove","pr10","Atlantic",280,0,0,280,0,280,100,0
"36","Norman's Cove-Long Cove","pr10","Atlantic",720,20,20,720,0,720,100,2.77777777777778
"37","Chapel Arm","pr10","Atlantic",470,10,10,470,0,470,100,2.12765957446809
"38","Division No.  1, Subd. Y","pr10","Atlantic",1175,50,50,1175,5,1180,99.5762711864407,4.23728813559322
"39","Whitbourne","pr10","Atlantic",915,40,40,915,5,920,99.4565217391304,4.34782608695652
"40","Division No.  1, Subd. E","pr10","Atlantic",2970,75,75,2970,0,2970,100,2.52525252525253
"41","Whiteway","pr10","Atlantic",290,10,10,290,0,290,100,3.44827586206897
"42","Heart's Delight-Islington","pr10","Atlantic",700,10,10,700,5,705,99.290780141844,1.41843971631206
"43","Heart's Desire","pr10","Atlantic",220,0,0,220,0,220,100,0
"44","Division No.  1, Subd. F","pr10","Atlantic",545,10,10,545,0,545,100,1.8348623853211
"45","Heart's Content","pr10","Atlantic",370,5,5,370,0,370,100,1.35135135135135
"46","New Perlican","pr10","Atlantic",210,5,5,210,0,210,100,2.38095238095238
"47","Winterton","pr10","Atlantic",490,15,15,490,0,490,100,3.06122448979592
"48","Hant's Harbour","pr10","Atlantic",345,5,5,345,0,345,100,1.44927536231884
"49","Division No.  1, Subd. G","pr10","Atlantic",2015,20,20,2015,0,2015,100,0.992555831265509
"50","Old Perlican","pr10","Atlantic",660,5,5,660,0,660,100,0.757575757575758
"51","Bay de Verde","pr10","Atlantic",400,5,5,400,0,400,100,1.25
"52","Small Point-Adam's Cove-Blackhead-Broad Cove","pr10","Atlantic",385,0,0,385,0,385,100,0
"53","Division No.  1, Subd. H","pr10","Atlantic",410,10,10,410,0,410,100,2.4390243902439
"54","Salmon Cove","pr10","Atlantic",695,5,5,695,0,695,100,0.719424460431655
"55","Victoria","pr10","Atlantic",1765,15,15,1765,0,1765,100,0.84985835694051
"56","Carbonear","pr10","Atlantic",4615,100,100,4615,0,4615,100,2.16684723726977
"57","Division No. 1, Subd. I SNO","pr10","Atlantic",270,15,15,270,0,270,100,5.55555555555556
"58","Bryant's Cove","pr10","Atlantic",395,5,5,395,0,395,100,1.26582278481013
"59","Harbour Grace","pr10","Atlantic",3130,90,90,3130,0,3130,100,2.87539936102236
"60","Upper Island Cove","pr10","Atlantic",1595,25,25,1595,0,1595,100,1.56739811912226
"61","Bishop's Cove","pr10","Atlantic",275,10,10,275,0,275,100,3.63636363636364
"62","Spaniard's Bay","pr10","Atlantic",2620,65,65,2620,0,2620,100,2.48091603053435
"63","Division No.  1, Subd. K","pr10","Atlantic",45,0,0,45,0,45,100,0
"64","Bay Roberts","pr10","Atlantic",5815,235,235,5815,0,5815,100,4.04127257093723
"65","Division No.  1, Subd. L","pr10","Atlantic",955,20,20,955,0,955,100,2.09424083769634
"66","Division No.  1, Subd. M","pr10","Atlantic",1085,40,40,1085,0,1085,100,3.68663594470046
"67","North River","pr10","Atlantic",565,30,30,565,0,565,100,5.30973451327434
"68","Clarke's Beach","pr10","Atlantic",1340,50,50,1340,0,1340,100,3.73134328358209
"69","South River","pr10","Atlantic",660,35,35,660,0,660,100,5.3030303030303
"70","Cupids","pr10","Atlantic",765,30,30,765,5,770,99.3506493506494,3.8961038961039
"71","Division No. 1, Subd. N SNO","pr10","Atlantic",315,5,5,315,0,315,100,1.58730158730159
"72","Brigus","pr10","Atlantic",750,30,30,750,0,750,100,4
"73","Division No.  1, Subd. O","pr10","Atlantic",725,25,25,725,0,725,100,3.44827586206897
"74","Colliers","pr10","Atlantic",650,5,5,650,0,650,100,0.769230769230769
"75","Conception Harbour","pr10","Atlantic",695,5,5,695,0,695,100,0.719424460431655
"76","Avondale","pr10","Atlantic",640,15,15,640,0,640,100,2.34375
"77","Harbour Main-Chapel's Cove-Lakeview","pr10","Atlantic",1080,20,20,1080,0,1080,100,1.85185185185185
"78","Holyrood","pr10","Atlantic",1940,40,40,1940,5,1945,99.7429305912596,2.05655526992288
"79","Conception Bay South","pr10","Atlantic",24595,1515,1515,24595,5,24600,99.979674796748,6.15853658536585
"80","Division No.  1, Subd. R","pr10","Atlantic",345,0,0,345,0,345,100,0
"81","Wabana","pr10","Atlantic",2335,20,20,2335,0,2335,100,0.856531049250535
"82","Portugal Cove-St. Philip's","pr10","Atlantic",7355,540,535,7360,5,7365,99.8642226748133,7.33197556008147
"83","Pouch Cove","pr10","Atlantic",1860,55,50,1865,0,1865,99.7319034852547,2.94906166219839
"84","Flatrock","pr10","Atlantic",1455,80,80,1455,0,1455,100,5.49828178694158
"85","Torbay","pr10","Atlantic",7395,535,535,7395,0,7395,100,7.23461798512508
"86","Logy Bay-Middle Cove-Outer Cove","pr10","Atlantic",2100,170,170,2100,0,2100,100,8.09523809523809
"87","Bauline","pr10","Atlantic",400,20,20,400,0,400,100,5
"88","Paradise","pr10","Atlantic",17550,985,985,17550,5,17555,99.9715180860154,5.61093705497009
"89","St. John's","pr10","Atlantic",104410,8865,8830,104445,275,104720,99.7039724980901,8.46543162719633
"90","Mount Pearl","pr10","Atlantic",24125,1495,1495,24125,20,24145,99.9171671153448,6.19175812797681
"91","Petty Harbour-Maddox Cove","pr10","Atlantic",925,55,55,925,0,925,100,5.94594594594595
"92","Bay Bulls","pr10","Atlantic",1285,50,50,1285,0,1285,100,3.89105058365759
"93","Witless Bay","pr10","Atlantic",1140,25,25,1140,5,1145,99.5633187772926,2.18340611353712
"94","Division No.  1, Subd. D","pr10","Atlantic",115,0,0,115,0,115,100,0
"95","Division No.  2, Subd. E","pr10","Atlantic",265,5,5,265,0,265,100,1.88679245283019
"96","Lewin's Cove","pr10","Atlantic",555,10,10,555,0,555,100,1.8018018018018
"97","Burin","pr10","Atlantic",2420,40,40,2420,0,2420,100,1.65289256198347
"98","Division No.  2, Subd. F","pr10","Atlantic",130,5,5,130,0,130,100,3.84615384615385
"99","St. Lawrence","pr10","Atlantic",1210,25,25,1210,0,1210,100,2.06611570247934
"100","Lawn","pr10","Atlantic",670,5,5,670,0,670,100,0.746268656716418
"101","Lamaline","pr10","Atlantic",290,5,5,290,0,290,100,1.72413793103448
"102","Lord's Cove","pr10","Atlantic",170,0,0,170,0,170,100,0
"103","Point May","pr10","Atlantic",235,0,0,235,0,235,100,0
"104","Point au Gaul","pr10","Atlantic",95,0,0,95,0,95,100,0
"105","Division No.  2, Subd. H","pr10","Atlantic",140,0,0,140,0,140,100,0
"106","Frenchman's Cove","pr10","Atlantic",170,5,5,170,0,170,100,2.94117647058824
"107","Fortune","pr10","Atlantic",1440,20,20,1440,0,1440,100,1.38888888888889
"108","Grand Bank","pr10","Atlantic",2360,35,35,2360,0,2360,100,1.48305084745763
"109","Garnish","pr10","Atlantic",545,15,10,550,0,550,99.0909090909091,2.72727272727273
"110","Division No.  2, Subd. D","pr10","Atlantic",260,10,10,260,0,260,100,3.84615384615385
"111","Winterland","pr10","Atlantic",365,20,20,365,0,365,100,5.47945205479452
"112","Marystown","pr10","Atlantic",5500,280,280,5500,5,5505,99.9091734786558,5.08628519527702
"113","Fox Cove-Mortier","pr10","Atlantic",335,5,5,335,0,335,100,1.49253731343284
"114","Division No.  2, Subd. I","pr10","Atlantic",145,5,5,145,0,145,100,3.44827586206897
"115","Bay L'Argent","pr10","Atlantic",290,5,5,290,0,290,100,1.72413793103448
"116","Grand le Pierre","pr10","Atlantic",255,0,0,255,0,255,100,0
"117","Division No.  2, Subd. C","pr10","Atlantic",590,0,0,590,0,590,100,0
"118","Rushoon","pr10","Atlantic",290,5,5,290,0,290,100,1.72413793103448
"119","Parkers Cove","pr10","Atlantic",300,5,5,300,0,300,100,1.66666666666667
"120","Terrenceville","pr10","Atlantic",530,5,5,530,0,530,100,0.943396226415094
"121","Red Harbour","pr10","Atlantic",195,5,5,195,0,195,100,2.56410256410256
"122","English Harbour East","pr10","Atlantic",150,0,0,150,0,150,100,0
"123","Baine Harbour","pr10","Atlantic",140,0,0,140,0,140,100,0
"124","St. Bernard's-Jacques Fontaine","pr10","Atlantic",470,5,5,470,0,470,100,1.06382978723404
"125","Division No.  2, Subd. K","pr10","Atlantic",590,5,5,590,0,590,100,0.847457627118644
"126","Little Bay East","pr10","Atlantic",125,0,0,125,0,125,100,0
"127","Rencontre East","pr10","Atlantic",140,0,0,140,0,140,100,0
"128","St. Jacques-Coomb's Cove","pr10","Atlantic",615,5,5,615,0,615,100,0.813008130081301
"129","Belleoram","pr10","Atlantic",410,5,5,410,0,410,100,1.21951219512195
"130","Pool's Cove","pr10","Atlantic",180,0,0,180,0,180,100,0
"131","Harbour Breton","pr10","Atlantic",1700,25,25,1700,0,1700,100,1.47058823529412
"132","Seal Cove (Fortune Bay)","pr10","Atlantic",265,0,0,265,0,265,100,0
"133","Hermitage-Sandyville","pr10","Atlantic",450,10,5,455,0,455,98.9010989010989,2.1978021978022
"134","Gaultois","pr10","Atlantic",180,0,0,180,0,180,100,0
"135","Division No.  3, Subd. D","pr10","Atlantic",265,0,0,265,0,265,100,0
"136","Milltown-Head of Bay d'Espoir","pr10","Atlantic",795,15,15,795,0,795,100,1.88679245283019
"137","St. Alban's","pr10","Atlantic",1235,20,20,1235,0,1235,100,1.61943319838057
"138","Morrisville","pr10","Atlantic",115,5,5,115,0,115,100,4.34782608695652
"139","Division No.  3, Subd. E","pr10","Atlantic",115,0,0,115,0,115,100,0
"140","Division No.  3, Subd. F","pr10","Atlantic",385,5,5,385,0,385,100,1.2987012987013
"141","Ramea","pr10","Atlantic",280,5,5,280,0,280,100,1.78571428571429
"142","Burgeo","pr10","Atlantic",1450,15,15,1450,0,1450,100,1.03448275862069
"143","Division No.  3, Subd. H","pr10","Atlantic",725,10,10,725,0,725,100,1.37931034482759
"144","Isle aux Morts","pr10","Atlantic",615,0,0,615,0,615,100,0
"145","Burnt Islands","pr10","Atlantic",650,0,0,650,0,650,100,0
"146","Channel-Port aux Basques","pr10","Atlantic",4100,55,55,4100,5,4105,99.878197320341,1.33982947624848
"147","Division No.  3, Subd. I","pr10","Atlantic",105,0,0,105,0,105,100,0
"148","Division No.  3, Subd. J","pr10","Atlantic",395,5,5,395,0,395,100,1.26582278481013
"149","Rose Blanche-Harbour le Cou","pr10","Atlantic",115,0,0,115,0,115,100,0
"150","Samiajij Miawpukek","pr10","Atlantic",920,5,5,920,0,920,100,0.543478260869565
"151","Division No.  4, Subd. A","pr10","Atlantic",1810,55,55,1810,0,1810,100,3.03867403314917
"152","Division No.  4, Subd. B","pr10","Atlantic",1300,30,30,1300,0,1300,100,2.30769230769231
"153","Division No.  4, Subd. C","pr10","Atlantic",725,10,10,725,0,725,100,1.37931034482759
"154","St. George's","pr10","Atlantic",1205,30,30,1205,0,1205,100,2.4896265560166
"155","Division No.  4, Subd. D","pr10","Atlantic",830,25,25,830,0,830,100,3.01204819277108
"156","Gallants","pr10","Atlantic",55,0,0,55,0,55,100,0
"157","Stephenville Crossing","pr10","Atlantic",1765,45,45,1765,5,1770,99.7175141242938,2.54237288135593
"158","Stephenville","pr10","Atlantic",6665,390,390,6665,5,6670,99.9250374812594,5.84707646176912
"159","Kippens","pr10","Atlantic",1785,130,130,1785,0,1785,100,7.28291316526611
"160","Port au Port East","pr10","Atlantic",600,30,30,600,0,600,100,5
"161","Division No.  4, Subd. E","pr10","Atlantic",1975,285,280,1980,0,1980,99.7474747474748,14.3939393939394
"162","Cape St. George","pr10","Atlantic",940,265,260,945,0,945,99.4708994708995,28.042328042328
"163","Lourdes","pr10","Atlantic",535,20,20,535,0,535,100,3.73831775700935
"164","Port au Port West-Aguathuna-Felix Cove","pr10","Atlantic",440,20,20,440,0,440,100,4.54545454545455
"165","Division No.  5, Subd. A","pr10","Atlantic",235,0,0,235,0,235,100,0
"166","Division No.  5, Subd. G","pr10","Atlantic",465,10,10,465,0,465,100,2.1505376344086
"167","Deer Lake","pr10","Atlantic",4920,85,85,4920,0,4920,100,1.72764227642276
"168","Jackson's Arm","pr10","Atlantic",320,0,0,320,0,320,100,0
"169","Howley","pr10","Atlantic",220,5,5,220,0,220,100,2.27272727272727
"170","Division No.  5, Subd. E","pr10","Atlantic",185,5,5,185,0,185,100,2.7027027027027
"171","Hampden","pr10","Atlantic",460,5,5,460,0,460,100,1.08695652173913
"172","Reidville","pr10","Atlantic",470,0,0,470,0,470,100,0
"173","Division No.  5, Subd. F","pr10","Atlantic",635,50,50,635,0,635,100,7.8740157480315
"174","Steady Brook","pr10","Atlantic",405,30,30,405,0,405,100,7.40740740740741
"175","Pasadena","pr10","Atlantic",3350,80,80,3350,5,3355,99.8509687034277,2.38450074515648
"176","Cormack","pr10","Atlantic",605,5,5,605,0,605,100,0.826446280991736
"177","Gillams","pr10","Atlantic",405,15,15,405,0,405,100,3.7037037037037
"178","Division No. 5, Subd. C SNO","pr10","Atlantic",105,5,5,105,0,105,100,4.76190476190476
"179","Massey Drive","pr10","Atlantic",1410,60,60,1410,0,1410,100,4.25531914893617
"180","Corner Brook","pr10","Atlantic",19535,930,930,19535,10,19545,99.9488360194423,4.75825019186493
"181","Humber Arm South","pr10","Atlantic",1680,15,15,1680,0,1680,100,0.892857142857143
"182","McIvers","pr10","Atlantic",550,5,5,550,0,550,100,0.909090909090909
"183","Cox's Cove","pr10","Atlantic",660,5,5,660,0,660,100,0.757575757575758
"184","Lark Harbour","pr10","Atlantic",495,10,10,495,0,495,100,2.02020202020202
"185","Meadows","pr10","Atlantic",600,20,20,600,0,600,100,3.33333333333333
"186","Hughes Brook","pr10","Atlantic",230,5,5,230,0,230,100,2.17391304347826
"187","Irishtown-Summerside","pr10","Atlantic",1425,30,30,1425,0,1425,100,2.10526315789474
"188","Mount Moriah","pr10","Atlantic",790,10,10,790,0,790,100,1.26582278481013
"189","York Harbour","pr10","Atlantic",350,5,5,350,0,350,100,1.42857142857143
"190","Division No.  6, Subd. D","pr10","Atlantic",290,10,10,290,0,290,100,3.44827586206897
"191","Norris Arm","pr10","Atlantic",915,15,15,915,0,915,100,1.63934426229508
"192","Division No.  6, Subd. E","pr10","Atlantic",215,5,5,215,0,215,100,2.32558139534884
"193","Gander","pr10","Atlantic",10935,720,720,10935,10,10945,99.9086340794884,6.57834627683874
