"","pm_name","country_name","party_name_english","left_right","stint_start","stint_end","median_x","vert_min","vert_max","median_y","size"
"1","Klima","Austria","Social Democratic Party of Austria","3",2000-01-01,2000-02-04,2000-01-18,780.5,810.1,794.5,1006
"2","Schuessel","Austria","Austrian People's Party","6",2000-02-04,2007-01-11,2003-07-24,780.5,810.1,794.5,74976
"3","Gusenbauer","Austria","Social Democratic Party of Austria","3",2007-01-11,2008-12-02,2007-12-22,780.5,810.1,794.5,20453
"4","Faymann","Austria","Social Democratic Party of Austria","3",2008-12-02,2016-05-17,2012-08-24,780.5,810.1,794.5,80600
"5","Kern","Austria","Social Democratic Party of Austria","3",2016-05-17,2017-12-18,2017-03-03,780.5,810.1,794.5,17167
"6","Kurz","Austria","Austrian People's Party","6",2017-12-18,2019-07-19,2018-10-03,780.5,810.1,794.5,17108
"7","Verhofstadt","Belgium","Party of Liberty and Progress | Flemish Liberals and Democrats","7",2000-01-01,2008-03-20,2004-02-09,746.8,780.5,762.8,101133
"8","Leterme","Belgium","Christian-Democrat and Flemish / New Flemish Alliance","6",2008-03-20,2008-12-30,2008-08-09,746.8,780.5,762.8,9604
"9","Rompuy","Belgium","Flemish Christian Peoples Party","5",2008-12-30,2009-11-25,2009-06-13,746.8,780.5,762.8,11121
"10","Leterme","Belgium","Flemish Christian Peoples Party","5",2009-11-25,2011-12-06,2010-11-30,746.8,780.5,762.8,24971
"11","Di Rupo","Belgium","Socialist Party [Francophone]","2",2011-12-06,2014-10-11,2013-05-09,746.8,780.5,762.8,35048
"12","Michel","Belgium","Reformist Movement","6",2014-10-11,2019-07-19,2017-02-28,746.8,780.5,762.8,58705
"13","Kostov","Bulgaria","United Democratic Forces","6",2000-01-01,2001-07-24,2000-10-12,270.3,297,283.3,15218
"14","Sakskoburggotski","Bulgaria","National Movement Simeon II","5",2001-07-24,2005-08-17,2003-08-05,270.3,297,283.3,39649
"15","Stanishev","Bulgaria","Coalition for Bulgaria | Democratic Left","2",2005-08-17,2009-07-27,2007-08-07,270.3,297,283.3,38447
"16","Borisov","Bulgaria","Citizens for European Development of Bulgaria","7",2009-07-27,2013-03-13,2011-05-20,270.3,297,283.3,35377
"17","Raikov","Bulgaria","no party affiliation",NA,2013-03-13,2013-05-29,2013-04-20,270.3,297,283.3,2055
"18","Oresharski","Bulgaria","no party affiliation",NA,2013-05-29,2014-08-05,2013-12-31,270.3,297,283.3,11561
"19","Bliznashki","Bulgaria","no party affiliation",NA,2014-08-05,2014-11-07,2014-09-21,270.3,297,283.3,2509
"20","Borisov","Bulgaria","Citizens for European Development of Bulgaria","7",2014-11-07,2017-01-25,2015-12-17,270.3,297,283.3,21626
"21","Gerdzhikov","Bulgaria","National Movement Simeon II","5",2017-01-25,2017-05-04,2017-03-15,270.3,297,283.3,2643
"22","Borisov","Bulgaria","Citizens for European Development of Bulgaria","7",2017-05-04,2019-07-19,2018-06-11,270.3,297,283.3,21520
"23","Racan","Croatia","Social Democratic Party of Croatia","3",2000-01-27,2003-12-23,2002-01-09,249.9,270.3,259.9,29090
"24","Sanader","Croatia","Croatian Democratic Union","7",2003-12-23,2009-07-06,2006-09-29,249.9,270.3,259.9,41248
"25","Kosor","Croatia","Croatian Democratic Union","7",2009-07-06,2011-12-23,2010-09-29,249.9,270.3,259.9,18359
"26","Milanovic","Croatia","Social Democratic Party of Croatia","3",2011-12-23,2016-01-22,2014-01-06,249.9,270.3,259.9,30416
"27","Oreskovic","Croatia","no party affiliation",NA,2016-01-22,2016-10-19,2016-06-05,249.9,270.3,259.9,5528
"28","Plenkovic","Croatia","Croatian Democratic Union","7",2016-10-19,2019-07-19,2018-03-04,249.9,270.3,259.9,20461
"29","Clerides","Cyprus","Democratic Rally","8",2000-01-01,2003-02-28,2001-07-31,514.4,525.2,519.4,12463
"30","Papadopoulos","Cyprus","Democratic Party","5",2003-02-28,2008-02-28,2005-08-29,514.4,525.2,519.4,19720
"31","Christofias","Cyprus","Progressive Party of Working People","1",2008-02-28,2013-02-27,2010-08-29,514.4,525.2,519.4,19720
"32","Anastasiades","Cyprus","Democratic Rally","8",2013-02-27,2019-07-19,2016-05-08,514.4,525.2,519.4,25196
"33","Zeman","Czechia","Czech Social Democratic Party","3",2000-01-01,2002-07-15,2001-04-08,217.4,249.9,233.4,30095
"34","Spidla","Czechia","Czech Social Democratic Party","3",2002-07-15,2004-08-04,2003-07-25,217.4,249.9,233.4,24407
"35","Gross","Czechia","Czech Social Democratic Party","3",2004-08-04,2005-04-25,2004-12-14,217.4,249.9,233.4,8580
"36","Paroubek","Czechia","Czech Social Democratic Party","3",2005-04-25,2006-08-16,2005-12-20,217.4,249.9,233.4,15535
"37","Topolanek","Czechia","Civic Democratic Party","7",2006-08-16,2009-04-09,2007-12-12,217.4,249.9,233.4,31427
"38","Fischer","Czechia","no party affiliation",NA,2009-04-09,2010-06-28,2009-11-17,217.4,249.9,233.4,14462
"39","Necas","Czechia","Civic Democratic Party","7",2010-06-28,2013-07-10,2012-01-03,217.4,249.9,233.4,36010
"40","Rusnok","Czechia","no party affiliation",NA,2013-07-10,2014-01-17,2013-10-13,217.4,249.9,233.4,6207
"41","Sobotka","Czechia","Czech Social Democratic Party","3",2014-01-17,2017-12-13,2015-12-31,217.4,249.9,233.4,46345
"42","Babis","Czechia","Action of Dissatisfied Citizens","6",2017-12-13,2019-07-19,2018-09-30,217.4,249.9,233.4,18947
"43","Rasmussen N","Denmark","Social Democrats","3",2000-01-01,2001-11-27,2000-12-14,865,888.9,876,16634
"44","Rasmussen F","Denmark","Liberal Party","7",2001-11-27,2009-04-05,2005-08-01,865,888.9,876,64195
"45","Rasmussen L","Denmark","Liberal Party","7",2009-04-05,2011-10-02,2010-07-04,865,888.9,876,21749
"46","Thorning-Schmidt","Denmark","Social Democrats","3",2011-10-02,2015-06-28,2013-08-14,865,888.9,876,32623
"47","Rasmussen L","Denmark","Liberal Party","7",2015-06-28,2019-07-19,2017-07-08,865,888.9,876,35419
"48","Laar","Estonia","Pro Patria Union","7",2000-01-01,2002-01-28,2001-01-14,205.9,217.4,210.9,8717
"49","Kallas","Estonia","Estonian Reform Party","7",2002-01-28,2003-04-10,2002-09-03,205.9,217.4,210.9,5025
"50","Parts","Estonia","Res Publica Party","8",2003-04-10,2005-04-13,2004-04-11,205.9,217.4,210.9,8441
"51","Ansip","Estonia","Estonian Reform Party","7",2005-04-13,2014-03-26,2009-10-03,205.9,217.4,210.9,37593
"52","Roivas","Estonia","Estonian Reform Party","7",2014-03-26,2016-11-20,2015-07-24,205.9,217.4,210.9,11155
"53","Ratas","Estonia","Estonian Centre Party","3",2016-11-20,2019-07-19,2018-03-20,205.9,217.4,210.9,11166
"54","Lipponen","Finland","Social Democratic Party of Finland","3",2000-01-01,2003-04-17,2001-08-24,841.6,865,852.6,28126
"55","Jaatteenmaki","Finland","Centre Party","5",2003-04-17,2003-06-24,2003-05-21,841.6,865,852.6,1591
"56","Vanhanen","Finland","Centre Party","5",2003-06-24,2010-06-22,2006-12-22,841.6,865,852.6,59786
"57","Kiviniemi","Finland","Centre Party","5",2010-06-22,2011-06-22,2010-12-21,841.6,865,852.6,8540
"58","Katainen","Finland","National Coalition Party","7",2011-06-22,2014-06-24,2012-12-22,841.6,865,852.6,25693
"59","Stubb","Finland","National Coalition Party","7",2014-06-24,2015-05-29,2014-12-10,841.6,865,852.6,7932
"60","Sipilae","Finland","Centre Party","5",2015-05-29,2019-07-19,2017-06-23,841.6,865,852.6,35380
"61","Jospin","France","Socialist Party","3",2000-01-01,2002-05-07,2001-03-04,665,746.8,705,70102
"62","Raffarin","France","Rally for the Republic","7",2002-05-07,2005-05-31,2003-11-18,665,746.8,705,91615
"63","Villepin","France","Union for a Popular Movement | The Republicans","7",2005-05-31,2007-05-18,2006-05-24,665,746.8,705,58650
"64","Fillon","France","Union for a Popular Movement | The Republicans","7",2007-05-18,2012-05-15,2009-11-15,665,746.8,705,149203
"65","Ayrault","France","Socialist Party","3",2012-05-15,2014-03-31,2013-04-22,665,746.8,705,56032
