fips,unemp
01001,2.5
01003,3.2
01005,5.7
01007,10.0
01009,5.8
01011,5.9
01013,6.8
01015,6.4
01017,5.0
01019,3.4
01021,5.4
01023,5.5
01025,13.2
01027,3.5
01029,1.5
01031,4.3
01033,3.3
01035,8.3
01037,5.1
01039,4.6
01041,4.9
01043,4.2
01045,6.8
01047,10.9
01049,4.2
01051,3.9
01053,9.1
01055,6.3
01057,9.5
01059,3.6
01061,4.9
01063,3.3
01065,5.9
01067,3.3
01069,4.6
01071,5.4
01073,4.8
01075,6.4
01077,3.9
01079,2.1
01081,3.7
01083,3.7
01085,7.2
01087,10.7
01089,3.8
01091,2.4
01093,6.2
01095,3.7
01097,5.3
01099,11.9
01101,6.0
01103,4.0
01105,15.8
01107,6.5
01109,3.9
01111,2.8
01113,6.6
01115,4.5
01117,2.9
01119,8.6
01121,8.1
01123,7.5
01125,5.4
01127,4.4
01129,6.2
01131,12.1
01133,4.2
02013,3.8
02016,4.1
02020,4.6
02050,14.1
02060,4.0
02063,8.7
02066,7.6
02068,1.2
02070,10.8
02090,4.9
02100,4.7
02105,16.9
02110,4.0
02122,6.9
02130,3.5
02150,4.8
02158,18.1
02164,9.5
02170,6.0
02180,15.8
02185,6.6
02188,16.3
02195,4.2
02198,8.1
02220,7.1
02230,9.5
02240,6.9
02275,3.5
02282,1.4
02290,6.5
04001,10.0
04003,7.3
04005,6.6
04007,7.4
04009,6.3
04011,3.5
04012,10.8
04013,4.6
04015,6.9
04017,8.8
04019,5.7
04021,5.8
04023,10.5
04025,4.2
04027,8.1
05001,6.8
05003,6.1
05005,5.6
05007,3.1
05009,3.9
05011,4.4
05013,7.2
05015,3.9
05017,8.5
05019,4.4
05021,6.3
05023,6.5
05025,2.3
05027,3.1
05029,6.7
05031,6.0
05033,5.2
05035,9.4
05037,8.5
05039,8.5
05041,4.3
05043,5.1
05045,3.3
05047,4.4
05049,3.8
05051,5.9
05053,4.0
05055,7.5
05057,3.9
05059,3.6
05061,7.5
05063,4.6
05065,7.0
05067,9.7
05069,7.5
05071,4.9
05073,8.8
05075,6.3
05077,17.7
05079,2.3
05081,9.0
05083,5.9
05085,4.5
05087,4.3
05089,6.5
05091,7.2
05093,8.4
05095,9.4
05097,7.0
05099,8.3
05101,3.9
05103,4.6
05105,4.5
05107,15.8
05109,2.6
05111,5.3
05113,8.4
05115,4.7
05117,4.1
05119,4.9
05121,6.3
05123,7.4
05125,3.8
05127,6.2
05129,5.3
05131,5.8
05133,4.9
05135,6.5
05137,4.4
05139,4.4
05141,4.3
05143,4.2
05145,5.1
05147,6.3
05149,3.5
06001,5.2
06003,3.6
06005,6.1
06007,7.1
06009,5.9
06011,8.4
06013,5.9
06015,6.4
06017,4.8
06019,8.5
06021,7.4
06023,8.7
06025,12.6
06027,2.7
06029,8.4
06031,9.8
06033,11.5
06035,7.6
06037,7.0
06039,10.6
06041,6.1
06043,6.9
06045,9.3
06047,10.8
06049,6.0
06051,2.0
06053,5.1
06055,5.1
06057,4.7
06059,5.3
06061,4.5
06063,9.7
06065,6.6
06067,6.4
06069,6.0
06071,7.1
06073,6.2
06075,5.6
06077,7.4
06079,5.1
06081,4.5
06083,6.1
06085,4.5
