country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,1952,28.801,8425333,779.4453145
Afghanistan,Asia,1957,30.332,9240934,820.8530296
Afghanistan,Asia,1962,31.997,10267083,853.10071
Afghanistan,Asia,1967,34.02,11537966,836.1971382
Afghanistan,Asia,1972,36.088,13079460,739.9811058
Afghanistan,Asia,1977,38.438,14880372,786.11336
Afghanistan,Asia,1982,39.854,12881816,978.0114388
Afghanistan,Asia,1987,40.822,13867957,852.3959448
Afghanistan,Asia,1992,41.674,16317921,649.3413952
Afghanistan,Asia,1997,41.763,22227415,635.341351
Afghanistan,Asia,2002,42.129,25268405,726.7340548
Afghanistan,Asia,2007,43.828,31889923,974.5803384
Albania,Europe,1952,55.23,1282697,1601.056136
Albania,Europe,1957,59.28,1476505,1942.284244
Albania,Europe,1962,64.82,1728137,2312.888958
Albania,Europe,1967,66.22,1984060,2760.196931
Albania,Europe,1972,67.69,2263554,3313.422188
Albania,Europe,1977,68.93,2509048,3533.00391
Albania,Europe,1982,70.42,2780097,3630.880722
Albania,Europe,1987,72,3075321,3738.932735
Albania,Europe,1992,71.581,3326498,2497.437901
Albania,Europe,1997,72.95,3428038,3193.054604
Albania,Europe,2002,75.651,3508512,4604.211737
Albania,Europe,2007,76.423,3600523,5937.029526
Algeria,Africa,1952,43.077,9279525,2449.008185
Algeria,Africa,1957,45.685,10270856,3013.976023
Algeria,Africa,1962,48.303,11000948,2550.81688
Algeria,Africa,1967,51.407,12760499,3246.991771
Algeria,Africa,1972,54.518,14760787,4182.663766
Algeria,Africa,1977,58.014,17152804,4910.416756
Algeria,Africa,1982,61.368,20033753,5745.160213
Algeria,Africa,1987,65.799,23254956,5681.358539
Algeria,Africa,1992,67.744,26298373,5023.216647
Algeria,Africa,1997,69.152,29072015,4797.295051
Algeria,Africa,2002,70.994,31287142,5288.040382
Algeria,Africa,2007,72.301,33333216,6223.367465
Angola,Africa,1952,30.015,4232095,3520.610273
Angola,Africa,1957,31.999,4561361,3827.940465
Angola,Africa,1962,34,4826015,4269.276742
Angola,Africa,1967,35.985,5247469,5522.776375
Angola,Africa,1972,37.928,5894858,5473.288005
Angola,Africa,1977,39.483,6162675,3008.647355
Angola,Africa,1982,39.942,7016384,2756.953672
Angola,Africa,1987,39.906,7874230,2430.208311
Angola,Africa,1992,40.647,8735988,2627.845685
Angola,Africa,1997,40.963,9875024,2277.140884
Angola,Africa,2002,41.003,10866106,2773.287312
Angola,Africa,2007,42.731,12420476,4797.231267
Argentina,Americas,1952,62.485,17876956,5911.315053
Argentina,Americas,1957,64.399,19610538,6856.856212
Argentina,Americas,1962,65.142,21283783,7133.166023
Argentina,Americas,1967,65.634,22934225,8052.953021
Argentina,Americas,1972,67.065,24779799,9443.038526
Argentina,Americas,1977,68.481,26983828,10079.02674
Argentina,Americas,1982,69.942,29341374,8997.897412
Argentina,Americas,1987,70.774,31620918,9139.671389
Argentina,Americas,1992,71.868,33958947,9308.41871
Argentina,Americas,1997,73.275,36203463,10967.28195
Argentina,Americas,2002,74.34,38331121,8797.640716
Argentina,Americas,2007,75.32,40301927,12779.37964
Armenia,FSU,1992,68.663,3378331,1442.937796
Armenia,FSU,1997,70.377,3059000,1791.34719
Armenia,FSU,2002,71.403,3013818,2692.304039
Armenia,FSU,2007,71.965,2971650,4942.543911
Aruba,Americas,1972,70.941,59461,4939.758007
Aruba,Americas,1977,71.83,59412,7390.359942
Aruba,Americas,1982,74.116,61569,10874.91495
Aruba,Americas,1987,74.494,65415,17674.3389
Aruba,Americas,1992,74.108,67174,25120.54961
Aruba,Americas,1997,73.011,68341,26483.66862
Aruba,Americas,2002,73.451,70441,26467.87062
Aruba,Americas,2007,74.239,72194,27230.67521
Australia,Oceania,1950,69.02,8267337,10031.12138
Australia,Oceania,1951,68.72,8510600,10160.73672
Australia,Oceania,1952,69.12,8691212,10039.59564
Australia,Oceania,1953,69.7,8857924,10157.91298
Australia,Oceania,1954,69.85,9064017,10544.08738
Australia,Oceania,1955,70.17,9277087,10864.61774
Australia,Oceania,1956,70.05,9500606,10974.12837
Australia,Oceania,1957,70.33,9712569,10949.64959
Australia,Oceania,1958,70.88,9915267,11240.95886
Australia,Oceania,1959,70.45,10131729,11678.07069
Australia,Oceania,1960,70.89,10361273,11897.96372
Australia,Oceania,1961,71.16,10598814,11711.50002
Australia,Oceania,1962,70.93,10794968,12217.22686
Australia,Oceania,1963,70.99,11001483,12722.21702
Australia,Oceania,1964,70.65,11218304,13329.89726
Australia,Oceania,1965,70.98,11439384,13739.92688
Australia,Oceania,1966,70.82,11655083,13860.95806
Australia,Oceania,1967,71.1,11872264,14526.12465
Australia,Oceania,1968,70.73,12101660,15088.55836
Australia,Oceania,1969,71.14,12379384,15647.10938
Australia,Oceania,1970,70.81,12660160,16273.14214
Australia,Oceania,1971,71.41,12937200,16633.1259
Australia,Oceania,1972,71.93,13177000,16788.62948
Australia,Oceania,1973,72.14,13380400,17429.71805
Australia,Oceania,1974,71.89,13599100,17574.58167
Australia,Oceania,1975,72.84,13771400,17824.57038
Australia,Oceania,1976,72.88,13915500,18351.06793
Australia,Oceania,1977,73.49,14074100,18334.19751
Australia,Oceania,1978,73.88,14248600,18635.0381
Australia,Oceania,1979,74.44,14421900,19380.63562
Australia,Oceania,1980,74.6,14615900,19505.55452
Australia,Oceania,1981,74.97,14923260,19841.87946
Australia,Oceania,1982,74.74,15184200,19477.00928
Australia,Oceania,1983,75.55,15393500,19214.56115
Australia,Oceania,1984,76.02,15579400,20295.25294
Australia,Oceania,1985,75.46,15788300,21040.4946
Australia,Oceania,1986,76.13,16018350,21168.81051
Australia,Oceania,1987,76.32,16257249,21888.88903
Australia,Oceania,1988,76.36,16520206,22508.19078
Australia,Oceania,1989,76.46,16780235,23133.97635
Australia,Oceania,1990,77.06,17022133,23151.89034
Australia,Oceania,1991,77.55,17257526,22893.85675
Australia,Oceania,1992,77.56,17481977,23424.76683
Australia,Oceania,1993,78.1,17688687,24053.10102
Australia,Oceania,1994,78.1,17892557,24780.17241
Australia,Oceania,1995,78.49,18116171,25518.71544
Australia,Oceania,1996,78.56,18348078,26151.13247
Australia,Oceania,1997,78.83,18565243,26997.93657
Australia,Oceania,1998,79.33,18768789,28169.15341
Australia,Oceania,1999,79.58,18968247,28983.2672
Australia,Oceania,2000,79.99,19164620,29241.5145
Australia,Oceania,2001,80.35,19357594,30043.24277
Australia,Oceania,2002,80.37,19546792,30687.75473
Australia,Oceania,2003,80.78,19731984,31634.24243
Australia,Oceania,2004,81.15,19913144,32098.50615
Australia,Oceania,2007,81.235,20434176,34435.36744
Austria,Europe,1950,64.88,6935100,5733.098114
Austria,Europe,1951,65.26,6935451,6124.928282
Austria,Europe,1952,66.8,6927772,6137.076492
Austria,Europe,1953,67.29,6932483,6399.786948
Austria,Europe,1954,67.32,6940209,7045.971274
Austria,Europe,1955,67.6,6946885,7817.250888
Austria,Europe,1956,67.72,6952359,8348.449465
Austria,Europe,1957,67.48,6965860,8842.59803
Austria,Europe,1958,68.49,6987358,9137.296178
Austria,Europe,1959,68.42,7014331,9360.853847
Austria,Europe,1960,68.78,7047437,10083.83005
Austria,Europe,1961,69.75,7086299,10560.9654
Austria,Europe,1962,69.54,7129864,10750.72111
Austria,Europe,1963,69.67,7175811,11116.70439
Austria,Europe,1964,70.16,7223801,11705.63362
Austria,Europe,1965,69.95,7270889,11964.2821
Austria,Europe,1966,70.26,7322066,12549.33397
Austria,Europe,1967,70.14,7376998,12834.6024
