lat-1,lon-1,lat-2,lon-2,lat-3,lon-3,lat-4,lon-4,lat-5,lon-5,lat-6,lon-6,lat-7,lon-7,lat-8,lon-8,lat-9,lon-9,lat-10,lon-10,lat-11,lon-11,lat-12,lon-12,lat-13,lon-13,lat-14,lon-14,lat-15,lon-15,lat-16,lon-16,lat-17,lon-17,lat-18,lon-18
28.88868792,0,35.66353499,0,42.17084108,0,47.91202142,0,52.5,0,55.7361769,0,57.64209307,0,58.4371214,0,58.47023812,0,-28.88868792,0,-35.66353499,0,-42.17084108,0,-47.91202142,0,-52.5,0,-55.7361769,0,-57.64209307,0,-58.4371214,0,-58.47023812,0
28.68086614,2.5,35.40450219,2.5,41.86841711,2.5,47.58046432,2.5,52.15817444,2.5,55.40461979,2.5,57.3396691,2.5,58.1780886,2.5,58.26241634,2.5,-28.68086614,2.5,-35.40450219,2.5,-41.86841711,2.5,-47.58046432,2.5,-52.15817444,2.5,-55.40461979,2.5,-57.3396691,2.5,-58.1780886,2.5,-58.26241634,2.5
28.06371535,5,34.63527438,5,40.97033422,5,46.5958672,5,51.14308397,5,54.42002267,5,56.44158621,5,57.40886079,5,57.64526556,5,-28.06371535,5,-34.63527438,5,-40.97033422,5,-46.5958672,5,-51.14308397,5,-54.42002267,5,-56.44158621,5,-57.40886079,5,-57.64526556,5
27.05598738,7.5,33.37922416,7.5,39.50388019,7.5,44.98814655,7.5,49.48557159,7.5,52.81230202,7.5,54.97513218,7.5,56.15281056,7.5,56.63753759,7.5,-27.05598738,7.5,-33.37922416,7.5,-39.50388019,7.5,-44.98814655,7.5,-49.48557159,7.5,-52.81230202,7.5,-54.97513218,7.5,-56.15281056,7.5,-56.63753759,7.5
25.68830153,10,31.67451596,10,37.51361249,10,42.80615215,10,47.23599997,10,50.63030762,10,52.98486448,10,54.44810237,10,55.26985173,10,-25.68830153,10,-31.67451596,10,-37.51361249,10,-42.80615215,10,-47.23599997,10,-50.63030762,10,-52.98486448,10,-54.44810237,10,-55.26985173,10
24.00221423,12.5,29.5729465,12.5,35.06000439,12.5,40.1161828,12.5,44.46272122,12.5,47.94033827,12.5,50.53125638,12.5,52.34653291,12.5,53.58376444,12.5,-24.00221423,12.5,-29.5729465,12.5,-35.06000439,12.5,-40.1161828,12.5,-44.46272122,12.5,-47.94033827,12.5,-50.53125638,12.5,-52.34653291,12.5,-53.58376444,12.5
22.04895641,15,27.1383709,15,32.21760754,15,36.99997184,15,41.25,15,44.82412732,15,47.68885953,15,49.9119573,15,51.63050661,15,-22.04895641,15,-27.1383709,15,-32.21760754,15,-36.99997184,15,-41.25,15,-44.82412732,15,-47.68885953,15,-49.9119573,15,-51.63050661,15
19.8878768,17.5,24.44476249,17.5,29.07278673,17.5,33.55220379,17.5,37.69545322,17.5,41.37635926,17.5,44.54403872,17.5,47.21834889,17.5,49.469427,17.5,-19.8878768,17.5,-24.44476249,17.5,-29.07278673,17.5,-33.55220379,17.5,-37.69545322,17.5,-41.37635926,17.5,-44.54403872,17.5,-47.21834889,17.5,-49.469427,17.5
17.58463872,20,21.57396522,20,25.72109573,20,29.87763731,20,33.907084,20,37.70179279,20,41.19234773,20,44.34755162,20,47.16618893,20,-17.58463872,20,-21.57396522,20,-25.72109573,20,-29.87763731,20,-33.907084,20,-37.70179279,20,-41.19234773,20,-44.34755162,20,-47.16618893,20
15.2092249,22.5,18.6132068,22.5,22.264374,22.5,26.08792226,22.5,30,22.5,33.91207774,22.5,37.735626,22.5,41.3867932,22.5,44.7907751,22.5,-15.2092249,22.5,-18.6132068,22.5,-22.264374,22.5,-26.08792226,22.5,-30,22.5,-33.91207774,22.5,-37.735626,22.5,-41.3867932,22.5,-44.7907751,22.5
