_ - rank,_ - code,prob,Average annual wage,education,occupation,short occupation,len,probability,numbEmployed,median_ann_wage,employed_may2016,average_ann_wage
624,51-4033,0.95,34920,High school diploma or equivalent,"Grinding, Lapping, Polishing and Buffing Machine Tool Setters, Operators and Tenders, Metal and Plastic","Tool setters, operators and tenders",35,0.95,74600,32890,74600,34920
517,51-9012,0.88,41450,High school diploma or equivalent,"Separating, Filtering, Clarifying, Precipitating and Still Machine Setters, Operators and Tenders","Tool setters, operators and tenders",35,0.88,47160,38360,47160,41450
484,41-4012,0.85,68410,High school diploma or equivalent,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing",92,0.85,1404050,57140,1404050,68410
105,53-1031,0.029,59800,High school diploma or equivalent,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,Supervisors Transportation,26,0.029,202760,57270,202760,59800
620,51-4072,0.95,32660,High school diploma or equivalent,"Molding, Coremaking and Casting Machine Setters, Operators and Tenders, Metal and Plastic","Molding, Coremaking and Casting Machine Setters, Operators and Tenders, Metal and Plastic",89,0.95,145560,30480,145560,32660
518,51-6091,0.88,35420,High school diploma or equivalent,"Extruding and Forming Machine Setters, Operators and Tenders, Synthetic and Glass Fibers","Extruding and Forming Machine Setters, Operators and Tenders, Synthetic and Glass Fibers",88,0.88,19340,34240,19340,35420
427,51-4031,0.78,34210,High school diploma or equivalent,"Cutting, Punching and Press Machine Setters, Operators and Tenders, Metal and Plastic","Cutting, Punching and Press Machine Setters, Operators and Tenders, Metal and Plastic",85,0.78,192800,32370,192800,34210
228,41-4011,0.25,92910,Bachelor's degree,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",85,0.25,328370,78980,328370,92910
590,51-4032,0.94,38880,High school diploma or equivalent,"Drilling and Boring Machine Tool Setters, Operators and Tenders, Metal and Plastic","Drilling and Boring Machine Tool Setters, Operators and Tenders, Metal and Plastic",82,0.94,12290,36410,12290,38880
584,51-9041,0.93,34370,High school diploma or equivalent,"Extruding, Forming, Pressing and Compacting Machine Setters, Operators and Tenders","Extruding, Forming, Pressing and Compacting Machine Setters, Operators and Tenders",82,0.93,71260,32510,71260,34370
477,51-4034,0.84,39630,High school diploma or equivalent,"Lathe and Turning Machine Tool Setters, Operators and Tenders, Metal and Plastic","Lathe and Turning Machine Tool Setters, Operators and Tenders, Metal and Plastic",80,0.84,33850,38480,33850,39630
560,51-4021,0.91,35340,High school diploma or equivalent,"Extruding and Drawing Machine Setters, Operators and Tenders, Metal and Plastic","Extruding and Drawing Machine Setters, Operators and Tenders, Metal and Plastic",79,0.91,71960,33870,71960,35340
637,51-6064,0.96,28110,High school diploma or equivalent,"TextileWinding, Twisting and Drawing Out Machine Setters, Operators and Tenders","TextileWinding, Twisting and Drawing Out Machine Setters, Operators and Tenders",79,0.96,30340,27500,30340,28110
323,37-1012,0.57,48790,High school diploma or equivalent,"First-Line Supervisors of Landscaping, Lawn Service and Groundskeeping Workers",Supervisors Groundskeeping,26,0.57,103070,45740,103070,48790
634,43-6014,0.96,36140,High school diploma or equivalent,"Secretaries and Administrative Assistants, Except Legal, Medical and Executive",Secretaries and Administrative Assistants,41,0.96,2295510,34820,2295510,36140
554,49-2093,0.91,59840,Postsecondary nondegree award,"Electrical and Electronics Installers and Repairers, Transportation Equipment","Electrical and Electronics Installers and Repairers, Transportation Equipment",77,0.91,13960,59280,13960,59840
208,15-1179,0.21,67770,Associate's degree,"Information Security Analysts, Web Developers and Computer Network Architects","Information Security Analysts, Web Developers and Computer Network Architects",77,0.21,188740,62670,188740,67770
678,51-4035,0.98,41180,High school diploma or equivalent,"Milling and Planing Machine Setters, Operators and Tenders, Metal and Plastic","Milling and Planing Machine Setters, Operators and Tenders, Metal and Plastic",77,0.98,17560,39840,17560,41180
569,51-4193,0.92,33690,High school diploma or equivalent,"Plating and Coating Machine Setters, Operators and Tenders, Metal and Plastic","Plating and Coating Machine Setters, Operators and Tenders, Metal and Plastic",77,0.92,35570,31280,35570,33690
254,49-2022,0.36,54520,Postsecondary nondegree award,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Telecommunications Equipment Installers and Repairers,77,0.36,228430,53640,228430,54520
253,51-4012,0.36,53560,High school diploma or equivalent,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic","Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",75,0.36,25180,50580,25180,53560
548,51-3091,0.91,30970,No formal educational credential,"Food and Tobacco Roasting, Baking and Drying Machine Operators and Tenders","Food and Tobacco Roasting, Baking and Drying Machine Operators and Tenders",74,0.91,20080,28570,20080,30970
103,17-2111,0.028,90190,Bachelor's degree,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Health and Safety Engineers,74,0.028,25410,86720,25410,90190
205,25-3011,0.19,55140,Bachelor's degree,Adult Basic and Secondary Education and Literacy Teachers and Instructors,Adult Basic and Secondary Education and Literacy Teachers and Instructors,73,0.19,58810,50650,58810,55140
277,49-2094,0.41,56990,Postsecondary nondegree award,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","Electrical and Electronics Repairers, Commercial and Industrial Equipment",73,0.41,67390,56250,67390,56990
556,51-4191,0.91,39010,High school diploma or equivalent,"Heat Treating Equipment Setters, Operators and Tenders, Metal and Plastic","Heat Treating Equipment Setters, Operators and Tenders, Metal and Plastic",73,0.91,19780,37180,19780,39010
463,47-3011,0.83,33610,No formal educational credential,"Helpers–Brickmasons, Blockmasons, Stonemasons and Tile and Marble Setters","Helpers–Brickmasons, Blockmasons, Stonemasons and Tile and Marble Setters",73,0.83,23950,30570,23950,33610
373,33-9092,0.67,22640,No formal educational credential,"Lifeguards, Ski Patrol and Other Recreational Protective Service Workers","Lifeguards, Ski Patrol and Other Recreational Protective Service Workers",72,0.67,145100,20290,145100,22640
430,43-5053,0.79,49710,High school diploma or equivalent,"Postal Service Mail Sorters, Processors and Processing Machine Operators","Postal Service Mail Sorters, Processors and Processing Machine Operators",72,0.79,110770,56220,110770,49710
41,25-2031,0.0078,61420,Bachelor's degree,"Secondary School Teachers, Except Special and Career/Technical Education",Secondary School Teachers,72,0.0078,1003250,58030,1003250,61420
652,51-9021,0.97,36050,High school diploma or equivalent,"Crushing, Grinding and Polishing Machine Setters, Operators and Tenders","Crushing, Grinding and Polishing Machine Setters, Operators and Tenders",71,0.97,29830,34390,29830,36050
606,41-9091,0.94,28630,No formal educational credential,"Door-to-Door Sales Workers, News and Street Vendors and Related Workers","Door-to-Door Sales Workers, News and Street Vendors and Related Workers",71,0.94,8040,24330,8040,28630
227,53-3011,0.25,25600,High school diploma or equivalent,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Ambulance Drivers and Attendants,32,0.25,17300,23850,17300,25600
261,49-2095,0.38,74540,Postsecondary nondegree award,"Electrical and Electronics Repairers, Powerhouse, Substation and Relay","Electrical and Electronics Repairers, Powerhouse, Substation and Relay",70,0.38,23060,75670,23060,74540
552,51-4081,0.91,36190,High school diploma or equivalent,"MultipleMachine Tool Setters, Operators and Tenders, Metal and Plastic","MultipleMachine Tool Setters, Operators and Tenders, Metal and Plastic",70,0.91,117300,34340,117300,36190
551,51-9121,0.91,34460,High school diploma or equivalent,"Coating, Painting and Spraying Machine Setters, Operators and Tenders","Coating, Painting and Spraying Machine Setters, Operators and Tenders",69,0.91,85760,32790,85760,34460
279,53-1021,0.42,50160,High school diploma or equivalent,"First-Line Supervisors of Helpers, Laborers and Material Movers, Hand","First-Line Supervisors of Helpers, Laborers and Material Movers, Hand",69,0.42,183620,47230,183620,50160
200,25-2022,0.17,59800,Bachelor's degree,"Middle School Teachers, Except Special and Career/Technical Education",Middle School Teachers,69,0.17,626310,56720,626310,59800
342,51-4122,0.61,38380,High school diploma or equivalent,"Welding, Soldering and Brazing Machine Setters, Operators and Tenders","Welding, Soldering and Brazing Machine Setters, Operators and Tenders",69,0.61,46920,36980,46920,38380
445,51-9192,0.81,30590,No formal educational credential,"Cleaning, Washing and Metal Pickling Equipment Operators and Tenders","Cleaning, Washing and Metal Pickling Equipment Operators and Tenders",68,0.81,17860,28550,17860,30590
199,47-1011,0.17,68040,High school diploma or equivalent,First-Line Supervisors of Construction Trades and Extraction Workers,First-Line Supervisors of Construction Trades and Extraction Workers,68,0.17,538220,62980,"Secondary School Teachers, Except Special and Career/Technical Education",68040
362,49-9021,0.65,48320,Postsecondary nondegree award,"Heating, Air Conditioning and Refrigeration Mechanics and Installers","Heating, Air Conditioning and Refrigeration Mechanics and Installers",68,0.65,294730,45910,294730,48320
