Keyword,Clicks,Impressions,CTR,CPC
african baby doll,0.11,1.6%,1.82
african dolls,5.9,140.97,4.2%,2.49
black baby doll,0.38,14.1,2.7%,2.46
black barbie dolls for sale,1.19,7.05,16.9%,1.52
black dolls,8.53,190.31,4.5%,2.57
black dolls for sale,5.49,56.39,9.7%,2.47
black dolls for sale in south africa,3.32,35.24,9.4%,2.83
black ethnic dolls,0.18,7.05,2.5%,0.93
ethnic dolls,2.84,21.15,13.4%,2.23
the black doll,1.97,14.1,14%,2.07
where to buy black baby dolls,0.08,7.05,1.2%,3.50
where to buy black dolls,1.3,7.05,18.4%,1.69
