"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"15.04.2021","1.410,19","1.409,19","1.416,91","1.407,34","1,14B","0,07%"
"14.04.2021","1.409,19","1.380,71","1.409,19","1.380,71","2,63B","2,24%"
"13.04.2021","1.378,37","1.380,11","1.386,36","1.352,74","2,86B","0,18%"
"12.04.2021","1.375,91","1.393,47","1.398,12","1.374,67","2,30B","-1,24%"
"09.04.2021","1.393,24","1.413,18","1.414,95","1.373,65","2,87B","-1,65%"
"08.04.2021","1.416,55","1.422,22","1.430,34","1.415,06","2,10B","-0,09%"
"07.04.2021","1.417,89","1.420,94","1.422,48","1.402,36","2,78B","-0,19%"
"06.04.2021","1.420,59","1.442,88","1.445,13","1.419,66","2,65B","-1,49%"
"05.04.2021","1.442,06","1.428,99","1.443,02","1.428,88","2,56B","0,83%"
"02.04.2021","1.430,19","1.434,91","1.438,88","1.423,51","2,19B","0,25%"
"01.04.2021","1.426,56","1.399,34","1.426,56","1.399,34","3,17B","2,50%"
"31.03.2021","1.391,73","1.397,47","1.403,75","1.389,86","2,34B","-0,29%"
"30.03.2021","1.395,79","1.392,84","1.400,77","1.371,43","3,35B","0,23%"
"29.03.2021","1.392,57","1.385,74","1.398,89","1.382,47","2,67B","0,75%"
"26.03.2021","1.382,15","1.409,20","1.412,35","1.359,15","2,95B","-0,88%"
"25.03.2021","1.394,36","1.416,99","1.432,62","1.394,19","3,51B","-1,38%"
"24.03.2021","1.413,86","1.377,37","1.421,93","1.371,72","4,12B","2,64%"
"23.03.2021","1.377,43","1.335,76","1.402,99","1.256,32","5,74B","-0,13%"
"22.03.2021","1.379,25","1.491,99","1.491,99","1.378,56","1,96B","-9,79%"
"19.03.2021","1.528,99","1.548,53","1.553,93","1.511,29","3,19B","-1,41%"
"18.03.2021","1.550,93","1.567,79","1.574,56","1.548,24","3,57B","-0,72%"
"17.03.2021","1.562,11","1.574,78","1.589,47","1.562,11","2,85B","-0,53%"
"16.03.2021","1.570,42","1.561,41","1.572,91","1.557,54","2,17B","0,96%"
"15.03.2021","1.555,47","1.558,78","1.566,39","1.553,49","2,09B","-0,12%"
"12.03.2021","1.557,39","1.558,33","1.561,65","1.549,31","2,62B","0,06%"
"11.03.2021","1.556,49","1.574,58","1.580,03","1.551,88","3,10B","-0,54%"
"10.03.2021","1.564,94","1.551,30","1.565,97","1.551,30","3,00B","1,02%"
"09.03.2021","1.549,15","1.542,04","1.553,23","1.534,99","3,05B","1,23%"
"08.03.2021","1.530,27","1.549,62","1.553,81","1.526,58","3,56B","-0,76%"
"05.03.2021","1.541,98","1.534,40","1.546,08","1.528,47","3,40B","0,26%"
"04.03.2021","1.538,04","1.527,07","1.542,65","1.523,20","3,30B","0,46%"
"03.03.2021","1.531,05","1.538,80","1.553,96","1.526,54","4,18B","0,15%"
"02.03.2021","1.528,82","1.526,36","1.537,46","1.518,51","4,70B","0,09%"
"01.03.2021","1.527,45","1.491,88","1.527,45","1.491,13","3,24B","3,81%"
"26.02.2021","1.471,39","1.457,18","1.480,04","1.443,17","3,71B","-1,13%"
"25.02.2021","1.488,21","1.510,32","1.514,81","1.460,36","4,43B","0,35%"
"24.02.2021","1.483,02","1.506,53","1.523,19","1.483,02","4,25B","-2,30%"
"23.02.2021","1.517,86","1.558,03","1.560,29","1.515,25","5,10B","-2,11%"
"22.02.2021","1.550,61","1.563,08","1.569,84","1.547,49","4,05B","-0,62%"
"19.02.2021","1.560,34","1.551,54","1.567,42","1.550,14","4,24B","0,90%"
"18.02.2021","1.546,41","1.548,04","1.562,83","1.544,22","4,68B","0,38%"
"17.02.2021","1.540,59","1.550,49","1.553,41","1.529,93","5,05B","-0,14%"
"16.02.2021","1.542,82","1.569,12","1.575,70","1.522,08","5,63B","-1,26%"
"15.02.2021","1.562,49","1.551,12","1.565,83","1.547,38","2,96B","1,56%"
"12.02.2021","1.538,44","1.542,50","1.548,69","1.526,72","3,02B","-0,46%"
"11.02.2021","1.545,59","1.547,11","1.558,08","1.543,75","3,34B","-0,10%"
"10.02.2021","1.547,11","1.553,41","1.556,70","1.536,44","3,95B","0,20%"
"09.02.2021","1.544,05","1.538,53","1.551,83","1.535,59","5,43B","0,60%"
"08.02.2021","1.534,91","1.540,22","1.542,44","1.519,00","6,52B","0,51%"
"05.02.2021","1.527,17","1.544,79","1.549,51","1.527,17","3,82B","-0,50%"
"04.02.2021","1.534,90","1.537,65","1.544,63","1.530,82","4,22B","0,09%"
"03.02.2021","1.533,55","1.520,70","1.533,55","1.509,18","5,13B","1,46%"
"02.02.2021","1.511,43","1.505,09","1.517,53","1.500,04","4,77B","1,27%"
"01.02.2021","1.492,45","1.484,86","1.500,88","1.471,54","3,82B","1,29%"
"29.01.2021","1.473,45","1.485,21","1.495,54","1.469,55","4,51B","-1,66%"
"28.01.2021","1.498,32","1.453,37","1.498,43","1.431,32","5,83B","2,13%"
"27.01.2021","1.467,00","1.536,13","1.541,01","1.467,00","5,79B","-4,50%"
"26.01.2021","1.536,11","1.538,03","1.548,61","1.516,81","5,30B","-0,27%"
"25.01.2021","1.540,21","1.556,57","1.560,13","1.536,97","4,81B","-0,15%"
"22.01.2021","1.542,45","1.551,47","1.555,59","1.525,93","4,69B","-0,59%"
"21.01.2021","1.551,57","1.578,03","1.582,04","1.551,57","5,61B","-1,13%"
"20.01.2021","1.569,35","1.573,37","1.574,30","1.552,10","4,56B","0,28%"
"19.01.2021","1.565,01","1.569,56","1.578,30","1.561,02","4,84B","0,53%"
"18.01.2021","1.556,77","1.525,45","1.558,81","1.508,90","4,68B","2,12%"
"15.01.2021","1.524,49","1.536,82","1.547,84","1.516,14","4,76B","-1,43%"
