"City, State",Classification,Definition,DRG,Hospital Referral Region Description,Provider City,Provider Id,Provider Name,Provider State,Provider Street Address,Provider Zip Code,Average Covered Charges ,Average Total Payments ,Number of Records,Reimbursement Rate,Total Discharges ,Total Payment
"ANCHORAGE, AK",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AK - Anchorage,ANCHORAGE,20001,PROVIDENCE ALASKA MEDICAL CENTER,AK,BOX 196604,99519,32458.00,5720.00,1,0.176230308,12,"68,641.00"
"JUNEAU, AK",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AK - Anchorage,JUNEAU,20008,BARTLETT REGIONAL HOSPITAL,AK,3260 HOSPITAL DR,99801,12078.00,7227.00,1,0.598368278,13,"93,951"
"ANNISTON, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,ANNISTON,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,AL,400 EAST 10TH STREET,36207,17066.00,3391.00,1,0.198721676,13,"44,087.00"
"BIRMINGHAM, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,BIRMINGHAM,10139,BROOKWOOD MEDICAL CENTER,AL,2010 BROOKWOOD MEDICAL CENTER DRIVE,35209,35458.00,3264.00,1,0.092054539,13,"42,433.00"
"FLORENCE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,FLORENCE,10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,205 MARENGO STREET,35631,10866.00,3290.00,1,0.30274765,14,"46,057.00"
"OPELIKA, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,OPELIKA,10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,2000 PEPPERELL PARKWAY,36801,5623.00,3830.00,1,0.681110815,14,"53,615.00"
"GADSDEN, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,GADSDEN,10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,600 SOUTH THIRD STREET,35901,17280.00,3406.00,1,0.19708396,38,"129,414.00"
"HARTSELLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,HARTSELLE,10009,HARTSELLE MEDICAL CENTER,AL,201 PINE STREET NORTHWEST,35640,12410.00,3500.00,1,0.282035491,42,"147,000"
"JACKSONVILLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,JACKSONVILLE,10146,JACKSONVILLE MEDICAL CENTER,AL,1701 SOUTH PELHAM ROAD,36265,10386.00,3492.00,1,0.336244709,201,"701,969.00"
"DOTHAN, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Dothan,DOTHAN,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1108 ROSS CLARK CIRCLE,36301,12255.00,3621.00,1,0.295441643,47,"170,167.00"
"DECATUR, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Huntsville,DECATUR,10085,DECATUR GENERAL HOSPITAL,AL,1201 7TH STREET SE,35609,5329.00,3481.00,1,0.653224843,11,"38,294.00"
"HUNTSVILLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Huntsville,HUNTSVILLE,10039,HUNTSVILLE HOSPITAL,AL,101 SIVLEY RD,35801,22834.00,3900.00,1,0.170821861,15,"58,507.00"
"HUNTSVILLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Huntsville,HUNTSVILLE,10131,CRESTWOOD MEDICAL CENTER,AL,ONE HOSPITAL DR SE,35801,19644.00,3647.00,1,0.185663621,24,"87,530.00"
"MOBILE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Mobile,MOBILE,10113,MOBILE INFIRMARY,AL,5 MOBILE INFIRMARY CIRCLE,36652,16401.00,3497.00,1,0.213212797,22,"76,934"
"MONTGOMERY, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Montgomery,MONTGOMERY,10023,BAPTIST MEDICAL CENTER SOUTH,AL,2105 EAST SOUTH BOULEVARD,36116,17288.00,4214.00,1,0.24373133,14,"58,992.00"
"WETUMPKA, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Montgomery,WETUMPKA,10097,ELMORE COMMUNITY HOSPITAL,AL,500 HOSPITAL DRIVE,36092,2537.00,4228.00,1,1.666921382,276,"1,167,060.00"
"TUSCALOOSA, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Tuscaloosa,TUSCALOOSA,10092,D C H REGIONAL MEDICAL CENTER,AL,809 UNIVERSITY BOULEVARD EAST,35401,13533.00,3937.00,1,0.290922092,34,"133,855.00"
"YORK, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,MS - Meridian,YORK,10138,HILL HOSPITAL OF SUMTER COUNTY,AL,751 DERBY DRIVE,36925,5130.00,4195.00,1,0.817740524,92,"385,940"
"FORT SMITH, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Fort Smith,FORT SMITH,40055,SPARKS REGIONAL MEDICAL CENTER,AR,1001 TOWSON AVENUE,72901,9179.00,3665.00,1,0.399322705,12,"43,983"
"JONESBORO, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Jonesboro,JONESBORO,40020,ST BERNARDS MEDICAL CTR,AR,225 E JACKSON,72401,5586.00,3940.00,1,0.705360063,52,"204,881.00"
"LITTLE ROCK, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Little Rock,LITTLE ROCK,40007,ST VINCENT INFIRMARY MEDICAL CENTER,AR,TWO ST VINCENT CIRCLE,72205,15041.00,3841.00,1,0.255330701,18,"69,129"
"LITTLE ROCK, AR",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AR - Little Rock,LITTLE ROCK,40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,"9601 INTERSTATE 630, EXIT 7",72205,11067.00,3788.00,1,0.342327168,25,"94,712"
