"City, State",Classification,Definition,DRG,Hospital Referral Region Description,Provider City,Provider Id,Provider Name,Provider State,Provider Street Address,Provider Zip Code,Average Covered Charges ,Average Total Payments ,Number of Records,Reimbursement Rate,Total Discharges ,Total Payment
"ANCHORAGE, AK",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AK - Anchorage,ANCHORAGE,20001,PROVIDENCE ALASKA MEDICAL CENTER,AK,BOX 196604,99519,"$32,458","$5,720",1,0.176230308,12,"68,641.00"
"JUNEAU, AK",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AK - Anchorage,JUNEAU,20008,BARTLETT REGIONAL HOSPITAL,AK,3260 HOSPITAL DR,99801,"$12,078","$7,227",1,0.598368278,13,"93,951"
"ANNISTON, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,ANNISTON,10078,NORTHEAST ALABAMA REGIONAL MED CENTER,AL,400 EAST 10TH STREET,36207,"$17,066","$3,391",1,0.198721676,13,"44,087.00"
"BIRMINGHAM, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,BIRMINGHAM,10139,BROOKWOOD MEDICAL CENTER,AL,2010 BROOKWOOD MEDICAL CENTER DRIVE,35209,"$35,458","$3,264",1,0.092054539,13,"42,433.00"
"FLORENCE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,FLORENCE,10006,ELIZA COFFEE MEMORIAL HOSPITAL,AL,205 MARENGO STREET,35631,"$10,866","$3,290",1,0.30274765,14,"46,057.00"
"OPELIKA, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,OPELIKA,10029,EAST ALABAMA MEDICAL CENTER AND SNF,AL,2000 PEPPERELL PARKWAY,36801,"$5,623","$3,830",1,0.681110815,14,"53,615.00"
"GADSDEN, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,GADSDEN,10046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,600 SOUTH THIRD STREET,35901,"$17,280","$3,406",1,0.19708396,38,"129,414.00"
"HARTSELLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,HARTSELLE,10009,HARTSELLE MEDICAL CENTER,AL,201 PINE STREET NORTHWEST,35640,"$12,410","$3,500",1,0.282035491,42,"147,000"
"JACKSONVILLE, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Birmingham,JACKSONVILLE,10146,JACKSONVILLE MEDICAL CENTER,AL,1701 SOUTH PELHAM ROAD,36265,"$10,386","$3,492",1,0.336244709,201,"701,969.00"
"DOTHAN, AL",Alcohol and Drug Use,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,897,AL - Dothan,DOTHAN,10001,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1108 ROSS CLARK CIRCLE,36301,"$12,255","$3,621",1,0.295441643,47,"170,167.00"
