male,age,female,ratio
63121,18,42325,1.49
79815,19,50706,1.57
94232,20,50653,1.86
108934,21,55031,1.98
116770,22,56519,2.07
126399,23,59867,2.11
118945,24,54811,2.17
116456,25,51950,2.24
106582,26,47846,2.23
99426,27,45602,2.18
95564,28,43462,2.20
82679,29,39019,2.12
76690,30,37518,2.04
67896,31,34600,1.96
63449,32,32668,1.94
64913,33,34147,1.90
50776,34,28700,1.77
47415,35,26980,1.76
43093,36,25513,1.69
39639,37,24595,1.61
38744,38,23991,1.61
34014,39,22261,1.53
33279,40,22287,1.49
30630,41,21679,1.41
30625,42,22103,1.39
32195,43,22846,1.41
26349,44,19904,1.32
24136,45,18773,1.29
22017,46,17826,1.24
21100,47,17542,1.20
20458,48,17386,1.18
18331,49,16022,1.14
16591,50,14604,1.14
14336,51,13029,1.10
13420,52,12345,1.09
13167,53,12037,1.09
10338,54,9767,1.06
9679,55,9166,1.06
8434,56,8152,1.03
7410,57,7067,1.05
6869,58,6490,1.06
5492,59,5590,0.98
4836,60,4760,1.02
