colorVal,blockHeight,blockWidth,cycMaterial,blockMaterial,totalWeight,assemblyPW,HstW,minHW,minWD,rfBlock
-41,32000,268630,0,0,160,9,236630,5137,98453,1417
-1317,162666,489543,0,0,1324,794,326876,113712,319366,23377
-164,32000,379086,1,0,252,34,347086,-5909,234498,3376
-1856,162666,6.00E+05,0.5,0,1711,1409,437333,102666,455411,33336
-79,32000,489543,2,0,173,17,457543,-16955,391333,5635
-931,162666,268630,3,0,624,536,105963,135803,147711,10812
-191,32000,6.00E+05,3,0,228,39,568000,-28000,479081,6898
-2983,162666,379086,0,1,2474,7133,216420,124758,208910,21273
-341,32000,268630,1,1,371,115,236630,5137,124041,2484
-3846,162666,489543,1,1,3103,9843,326876,113712,344954,35126
-278,32000,379086,2,1,312,107,347086,-5909,280876,5626
-3019,162666,6.00E+05,2,1,2408,7017,437333,102666,501789,51096
-523,32000,489543,3,1,460,273,457543,-16955,368624,7384
-2357,162666,268630,0,2,1727,5131,105963,135803,98453,22020
-985,32000,6.00E+05,0,2,754,1210,568000,-28000,429823,18912
-3447,162666,379086,1,2,2457,9032,216420,124758,234498,52449
-211,32000,268630,2,2,227,82,236630,5137,170419,7498
-2842,162666,489543,2,2,1963,7312,326876,113712,391333,87528
-458,32000,379086,3,2,354,252,347086,-5909,258167,11359
-4388,162666,6.00E+05,3,2,2797,16778,437333,102666,479081,107154
-784,32000,489543,0,3,377,760,457543,-16955,319366,9197
-2563,162666,268630,1,3,1327,4349,105963,135803,124041,18159
-935,32000,6.00E+05,1,3,462,891,568000,-28000,455411,13115
-2253,162666,379086,2,3,1009,4228,216420,124758,280876,41120
-313,32000,268630,3,3,166,123,236630,5137,147711,4254
-3667,162666,489543,3,3,1415,10800,326876,113712,368624,53966
-1479,86600,436900,3,1,1118,1593,350300,42910,315981,17129
-1030,163400,373600,0,0,1063,467,210200,126039,203423,14957
-632,162600,268630,2,0,593,260,106030,135736,170419,12469
-623,90000,439000,3,0,498,226,349000,46100,318081,12882
-1945,93100,381800,1,3,959,2940,288700,54920,237211,19875
-1324,163000,491200,0,0,1331,803,328200,113880,321023,23547
-1221,140500,402800,1,0,1146,689,262300,100220,258211,16325
-878,130000,381400,3,0,645,420,251400,91860,260481,15238
-947,100700,485600,1,0,921,422,384900,52140,341011,15452
-1615,164500,6.00E+05,0,0,1596,1229,435500,104500,429823,31817
-697,147700,372200,2,0,663,275,224500,110480,273989,18210
-575,121700,394700,2,0,568,198,273000,82230,296489,16237
-482,107500,383800,2,0,492,150,276300,69120,285589,13815
-905,176600,401100,2,0,833,423,224500,136490,302889,24070
-869,133600,356500,3,0,630,423,222900,97950,235581,14163
-433,111100,313200,2,0,445,134,202100,79780,214989,10748
-484,93100,487100,2,0,504,146,394000,44390,388889,16292
-349,72400,490700,2,0,394,89,418300,23330,392489,12787
-667,130100,432299,2,0,647,248,302200,86870,334089,19559
-248,54500,530300,2,0,314,55,475800,1469,432089,10597
