"x","y","z","facecolor","i","j","k"
"-2.425610065460205","-1.4723600149154663","0.13252300024032593","rgb(31,151,139)","0","1","2"
"-2.089970111846924","-1.8835099935531616","0.09794300049543381","rgb(31,151,139)","2","3","0"
"-2.2389700412750244","-1.8958300352096558","0.08830799907445908","rgb(31,150,139)","0","3","4"
"-2.449660062789917","-1.8704299926757812","0.0769210010766983","rgb(31,150,139)","4","5","0"
"-2.6695899963378906","-1.8159199953079224","0.06671500205993652","rgb(31,150,139)","0","5","6"
"-2.788140058517456","-1.746090054512024","0.06472299993038177","rgb(31,150,139)","6","7","0"
"-2.8709299564361572","-1.6605000495910645","0.06844399869441986","rgb(31,151,139)","0","7","8"
"-2.9286000728607178","-1.5641200542449951","0.07826899737119675","rgb(31,152,139)","0","9","1"
"-2.9584600925445557","-1.4187300205230713","0.10441400110721588","rgb(31,152,139)","10","9","0"
"-2.0018200874328613","-1.8319100141525269","0.10702800005674362","rgb(31,153,138)","0","11","10"
"-1.946310043334961","-1.7476099729537964","0.11917299777269363","rgb(31,154,138)","12","11","0"
"-1.9249999523162842","-1.6594300270080566","0.13295499980449677","rgb(31,160,136)","13","12","14"
"-1.908619999885559","-1.4966000318527222","0.16615000367164612","rgb(30,157,137)","14","12","0"
"-1.9023799896240234","-1.1815099716186523","0.26549801230430603","rgb(31,158,137)","0","15","14"
"-2.2059600353240967","-1.181399941444397","0.23820599913597107","rgb(30,155,138)","15","0","8"
"-2.6727700233459473","-1.1339800357818604","0.2146739959716797","rgb(30,157,137)","8","16","15"
"-2.9701099395751953","-1.0691100358963013","0.2135169953107834","rgb(32,164,134)","17","13","14"
"-1.910099983215332","-0.9099329710006714","0.3709869980812073","rgb(34,167,133)","17","14","18"
"-2.197319984436035","-0.8864229917526245","0.35430800914764404","rgb(32,163,134)","18","14","15"
"-2.6782500743865967","-0.8368110060691833","0.330377995967865","rgb(33,165,133)","18","15","19"
"-1.9147499799728394","-0.6379479765892029","0.5486590266227722","rgb(39,173,129)","20","17","18"
"-2.1979899406433105","-0.6046050190925598","0.5384169816970825","rgb(45,178,125)","20","18","21"
"-2.9939498901367188","-0.5459240078926086","0.4863620102405548","rgb(41,175,127)","22","23","19"
"-2.6944100856781006","-0.5672140121459961","0.5064740180969238","rgb(37,171,130)","22","19","24"
"-2.977180004119873","-0.8094239830970764","0.31415700912475586","rgb(44,177,126)","25","23","26"
"-2.481149911880493","-0.7023860216140747","0.4411099851131439","rgb(31,161,135)","19","15","16"
"-2.4649999141693115","-0.6859809756278992","0.4538489878177643","rgb(32,164,134)","19","16","24"
"-1.9077800512313843","-0.31820300221443176","0.5930619835853577","rgb(53,183,121)","27","20","21"
"-2.1815500259399414","-0.30911698937416077","0.5748260021209717","rgb(53,183,121)","27","21","28"
"-3.0028700828552246","-0.2818470001220703","0.5200999975204468","rgb(49,181,123)","29","30","23"
"-2.7088398933410645","-0.2893570065498352","0.5400300025939941","rgb(47,180,124)","29","23","22"
"-3.018249988555908","-0.0077760000713169575","0.42988601326942444","rgb(44,177,126)","31","32","30"
"-2.716439962387085","-0.0038880000356584787","0.44533100724220276","rgb(46,179,124)","31","30","29"
"-1.8877899646759033","-0.01013999991118908","0.4930649995803833","rgb(52,182,121)","33","27","28"
"-2.1640100479125977","-0.008055999875068665","0.47715499997138977","rgb(47,180,124)","33","28","34"
"-1.8992400169372559","0.34254398941993713","0.5869150161743164","rgb(49,181,123)","35","33","34"
"-2.169300079345703","0.3333269953727722","0.5693169832229614","rgb(52,182,121)","35","34","36"
"-3.0547499656677246","0.28718701004981995","0.5070379972457886","rgb(46,179,124)","37","38","32"
"-2.7383100986480713","0.3077999949455261","0.5304780006408691","rgb(42,176,127)","37","32","31"
"-1.8907500505447388","0.703931987285614","0.6352220177650452","rgb(58,186,118)","39","35","36"
"-2.186569929122925","0.6756139993667603","0.6127099990844727","rgb(58,186,118)","39","36","40"
"-3.102940082550049","0.5834010243415833","0.5423579812049866","rgb(52,182,121)","41","42","38"
"-2.7781999111175537","0.6189910173416138","0.567674994468689","rgb(49,181,123)","41","38","37"
"-2.3902299404144287","-0.43397799134254456","0.5411419868469238","rgb(52,182,121)","43","28","21"
"-2.3957700729370117","-0.4597350060939789","0.5368790030479431","rgb(50,182,122)","43","21","44"
"-2.4151298999786377","-0.17540499567985535","0.5160279870033264","rgb(50,182,122)","45","28","46"
"-2.440160036087036","-0.18345899879932404","0.5171800255775452","rgb(46,179,124)","47","32","38"
"-2.4911599159240723","0.16566599905490875","0.5032650232315063","rgb(47,180,124)","47","38","48"
"-2.5001699924468994","0.1895579993724823","0.5096420049667358","rgb(52,182,121)","49","38","42"
"-2.5107998847961426","0.4795199930667877","0.5661389827728271","rgb(53,183,121)","49","42","50"
"-2.5195999145507812","0.5041750073432922","0.5688480138778687","rgb(61,188,116)","51","39","40"
"-1.8816900253295898","1.0392500162124634","0.6256049871444702","rgb(59,187,117)","51","40","52"
"-2.201740026473999","0.9926599860191345","0.6012359857559204","rgb(56,185,119)","52","40","42"
"-2.8418500423431396","0.8994830250740051","0.5524979829788208","rgb(55,184,120)","52","42","53"
"-3.1740000247955322","0.8498250246047974","0.5272510051727295","rgb(52,182,121)","54","53","42"
"-1.8822200298309326","1.53889000415802","0.535273015499115","rgb(52,182,121)","54","42","41"
"-3.3043599128723145","1.3841700553894043","0.42119100689888","rgb(56,185,119)","55","51","52"
"-3.397779941558838","1.7949600219726562","0.2699339985847473","rgb(49,181,123)","56","55","52"
"-1.8323999643325806","1.848580002784729","0.4479750096797943","rgb(49,181,123)","56","52","53"
"-3.4629600048065186","2.055109977722168","0.15698400139808655","rgb(46,179,124)","56","53","54"
"-1.7653599977493286","2.037630081176758","0.3071570098400116","rgb(39,173,129)","57","58","55"
"-3.5154600143432617","2.272710084915161","-0.0064849997870624065","rgb(38,173,129)","57","55","56"
"-1.6386300325393677","2.1858999729156494","0.11894600093364716","rgb(32,164,134)","58","57","59"
"-3.540290117263794","2.373070001602173","-0.09827899932861328","rgb(33,165,133)","58","59","60"
"-1.5607399940490723","2.2435200214385986","0.0184129998087883","rgb(31,154,138)","61","62","60"
