"x","y","z","facecolor","i","j","k"
"2.229870080947876","0.0","0.39780598878860474","rgb(31,150,139)","0","1","2"
"0.6821309924125671","0.0","0.2965660095214844","rgb(33,166,133)","3","4","0"
"0.0","0.0","0.25","rgb(94,201,98)","5","6","7"
"4.930200099945068","0.0","0.5335479974746704","rgb(115,208,86)","6","5","8"
"3.8952200412750244","0.0","0.49602898955345154","rgb(144,215,67)","9","10","6"
"6.576859951019287","0.06354500353336334","0.875","rgb(231,228,25)","11","12","9"
"6.2458600997924805","0.06354500353336334","0.9195770025253296","rgb(239,229,28)","13","14","11"
"6.072030067443848","0.06354500353336334","0.8097190260887146","rgb(152,216,62)","15","16","13"
"6.629799842834473","0.06354500353336334","1.0695199966430664","rgb(52,182,121)","17","18","15"
"6.630569934844971","0.06354500353336334","1.2520099878311157","rgb(31,152,139)","19","20","17"
"6.39493989944458","0.06354500353336334","1.057770013809204","rgb(32,147,140)","21","22","19"
"7.25","0.06354500353336334","1.5","rgb(41,122,142)","23","24","25"
"6.924880027770996","0.06354500353336334","1.4251400232315063","rgb(33,144,141)","0","2","23"
"7.815810203552246","0.06354500353336334","1.316830039024353","rgb(144,215,67)","6","8","26"
"7.561379909515381","0.06354500353336334","1.4508399963378906","rgb(31,152,139)","27","21","19"
"8.050390243530273","0.06354500353336334","0.875","rgb(36,135,142)","0","23","25"
"7.987430095672607","0.06354500353336334","1.118149995803833","rgb(160,218,57)","9","6","26"
"7.8350701332092285","0.06354500353336334","0.43549299240112305","rgb(31,158,137)","28","27","19"
"7.994659900665283","0.06354500353336334","0.632722020149231","rgb(31,150,139)","3","0","25"
"7.25","0.06354500353336334","0.25","rgb(200,224,32)","9","26","29"
"7.583049774169922","0.06354500353336334","0.3017669916152954","rgb(223,227,24)","11","9","29"
"6.722030162811279","0.06354500353336334","0.33319100737571716","rgb(234,229,26)","11","29","30"
"6.927999973297119","0.06354500353336334","0.2705489993095398","rgb(234,229,26)","11","30","31"
"0.7002260088920593","0.0","0.08675199747085571","rgb(221,227,24)","11","31","32"
"2.2781200408935547","0.0","-0.004585000220686197","rgb(31,161,135)","33","28","19"
"3.94950008392334","0.0","-0.005446999799460173","rgb(218,227,25)","13","11","32"
"6.774139881134033","0.06354500353336334","1.2284599542617798","rgb(31,159,136)","34","33","19"
"6.540309906005859","0.06354500353336334","0.41867199540138245","rgb(181,222,43)","13","32","35"
"6.291029930114746","0.06354500353336334","0.5077409744262695","rgb(31,154,138)","36","34","19"
"6.988120079040527","0.06354500353336334","1.335669994354248","rgb(147,215,65)","13","35","37"
"7.25","0.06354500353336334","1.375","rgb(31,154,138)","36","19","17"
"7.511879920959473","0.06354500353336334","1.335669994354248","rgb(132,212,75)","15","13","37"
"7.725860118865967","0.06354500353336334","1.2284599542617798","rgb(31,160,136)","38","36","17"
"6.774139881134033","0.06354500353336334","0.5215399861335754","rgb(82,197,105)","15","37","39"
"6.988120079040527","0.06354500353336334","0.414328008890152","rgb(32,164,134)","40","38","17"
"7.870200157165527","0.06354500353336334","1.0695199966430664","rgb(58,186,118)","15","39","40"
"7.25","0.06354500353336334","0.375","rgb(46,179,124)","40","17","15"
"7.923140048980713","0.06354500353336334","0.875","rgb(32,147,140)","2","1","41"
"7.511879920959473","0.06354500353336334","0.414328008890152","rgb(32,146,140)","2","41","42"
"7.870200157165527","0.06354500353336334","0.6804829835891724","rgb(30,155,138)","1","0","43"
"7.725860118865967","0.06354500353336334","0.5215399861335754","rgb(31,152,139)","1","43","41"
"0.6821309924125671","0.11928000301122665","0.2965660095214844","rgb(33,165,133)","0","4","44"
"0.0","0.11928000301122665","0.25","rgb(31,161,135)","0","44","43"
"2.229870080947876","0.11928000301122665","0.39780598878860474","rgb(37,171,130)","4","3","45"
"3.8952200412750244","0.11928000301122665","0.49602898955345154","rgb(35,169,131)","4","45","44"
"4.930200099945068","0.11928000301122665","0.5335479974746704","rgb(40,174,128)","3","46","47"
"5.3757500648498535","0.00839299988001585","0.5719079971313477","rgb(38,173,129)","3","47","45"
"5.3757500648498535","0.1276720017194748","0.5719079971313477","rgb(50,182,122)","46","48","49"
"5.769179821014404","0.04436099901795387","0.6788970232009888","rgb(46,179,124)","46","49","47"
"5.769179821014404","0.16364100575447083","0.6788970232009888","rgb(72,193,110)","48","7","50"
"6.072030067443848","0.1828240007162094","0.8097190260887146","rgb(64,189,114)","48","50","49"
"6.2458600997924805","0.1828240007162094","0.9195770025253296","rgb(96,202,96)","7","6","51"
"6.39493989944458","0.1828240007162094","1.057770013809204","rgb(88,199,101)","7","51","50"
"6.630569934844971","0.1828240007162094","1.2520099878311157","rgb(129,211,77)","6","10","52"
"6.924880027770996","0.1828240007162094","1.4251400232315063","rgb(117,208,84)","6","52","51"
"7.25","0.1828240007162094","1.5","rgb(176,221,47)","10","9","53"
"7.561379909515381","0.1828240007162094","1.4508399963378906","rgb(157,217,59)","10","53","52"
"7.815810203552246","0.1828240007162094","1.316830039024353","rgb(223,227,24)","9","12","54"
"7.987430095672607","0.1828240007162094","1.118149995803833","rgb(208,225,28)","9","54","53"
"8.050390243530273","0.1828240007162094","0.875","rgb(253,231,37)","12","11","55"
"7.994659900665283","0.1828240007162094","0.632722020149231","rgb(246,230,32)","12","55","54"
"7.8350701332092285","0.1828240007162094","0.43549299240112305","rgb(251,231,35)","11","14","56"
"7.583049774169922","0.1828240007162094","0.3017669916152954","rgb(253,231,37)","11","56","55"
"7.25","0.1828240007162094","0.25","rgb(223,227,24)","14","13","57"
"6.927999973297119","0.1828240007162094","0.2705489993095398","rgb(234,229,26)","14","57","56"
"6.722030162811279","0.1828240007162094","0.33319100737571716","rgb(173,220,48)","13","16","58"
"6.540309906005859","0.1828240007162094","0.41867199540138245","rgb(192,223,37)","13","58","57"
"6.291029930114746","0.1828240007162094","0.5077409744262695","rgb(115,208,86)","16","15","59"
"5.972099781036377","0.06354500353336334","0.5236240029335022","rgb(134,213,73)","16","59","58"
"5.972099781036377","0.1828240007162094","0.5236240029335022","rgb(63,188,115)","15","18","60"
"5.640779972076416","0.04436099901795387","0.4319019913673401","rgb(78,195,107)","15","60","59"
"5.640779972076416","0.16364100575447083","0.4319019913673401","rgb(35,169,131)","18","17","61"
"5.294380187988281","0.00839299988001585","0.2768470048904419","rgb(40,174,128)","18","61","60"
"5.294380187988281","0.1276720017194748","0.2768470048904419","rgb(31,154,138)","17","20","62"
"4.930200099945068","0.0","0.10273200273513794","rgb(31,158,137)","17","62","61"
"4.930200099945068","0.11928000301122665","0.10273200273513794","rgb(32,146,140)","20","19","63"
"3.94950008392334","0.11928000301122665","-0.005446999799460173","rgb(32,147,140)","20","63","62"
"2.2781200408935547","0.11928000301122665","-0.004585000220686197","rgb(32,146,140)","19","22","64"
"0.7002260088920593","0.11928000301122665","0.08675199747085571","rgb(33,145,140)","19","64","63"
"7.511879920959473","0.1828240007162094","0.414328008890152","rgb(31,150,139)","22","21","65"
"7.25","0.1828240007162094","0.375","rgb(31,148,140)","22","65","64"
"7.725860118865967","0.1828240007162094","0.5215399861335754","rgb(31,158,137)","21","27","66"
"7.870200157165527","0.1828240007162094","0.6804829835891724","rgb(30,155,138)","21","66","65"
"7.923140048980713","0.1828240007162094","0.875","rgb(33,166,133)","27","28","67"
"7.870200157165527","0.1828240007162094","1.0695199966430664","rgb(32,163,134)","27","67","66"
"7.725860118865967","0.1828240007162094","1.2284599542617798","rgb(36,170,131)","28","68","69"
"7.511879920959473","0.1828240007162094","1.335669994354248","rgb(36,170,131)","28","69","67"
"7.25","0.1828240007162094","1.375","rgb(33,165,133)","68","70","71"
"6.988120079040527","0.1828240007162094","1.335669994354248","rgb(34,168,132)","68","71","69"
"6.774139881134033","0.1828240007162094","1.2284599542617798","rgb(31,152,139)","70","72","73"
"6.629799842834473","0.1828240007162094","1.0695199966430664","rgb(30,157,137)","70","73","71"
"6.576859951019287","0.1828240007162094","0.875","rgb(36,135,142)","72","74","75"
"6.629799842834473","0.06354500353336334","0.6804829835891724","rgb(34,141,141)","72","75","73"
"6.629799842834473","0.1828240007162094","0.6804829835891724","rgb(41,123,142)","74","25","76"
"6.774139881134033","0.1828240007162094","0.5215399861335754","rgb(39,126,142)","74","76","75"
"6.988120079040527","0.1828240007162094","0.414328008890152","rgb(42,119,142)","25","24","77"
"2.2298600673675537","0.24633300304412842","0.10211200267076492","rgb(42,119,142)","25","77","76"
"0.6821280121803284","0.24633300304412842","0.2033510059118271","rgb(40,125,142)","24","23","78"
"-1.9999999949504854e-06","0.24633300304412842","0.24991700053215027","rgb(41,122,142)","24","78","77"
"4.930200099945068","0.24633300304412842","-0.03363100066781044","rgb(34,139,141)","23","2","42"
"3.8952200412750244","0.24633300304412842","0.0038880000356584787","rgb(37,133,142)","23","42","78"
"6.576849937438965","0.18278899788856506","-0.37508299946784973","rgb(31,159,136)","36","38","79"
"6.2458600997924805","0.18278899788856506","-0.4196600019931793","rgb(31,158,137)","36","79","80"
"6.072030067443848","0.18278899788856506","-0.30980199575424194","rgb(34,167,133)","38","40","81"
"6.629799842834473","0.18278899788856506","-0.569599986076355","rgb(32,163,134)","38","81","79"
"6.630569934844971","0.18278899788856506","-0.7520930171012878","rgb(49,181,123)","40","39","82"
"6.39493989944458","0.18278899788856506","-0.5578510165214539","rgb(41,175,127)","40","82","81"
"7.25","0.18278899788856506","-1.0000799894332886","rgb(82,197,105)","39","37","83"
"6.924880027770996","0.18278899788856506","-0.925225019454956","rgb(68,191,112)","39","83","82"
"7.815810203552246","0.18278899788856506","-0.8169080018997192","rgb(127,211,78)","37","35","84"
"7.561379909515381","0.18278899788856506","-0.9509230256080627","rgb(110,206,88)","37","84","83"
"8.050390243530273","0.18278899788856506","-0.37508299946784973","rgb(173,220,48)","35","32","85"
"7.987430095672607","0.18278899788856506","-0.6182289719581604","rgb(157,217,59)","35","85","84"
"7.8350701332092285","0.18278899788856506","0.06442400068044662","rgb(205,225,29)","32","31","86"
"7.994659900665283","0.18278899788856506","-0.1328050047159195","rgb(197,224,33)","32","86","85"
