"x","y","z","facecolor","i","j","k"
"146.7220001220703","12.0","31.186800003051758","rgb(32,147,140)","0","1","2"
"143.75799560546875","12.0","-8.347900390625","rgb(34,140,141)","3","2","1"
"149.8939971923828","12.0","-5.651020050048828","rgb(31,151,139)","4","0","2"
"144.66900634765625","12.498700141906738","-9.756830215454102","rgb(32,147,140)","5","4","2"
"149.44500732421875","12.0","12.888299942016602","rgb(34,140,141)","6","2","3"
"149.57899475097656","36.0","11.233400344848633","rgb(33,144,141)","6","5","2"
"149.781005859375","12.960800170898438","-8.103859901428223","rgb(31,150,139)","0","7","1"
"143.58599853515625","12.0","10.912400245666504","rgb(33,145,140)","8","1","7"
"119.99400329589844","0.0","1.0085699558258057","rgb(35,138,141)","9","3","1"
"132.8209991455078","6.9168500900268555","-16.43199920654297","rgb(35,136,142)","10","9","1"
"117.76599884033203","0.0","-23.04960060119629","rgb(34,139,141)","8","10","1"
"140.85299682617188","12.0","29.939300537109375","rgb(30,157,137)","0","11","7"
"135.31100463867188","36.0","28.76129913330078","rgb(31,151,139)","8","7","11"
"117.37799835205078","0.0","24.949399948120117","rgb(31,160,136)","12","11","0"
"146.7220001220703","36.0","31.186800003051758","rgb(31,154,138)","13","8","11"
"-3.8455400499515235e-05","12.0","-144.0","rgb(31,159,136)","12","13","11"
"19.0","12.0","-148.79200744628906","rgb(30,157,137)","14","0","4"
"19.481300354003906","12.0","-142.67599487304688","rgb(31,160,136)","14","12","0"
"19.93670082092285","36.0","-136.88999938964844","rgb(31,154,138)","14","4","5"
"4.884069858235307e-05","0.0","-119.9990005493164","rgb(66,65,134)","15","16","17"
"20.479999542236328","5.795149803161621","-129.98699951171875","rgb(65,66,135)","18","17","16"
"-8.683929991093464e-06","12.0","-150.0","rgb(63,71,136)","19","15","17"
"19.0","36.0","-148.79200744628906","rgb(62,73,137)","20","19","17"
"-19.0","12.0","-148.79200744628906","rgb(64,70,136)","18","20","17"
"-8.683929991093464e-06","36.0","-150.0","rgb(66,63,133)","15","21","16"
"-19.481300354003906","12.0","-142.67599487304688","rgb(67,62,133)","22","16","21"
"-19.0","36.0","-148.79200744628906","rgb(66,65,134)","22","18","16"
"-20.47909927368164","5.800370216369629","-129.9980010986328","rgb(66,63,133)","15","23","21"
"-19.93670082092285","36.0","-136.88999938964844","rgb(67,62,133)","24","21","23"
"-21.417600631713867","0.0","-118.072998046875","rgb(67,62,133)","22","21","24"
"-149.58099365234375","12.0","11.206999778747559","rgb(66,65,134)","15","25","23"
"-149.72999572753906","12.0","-9.0","rgb(66,64,134)","26","23","25"
"-143.52200317382812","12.0","-11.728799819946289","rgb(67,62,133)","24","23","26"
"-137.58999633789062","36.0","-14.336099624633789","rgb(64,69,136)","27","25","15"
"-146.7220001220703","12.0","31.186800003051758","rgb(64,70,136)","28","25","27"
"-143.7050018310547","12.0","9.20637035369873","rgb(65,66,135)","26","25","28"
"-119.99500274658203","0.0","0.9732450246810913","rgb(62,73,137)","29","27","15"
"-130.0070037841797","5.6009202003479","-17.669099807739258","rgb(62,76,138)","19","29","15"
"-149.72999572753906","36.0","-9.0","rgb(33,143,141)","30","31","32"
"-149.58099365234375","36.0","11.206999778747559","rgb(35,138,141)","33","32","31"
"-140.85299682617188","12.0","29.939300537109375","rgb(31,149,139)","34","30","32"
"-146.7220001220703","36.0","31.186800003051758","rgb(31,149,139)","35","34","32"
"-117.37799835205078","0.0","24.949399948120117","rgb(33,144,141)","36","35","32"
"-135.31100463867188","36.0","28.76129913330078","rgb(34,139,141)","37","36","32"
"146.8730010986328","13.60260009765625","-9.878270149230957","rgb(35,137,142)","33","37","32"
"149.72999572753906","15.0","-9.0","rgb(33,143,141)","38","31","30"
"149.72999572753906","36.0","-9.0","rgb(34,139,141)","38","33","31"
"123.80500030517578","29.569700241088867","-20.394899368286133","rgb(31,153,138)","39","30","34"
"137.58999633789062","36.0","-14.336099624633789","rgb(32,146,140)","38","30","39"
"103.7750015258789","0.0","22.0580997467041","rgb(30,156,137)","35","40","34"
"86.20659637451172","0.0","45.520999908447266","rgb(31,160,136)","41","34","40"
"49.56100082397461","0.0","-53.028099060058594","rgb(30,157,137)","39","34","41"
"111.37100219726562","24.0","-25.860000610351562","rgb(30,155,138)","42","40","35"
"96.9093017578125","0.0","25.821500778198242","rgb(31,159,136)","43","40","42"
"99.64459991455078","0.0","22.666900634765625","rgb(31,160,136)","41","40","43"
"111.83599853515625","24.0","23.771499633789062","rgb(31,150,139)","36","42","35"
"-20.938499450683594","29.79010009765625","-124.16100311279297","rgb(35,138,141)","9","44","3"
"-10.039799690246582","0.0","-30.90999984741211","rgb(34,140,141)","6","3","44"
"-26.293399810791016","0.0","-19.101200103759766","rgb(35,138,141)","9","45","44"
"-24.841699600219727","0.0","-74.56620025634766","rgb(34,140,141)","6","44","45"
"-21.87809944152832","24.0","-112.22200012207031","rgb(35,138,141)","46","45","9"
"21.417600631713867","0.0","-118.072998046875","rgb(33,143,141)","5","45","46"
"10.039799690246582","0.0","-30.90999984741211","rgb(33,144,141)","6","45","5"
"20.93939971923828","29.784400939941406","-124.1500015258789","rgb(36,134,142)","47","9","10"
"24.841699600219727","0.0","-74.56620025634766","rgb(36,135,142)","48","9","47"
"21.87809944152832","24.0","-112.22200012207031","rgb(35,137,142)","46","9","48"
"-117.76599884033203","0.0","-23.04960060119629","rgb(33,145,140)","13","10","8"
"-49.56100082397461","0.0","-53.028099060058594","rgb(31,148,140)","49","10","13"
"-103.7750015258789","0.0","22.0580997467041","rgb(34,139,141)","50","51","10"
"-111.83599853515625","24.0","23.771499633789062","rgb(39,127,142)","52","10","51"
"-123.78900146484375","29.5625","-20.40180015563965","rgb(31,152,139)","53","50","10"
"-111.37100219726562","24.0","-25.860000610351562","rgb(31,148,140)","54","53","10"
"32.5","0.0","0.0","rgb(31,148,140)","49","54","10"
"48.02349853515625","0.0","-53.84170150756836","rgb(37,132,142)","47","10","52"
"49.56100082397461","24.0","-53.028099060058594","rgb(30,156,137)","55","49","13"
"46.61970138549805","0.0","-54.868900299072266","rgb(31,158,137)","12","55","13"
"48.02349853515625","24.0","-53.84170150756836","rgb(61,78,138)","56","27","29"
"39.393001556396484","0.0","-60.267601013183594","rgb(62,74,137)","28","27","56"
"46.61970138549805","24.0","-54.868900299072266","rgb(51,98,141)","57","29","19"
"31.546899795532227","0.0","-64.72090148925781","rgb(47,108,142)","58","59","29"
"39.393001556396484","24.0","-60.267601013183594","rgb(55,91,141)","60","29","59"
"26.293399810791016","0.0","-19.101200103759766","rgb(44,115,142)","57","58","29"
"26.88719940185547","0.0","-68.75330352783203","rgb(59,81,139)","56","29","60"
"31.546899795532227","24.0","-64.72090148925781","rgb(60,79,138)","20","61","19"
"26.88719940185547","24.0","-68.75330352783203","rgb(51,98,141)","62","19","61"
"24.841699600219727","24.0","-74.56620025634766","rgb(44,113,142)","62","57","19"
"-26.88719940185547","0.0","-68.75330352783203","rgb(61,78,138)","63","61","20"
"-24.841699600219727","24.0","-74.56620025634766","rgb(48,106,142)","62","61","64"
"-32.5","0.0","-5.373320260519145e-16","rgb(55,91,141)","65","64","61"
"-31.546899795532227","0.0","-64.72090148925781","rgb(59,81,139)","63","65","61"
"-26.88719940185547","24.0","-68.75330352783203","rgb(62,74,137)","63","20","18"
"-39.393001556396484","0.0","-60.267601013183594","rgb(33,145,140)","66","42","36"
"-31.546899795532227","24.0","-64.72090148925781","rgb(36,135,142)","67","42","66"
"-86.20659637451172","0.0","45.520999908447266","rgb(33,143,141)","68","42","67"
"-46.61970138549805","0.0","-54.868900299072266","rgb(30,156,137)","69","42","68"
"-39.393001556396484","24.0","-60.267601013183594","rgb(31,158,137)","43","42","69"
"-48.02349853515625","0.0","-53.84170150756836","rgb(35,137,142)","37","66","36"
"-46.61970138549805","24.0","-54.868900299072266","rgb(37,133,142)","70","66","37"
"-48.02349853515625","24.0","-53.84170150756836","rgb(39,127,142)","71","67","66"
"-99.64459991455078","0.0","22.666900634765625","rgb(37,132,142)","70","71","66"
"-96.9093017578125","0.0","25.821500778198242","rgb(36,135,142)","70","37","33"
"-90.96299743652344","0.0","41.68880081176758","rgb(39,126,142)","72","73","51"
"-89.10900115966797","0.0","44.25550079345703","rgb(43,117,142)","74","51","73"
"-49.56100082397461","24.0","-53.028099060058594","rgb(33,143,141)","72","51","50"
"-103.7750015258789","24.0","22.0580997467041","rgb(41,122,142)","74","52","51"
"-99.64459991455078","24.0","22.666900634765625","rgb(39,126,142)","72","75","73"
"-90.96299743652344","24.0","41.68880081176758","rgb(43,116,142)","76","73","75"
"-96.9093017578125","24.0","25.821500778198242","rgb(43,116,142)","74","73","76"
"-89.10900115966797","24.0","44.25550079345703","rgb(40,125,142)","72","77","75"
"-10.039799690246582","0.0","30.90999984741211","rgb(44,115,142)","78","75","77"
"0.00015154799621086568","0.0","51.746299743652344","rgb(43,116,142)","76","75","78"
"-86.20659637451172","24.0","45.520999908447266","rgb(41,123,142)","72","79","77"
"-26.293399810791016","0.0","19.101200103759766","rgb(45,113,142)","80","77","79"
"26.293399810791016","0.0","19.101200103759766","rgb(44,114,142)","78","77","80"
"0.00015154799621086568","24.0","51.746299743652344","rgb(42,118,142)","81","82","79"
"10.039799690246582","0.0","30.90999984741211","rgb(46,111,142)","83","79","82"
"89.10900115966797","0.0","44.25550079345703","rgb(38,130,142)","81","79","72"
"86.20659637451172","24.0","45.520999908447266","rgb(45,112,142)","80","79","83"
"90.96299743652344","0.0","41.68880081176758","rgb(43,116,142)","81","64","82"
"89.10900115966797","24.0","44.25550079345703","rgb(47,108,142)","84","82","64"
"96.9093017578125","24.0","25.821500778198242","rgb(46,110,142)","83","82","84"
"90.96299743652344","24.0","41.68880081176758","rgb(41,123,142)","81","62","64"
"99.64459991455078","24.0","22.666900634765625","rgb(51,99,141)","85","64","65"
"103.7750015258789","24.0","22.0580997467041","rgb(47,107,142)","84","64","85"
"32.5","-10.0","0.0","rgb(43,116,142)","58","86","59"
"26.293399810791016","-10.0","-19.101200103759766","rgb(47,107,142)","87","59","86"
"26.293399810791016","-10.0","19.101200103759766","rgb(51,99,141)","60","59","87"
"10.039799690246582","-10.0","30.90999984741211","rgb(41,121,142)","88","89","86"
"-10.039799690246582","-10.0","30.90999984741211","rgb(46,110,142)","90","86","89"
"-26.293399810791016","-10.0","19.101200103759766","rgb(38,130,142)","58","88","86"
"-32.5","-10.0","0.0","rgb(47,108,142)","87","86","90"
"-26.293399810791016","-10.0","-19.101200103759766","rgb(41,123,142)","88","91","89"
"-10.039799690246582","-10.0","-30.90999984741211","rgb(45,112,142)","92","89","91"
"10.039799690246582","-10.0","-30.90999984741211","rgb(46,111,142)","90","89","92"
"-15.200200080871582","0.0","-15.20460033416748","rgb(37,132,142)","93","94","91"
"-15.200200080871582","0.0","15.20460033416748","rgb(44,114,142)","95","91","94"
"-21.5","0.0","-9.560740396531882e-16","rgb(33,142,141)","88","93","91"
"-21.5","-10.0","0.0","rgb(45,113,142)","92","91","95"
"-15.201899528503418","-10.0","-15.201899528503418","rgb(37,133,142)","93","96","94"
"8.881779961836516e-16","0.0","-21.499000549316406","rgb(43,116,142)","97","94","96"
"0.0","0.0","21.499000549316406","rgb(44,115,142)","95","94","97"
"-15.201899528503418","-10.0","15.201899528503418","rgb(37,133,142)","93","67","96"
"15.200200080871582","0.0","-15.20460033416748","rgb(43,116,142)","98","96","67"
"15.200200080871582","0.0","15.20460033416748","rgb(43,116,142)","97","96","98"
"0.0","-10.0","21.5","rgb(33,143,141)","99","68","67"
"21.5","0.0","0.0","rgb(33,144,141)","100","99","67"
"15.201899528503418","-10.0","15.201899528503418","rgb(32,146,140)","101","100","67"
"21.5","-10.0","0.0","rgb(31,150,139)","102","101","67"
"15.201899528503418","-10.0","-15.201899528503418","rgb(31,150,139)","93","102","67"
"0.0","-10.0","-21.5","rgb(41,122,142)","103","67","71"
"114.33000183105469","24.0","-1.0356099605560303","rgb(43,117,142)","98","67","103"
"138.13900756835938","36.0","7.334139823913574","rgb(30,156,137)","104","68","99"
"33.0","24.0","39.0","rgb(30,156,137)","69","68","104"
"51.0","24.0","-21.0","rgb(30,156,137)","105","99","100"
"45.72719955444336","24.0","33.72719955444336","rgb(30,156,137)","104","99","105"
"51.0","24.0","21.0","rgb(31,162,135)","106","100","101"
"-33.0","24.0","39.0","rgb(31,161,136)","107","100","106"
"-51.0","24.0","21.0","rgb(30,157,137)","105","100","107"
"-45.72719955444336","24.0","33.72719955444336","rgb(33,166,133)","106","101","102"
"-114.3290023803711","24.0","-1.069790005683899","rgb(34,167,133)","108","102","93"
"-138.14100646972656","36.0","7.303400039672852","rgb(33,166,133)","106","102","108"
"-51.0","24.0","-21.0","rgb(33,166,133)","109","110","93"
"-45.72719955444336","24.0","-33.72719955444336","rgb(34,168,132)","111","93","110"
"-33.0","24.0","-39.0","rgb(31,161,136)","112","109","93"
"33.0","24.0","-39.0","rgb(30,155,138)","88","112","93"
"1.4444400221691467e-05","24.0","-114.33399963378906","rgb(34,167,133)","108","93","111"
"-9.939850133378059e-05","36.0","-138.33399963378906","rgb(32,164,134)","113","50","110"
"45.72719955444336","24.0","-33.72719955444336","rgb(36,170,131)","114","110","50"
"-33.0","28.799999237060547","-39.0","rgb(31,161,135)","115","113","110"
"33.0","28.799999237060547","-39.0","rgb(32,163,134)","109","115","110"
"-45.727901458740234","28.799999237060547","-33.727901458740234","rgb(36,170,131)","111","110","114"
"-51.0","28.799999237060547","-21.0","rgb(32,164,134)","53","116","50"
"-51.0","28.799999237060547","21.0","rgb(34,167,133)","117","50","116"
"-45.727901458740234","28.799999237060547","33.727901458740234","rgb(30,155,138)","113","72","50"
"-33.0","28.799999237060547","39.0","rgb(34,168,132)","114","50","117"
"33.0","28.799999237060547","39.0","rgb(32,163,134)","53","118","116"
"45.727901458740234","28.799999237060547","33.727901458740234","rgb(33,166,133)","119","116","118"
"51.0","28.799999237060547","21.0","rgb(34,167,133)","117","116","119"
"51.0","28.799999237060547","-21.0","rgb(31,161,136)","120","118","53"
"45.727901458740234","28.799999237060547","-33.727901458740234","rgb(31,162,135)","121","118","120"
"13.226300239562988","28.799999237060547","-13.226300239562988","rgb(33,166,133)","119","118","121"
"-18.70479965209961","28.799999237060547","0.0","rgb(30,156,137)","122","53","54"
"-13.226300239562988","28.799999237060547","-13.226300239562988","rgb(30,157,137)","120","53","122"
"0.0","28.799999237060547","-18.70479965209961","rgb(30,156,137)","122","54","49"
"18.70479965209961","28.799999237060547","0.0","rgb(30,156,137)","123","49","55"
"-13.226300239562988","28.799999237060547","13.226300239562988","rgb(30,156,137)","122","49","123"
"0.0","28.799999237060547","18.70479965209961","rgb(32,147,140)","124","72","113"
"13.226300239562988","28.799999237060547","13.226300239562988","rgb(35,138,141)","125","81","72"
"-16.473499298095703","29.794599533081055","0.0","rgb(34,141,141)","125","72","124"
"-13.327400207519531","29.794599533081055","-9.682900428771973","rgb(30,156,137)","126","113","115"
"-5.09060001373291","29.794599533081055","15.6673002243042","rgb(31,151,139)","126","124","113"
"-13.327400207519531","29.794599533081055","9.682900428771973","rgb(31,160,136)","127","115","109"
"5.09060001373291","29.794599533081055","15.6673002243042","rgb(31,158,137)","127","126","115"
"13.327400207519531","29.794599533081055","9.682900428771973","rgb(31,158,137)","128","109","112"
"16.473499298095703","29.794599533081055","0.0","rgb(31,160,136)","128","127","109"
"5.09060001373291","29.794599533081055","-15.6673002243042","rgb(31,151,139)","129","112","88"
"13.327400207519531","29.794599533081055","-9.682900428771973","rgb(30,156,137)","129","128","112"
"-5.09060001373291","29.794599533081055","-15.6673002243042","rgb(34,141,141)","130","88","58"
"-11.68850040435791","44.448001861572266","0.0","rgb(32,147,140)","130","129","88"
"-15.721799850463867","32.11899948120117","-6.98186981455207e-15","rgb(37,132,142)","131","58","57"
"-15.027700424194336","38.71609878540039","6.673640030760387e-15","rgb(35,138,141)","131","130","58"
"-11.116999626159668","32.11899948120117","11.116999626159668","rgb(38,129,142)","132","57","62"
"-8.265009880065918","44.448001861572266","-8.265009880065918","rgb(38,130,142)","132","131","57"
"-11.116999626159668","32.11899948120117","-11.116999626159668","rgb(38,130,142)","133","62","81"
"-8.265009880065918","44.448001861572266","8.265009880065918","rgb(38,129,142)","133","132","62"
"-9.327779769897461","45.42430114746094","0.0","rgb(37,132,142)","125","133","81"
"-6.595739841461182","45.42430114746094","-6.595739841461182","rgb(33,145,140)","134","135","136"
"0.0","32.11899948120117","15.721799850463867","rgb(32,146,140)","137","136","135"
"0.0","44.448001861572266","11.68850040435791","rgb(34,139,141)","138","134","136"
"-2.8824400901794434","45.42430114746094","8.87125015258789","rgb(33,142,141)","138","136","137"
"-7.546329975128174","45.42430114746094","5.482729911804199","rgb(32,146,140)","139","140","135"
"11.116999626159668","32.11899948120117","11.116999626159668","rgb(31,153,138)","141","135","140"
"8.265009880065918","44.448001861572266","8.265009880065918","rgb(34,141,141)","134","139","135"
"2.8824400901794434","45.42430114746094","8.87125015258789","rgb(31,149,139)","137","135","141"
"15.721799850463867","32.11899948120117","0.0","rgb(32,147,140)","142","143","140"
"11.68850040435791","44.448001861572266","1.0381500075828248e-14","rgb(31,154,138)","144","140","143"
"7.546329975128174","45.42430114746094","5.482729911804199","rgb(33,142,141)","139","142","140"
"15.027700424194336","38.71609878540039","0.0","rgb(31,154,138)","141","140","144"
"11.116999626159668","32.11899948120117","-11.116999626159668","rgb(33,145,140)","142","145","143"
"8.265009880065918","44.448001861572266","-8.265009880065918","rgb(31,149,139)","146","143","145"
"9.327779769897461","45.42430114746094","0.0","rgb(31,153,138)","144","143","146"
"3.535370111465454","44.227699279785156","6.123449802398682","rgb(33,142,141)","147","145","142"
"7.0707502365112305","44.227699279785156","0.0","rgb(32,146,140)","146","145","147"
"0.0","34.79999923706055","0.0","rgb(36,135,142)","148","142","139"
"3.535370111465454","44.227699279785156","-6.123449802398682","rgb(34,139,141)","148","147","142"
"-3.535370111465454","44.227699279785156","6.123449802398682","rgb(36,134,142)","149","139","134"
"-7.0707502365112305","44.227699279785156","0.0","rgb(36,134,142)","148","139","149"
"-3.535370111465454","44.227699279785156","-6.123449802398682","rgb(36,135,142)","149","134","138"
"6.595739841461182","45.42430114746094","-6.595739841461182","rgb(33,144,141)","55","150","52"
"0.0","44.448001861572266","-11.68850040435791","rgb(35,136,142)","47","52","150"
"0.0","32.11899948120117","-15.721799850463867","rgb(32,147,140)","123","55","52"
"0.0","45.42430114746094","-9.327779769897461","rgb(36,134,142)","74","123","52"
"28.76799964904785","-10.0","9.349209785461426","rgb(31,149,139)","151","150","55"
"28.76799964904785","-10.0","-9.349209785461426","rgb(35,138,141)","48","47","150"
"17.777299880981445","-10.0","24.474599838256836","rgb(33,143,141)","151","48","150"
"-17.777299880981445","-10.0","24.474599838256836","rgb(31,154,138)","12","151","55"
"-28.76799964904785","-10.0","9.349209785461426","rgb(33,143,141)","74","122","123"
"-28.76799964904785","-10.0","-9.349209785461426","rgb(33,144,141)","74","120","122"
"-17.777299880981445","-10.0","-24.474599838256836","rgb(32,146,140)","74","121","120"
"17.777299880981445","-10.0","-24.474599838256836","rgb(31,150,139)","74","119","121"
"0.0","-10.0","-30.25","rgb(31,150,139)","74","117","119"
"0.0","-60.0","-30.25","rgb(34,167,133)","152","114","117"
"17.780500411987305","-60.0","-24.47279930114746","rgb(34,139,141)","153","117","74"
"-17.780500411987305","-60.0","-24.47279930114746","rgb(32,164,134)","154","152","117"
"-28.769500732421875","-60.0","-9.347760200500488","rgb(31,161,135)","155","154","117"
"-28.769500732421875","-60.0","9.347760200500488","rgb(31,152,139)","153","155","117"
"0.0","-10.0","30.25","rgb(34,167,133)","156","111","114"
"-17.780500411987305","-60.0","24.47279930114746","rgb(33,166,133)","152","156","114"
"0.0","-60.0","30.25","rgb(30,155,138)","71","108","111"
"17.780500411987305","-60.0","24.47279930114746","rgb(31,151,139)","157","71","111"
"28.769500732421875","-60.0","9.347760200500488","rgb(31,161,135)","158","157","111"
"28.769500732421875","-60.0","-9.347760200500488","rgb(32,164,134)","156","158","111"
"38.28089904785156","-10.0","12.433899879455566","rgb(31,154,138)","71","106","108"
"23.656099319458008","-10.0","-32.56330108642578","rgb(31,151,139)","71","107","106"
"23.656099319458008","-10.0","32.56330108642578","rgb(31,148,140)","71","105","107"
"0.0","-10.0","40.25","rgb(32,147,140)","71","104","105"
"-23.656099319458008","-10.0","32.56330108642578","rgb(32,147,140)","71","69","104"
"-38.28089904785156","-10.0","-12.433899879455566","rgb(33,144,141)","71","159","69"
"-23.656099319458008","-10.0","-32.56330108642578","rgb(31,153,138)","43","69","159"
"0.0","-10.0","-40.25","rgb(35,136,142)","70","159","71"
"0.0","-60.0","40.25","rgb(31,150,139)","160","43","159"
"23.656099319458008","-60.0","32.56330108642578","rgb(33,143,141)","33","160","159"
"-38.28089904785156","-10.0","12.433899879455566","rgb(35,138,141)","70","33","159"
"-23.656099319458008","-60.0","32.56330108642578","rgb(39,127,142)","161","103","71"
"-38.28089904785156","-60.0","12.433899879455566","rgb(34,140,141)","157","161","71"
"-38.28089904785156","-60.0","-12.433899879455566","rgb(42,120,142)","162","98","103"
"-23.656099319458008","-60.0","-32.56330108642578","rgb(39,126,142)","161","162","103"
"0.0","-60.0","-40.25","rgb(42,120,142)","162","97","98"
"38.28089904785156","-10.0","-12.433899879455566","rgb(42,119,142)","162","95","97"
"23.656099319458008","-60.0","-32.56330108642578","rgb(43,116,142)","163","92","95"
"38.28089904785156","-60.0","-12.433899879455566","rgb(41,121,142)","162","163","95"
"38.28089904785156","-60.0","12.433899879455566","rgb(44,114,142)","164","90","92"
"-176.71400451660156","46.403099060058594","113.56700134277344","rgb(42,120,142)","164","92","163"
"-188.13600158691406","38.22529983520508","64.22750091552734","rgb(44,113,142)","164","87","90"
"-196.83900451660156","44.80500030517578","61.83209991455078","rgb(48,106,142)","164","60","87"
