"x","y","z","facecolor","i","j","k"
"1.381369948387146","0.0","2.4546899795532227","rgb(105,205,91)","0","1","2"
"1.399999976158142","0.0","2.4000000953674316","rgb(108,205,90)","0","2","3"
"1.3507399559020996","-0.3759259879589081","2.4000000953674316","rgb(115,208,86)","4","0","3"
"1.332759976387024","-0.3709219992160797","2.4546899795532227","rgb(117,208,84)","4","3","5"
"1.3842600584030151","0.0","2.487499952316284","rgb(119,209,83)","6","4","5"
"1.3355499505996704","-0.3716990053653717","2.487499952316284","rgb(119,209,83)","6","5","7"
"1.4031200408935547","0.0","2.4984400272369385","rgb(119,209,83)","8","6","7"
"1.353760004043579","-0.37676501274108887","2.4984400272369385","rgb(119,209,83)","8","7","9"
"1.4324100017547607","0.0","2.487499952316284","rgb(117,208,84)","10","8","9"
"1.3820099830627441","-0.3846279978752136","2.487499952316284","rgb(115,208,86)","10","9","11"
"1.4665499925613403","0.0","2.4546899795532227","rgb(108,205,90)","12","10","11"
"1.4149500131607056","-0.39379599690437317","2.4546899795532227","rgb(105,205,91)","12","11","13"
"1.5","0.0","2.4000000953674316","rgb(105,205,91)","3","2","14"
"1.447219967842102","-0.4027779996395111","2.4000000953674316","rgb(108,205,90)","3","14","15"
"1.2112599611282349","-0.7114070057868958","2.4000000953674316","rgb(115,208,86)","5","3","15"
"1.19514000415802","-0.7019379734992981","2.4546899795532227","rgb(117,208,84)","5","15","16"
"1.1976399421691895","-0.7034090161323547","2.487499952316284","rgb(119,209,83)","7","5","16"
"1.21396005153656","-0.7129949927330017","2.4984400272369385","rgb(119,209,83)","7","16","17"
"1.239300012588501","-0.7278749942779541","2.487499952316284","rgb(119,209,83)","9","7","17"
"1.268839955329895","-0.7452250123023987","2.4546899795532227","rgb(119,209,83)","9","17","18"
"1.2977800369262695","-0.7622219920158386","2.4000000953674316","rgb(117,208,84)","11","9","18"
"0.9940000176429749","-0.9940000176429749","2.4000000953674316","rgb(115,208,86)","11","18","19"
"0.9807699918746948","-0.9807699918746948","2.4546899795532227","rgb(108,205,90)","13","11","19"
"0.9828240275382996","-0.9828240275382996","2.487499952316284","rgb(105,205,91)","13","19","20"
"0.9962189793586731","-0.9962189793586731","2.4984400272369385","rgb(105,205,91)","15","14","21"
"1.017009973526001","-1.017009973526001","2.487499952316284","rgb(108,205,90)","15","21","22"
"1.0412499904632568","-1.0412499904632568","2.4546899795532227","rgb(115,208,86)","16","15","22"
"1.065000057220459","-1.065000057220459","2.4000000953674316","rgb(117,208,84)","16","22","23"
"0.7114070057868958","-1.2112599611282349","2.4000000953674316","rgb(119,209,83)","17","16","23"
"0.7019379734992981","-1.19514000415802","2.4546899795532227","rgb(119,209,83)","17","23","24"
"0.7034090161323547","-1.1976399421691895","2.487499952316284","rgb(119,209,83)","18","17","24"
"0.7129949927330017","-1.21396005153656","2.4984400272369385","rgb(119,209,83)","18","24","25"
"0.7278749942779541","-1.239300012588501","2.487499952316284","rgb(117,208,84)","19","18","25"
"0.7452250123023987","-1.268839955329895","2.4546899795532227","rgb(115,208,86)","19","25","26"
"0.7622219920158386","-1.2977800369262695","2.4000000953674316","rgb(108,205,90)","20","19","26"
"0.3759259879589081","-1.3507399559020996","2.4000000953674316","rgb(105,205,91)","20","26","27"
"0.3709219992160797","-1.332759976387024","2.4546899795532227","rgb(105,205,91)","22","21","28"
"0.3716990053653717","-1.3355499505996704","2.487499952316284","rgb(108,205,90)","22","28","29"
"0.37676501274108887","-1.353760004043579","2.4984400272369385","rgb(115,208,86)","23","22","29"
"0.3846279978752136","-1.3820099830627441","2.487499952316284","rgb(117,208,84)","23","29","30"
"0.39379599690437317","-1.4149500131607056","2.4546899795532227","rgb(119,209,83)","24","23","30"
"0.4027779996395111","-1.447219967842102","2.4000000953674316","rgb(119,209,83)","24","30","31"
"0.0","-1.399999976158142","2.4000000953674316","rgb(119,209,83)","25","24","31"
"0.0","-1.381369948387146","2.4546899795532227","rgb(119,209,83)","25","31","32"
"0.0","-1.3842600584030151","2.487499952316284","rgb(117,208,84)","26","25","32"
"0.0","-1.4031200408935547","2.4984400272369385","rgb(115,208,86)","26","32","33"
"0.0","-1.4324100017547607","2.487499952316284","rgb(108,205,90)","27","26","33"
"0.0","-1.4665499925613403","2.4546899795532227","rgb(105,205,91)","27","33","34"
"0.0","-1.5","2.4000000953674316","rgb(105,205,91)","29","28","35"
"-0.3759259879589081","-1.3507399559020996","2.4000000953674316","rgb(108,205,90)","29","35","36"
"-0.3709219992160797","-1.332759976387024","2.4546899795532227","rgb(115,208,86)","30","29","36"
"-0.3716990053653717","-1.3355499505996704","2.487499952316284","rgb(117,208,84)","30","36","37"
"-0.37676501274108887","-1.353760004043579","2.4984400272369385","rgb(119,209,83)","31","30","37"
"-0.3846279978752136","-1.3820099830627441","2.487499952316284","rgb(119,209,83)","31","37","38"
"-0.39379599690437317","-1.4149500131607056","2.4546899795532227","rgb(119,209,83)","32","31","38"
"-0.4027779996395111","-1.447219967842102","2.4000000953674316","rgb(119,209,83)","32","38","39"
"-0.7114070057868958","-1.2112599611282349","2.4000000953674316","rgb(117,208,84)","33","32","39"
"-0.7019379734992981","-1.19514000415802","2.4546899795532227","rgb(115,208,86)","33","39","40"
"-0.7034090161323547","-1.1976399421691895","2.487499952316284","rgb(108,205,90)","34","33","40"
"-0.7129949927330017","-1.21396005153656","2.4984400272369385","rgb(105,205,91)","34","40","41"
"-0.7278749942779541","-1.239300012588501","2.487499952316284","rgb(105,205,91)","36","35","42"
"-0.7452250123023987","-1.268839955329895","2.4546899795532227","rgb(108,205,90)","36","42","43"
"-0.7622219920158386","-1.2977800369262695","2.4000000953674316","rgb(115,208,86)","37","36","43"
"-0.9940000176429749","-0.9940000176429749","2.4000000953674316","rgb(117,208,84)","37","43","44"
"-0.9807699918746948","-0.9807699918746948","2.4546899795532227","rgb(119,209,83)","38","37","44"
"-0.9828240275382996","-0.9828240275382996","2.487499952316284","rgb(119,209,83)","38","44","45"
"-0.9962189793586731","-0.9962189793586731","2.4984400272369385","rgb(119,209,83)","39","38","45"
"-1.017009973526001","-1.017009973526001","2.487499952316284","rgb(119,209,83)","39","45","46"
"-1.0412499904632568","-1.0412499904632568","2.4546899795532227","rgb(117,208,84)","40","39","46"
"-1.065000057220459","-1.065000057220459","2.4000000953674316","rgb(115,208,86)","40","46","47"
"-1.2112599611282349","-0.7114070057868958","2.4000000953674316","rgb(108,205,90)","41","40","47"
"-1.19514000415802","-0.7019379734992981","2.4546899795532227","rgb(105,205,91)","41","47","48"
"-1.1976399421691895","-0.7034090161323547","2.487499952316284","rgb(105,205,91)","43","42","49"
"-1.21396005153656","-0.7129949927330017","2.4984400272369385","rgb(108,205,90)","43","49","50"
"-1.239300012588501","-0.7278749942779541","2.487499952316284","rgb(115,208,86)","44","43","50"
"-1.268839955329895","-0.7452250123023987","2.4546899795532227","rgb(117,208,84)","44","50","51"
"-1.2977800369262695","-0.7622219920158386","2.4000000953674316","rgb(119,209,83)","45","44","51"
"-1.3507399559020996","-0.3759259879589081","2.4000000953674316","rgb(119,209,83)","45","51","52"
"-1.332759976387024","-0.3709219992160797","2.4546899795532227","rgb(119,209,83)","46","45","52"
"-1.3355499505996704","-0.3716990053653717","2.487499952316284","rgb(119,209,83)","46","52","53"
"-1.353760004043579","-0.37676501274108887","2.4984400272369385","rgb(117,208,84)","47","46","53"
"-1.3820099830627441","-0.3846279978752136","2.487499952316284","rgb(115,208,86)","47","53","54"
"-1.4149500131607056","-0.39379599690437317","2.4546899795532227","rgb(108,205,90)","48","47","54"
"-1.447219967842102","-0.4027779996395111","2.4000000953674316","rgb(105,205,91)","48","54","55"
"-1.399999976158142","0.0","2.4000000953674316","rgb(105,205,91)","50","49","56"
"-1.381369948387146","0.0","2.4546899795532227","rgb(108,205,90)","50","56","57"
"-1.3842600584030151","0.0","2.487499952316284","rgb(115,208,86)","51","50","57"
"-1.4031200408935547","0.0","2.4984400272369385","rgb(117,208,84)","51","57","58"
"-1.4324100017547607","0.0","2.487499952316284","rgb(119,209,83)","52","51","58"
"-1.4665499925613403","0.0","2.4546899795532227","rgb(119,209,83)","52","58","59"
"-1.5","0.0","2.4000000953674316","rgb(119,209,83)","53","52","59"
"-1.3507399559020996","0.3759259879589081","2.4000000953674316","rgb(119,209,83)","53","59","60"
