"x","y","z","facecolor","i","j","k"
"-80.0","-143.71499633789062","28.715700149536133","rgb(40,174,128)","0","1","2"
"-80.0","-148.14999389648438","66.41339874267578","rgb(39,173,129)","0","2","3"
"-80.0","-152.093994140625","63.77629852294922","rgb(37,172,130)","0","3","4"
"-80.0","-155.6529998779297","60.65380096435547","rgb(36,170,131)","0","4","5"
"-80.0","-158.7760009765625","57.09479904174805","rgb(34,168,132)","0","5","6"
"-80.0","-161.41299438476562","53.150299072265625","rgb(33,166,133)","0","6","7"
"-80.0","-163.50799560546875","48.85810089111328","rgb(32,164,134)","0","7","8"
"-80.0","-165.03500366210938","44.29970169067383","rgb(31,161,135)","0","8","9"
"-80.0","-165.96400451660156","39.65520095825195","rgb(31,152,139)","0","9","10"
"-80.0","-166.28500366210938","34.990699768066406","rgb(34,141,141)","11","0","10"
"-80.0","-166.28500366210938","-0.004321500193327665","rgb(39,126,142)","11","10","12"
"-80.0","-143.71499633789062","-11.891900062561035","rgb(44,113,142)","13","11","12"
"-80.0","-166.28500366210938","-34.9994010925293","rgb(51,99,141)","13","12","14"
"-80.0","-143.71499633789062","-52.4995002746582","rgb(58,83,139)","15","13","14"
"-80.0","-166.28500366210938","-69.99449920654297","rgb(64,69,136)","15","14","16"
"-80.0","-143.71499633789062","-93.10710144042969","rgb(70,50,126)","17","15","16"
"-80.0","-166.28500366210938","-104.98899841308594","rgb(71,45,123)","17","16","18"
"-80.0","-143.71499633789062","-133.71400451660156","rgb(72,41,121)","17","18","19"
"-80.0","-165.96400451660156","-109.65399932861328","rgb(72,38,119)","17","19","20"
"-80.0","-165.03500366210938","-114.2979965209961","rgb(72,36,117)","17","20","21"
"-80.0","-163.50799560546875","-118.85700225830078","rgb(72,33,115)","17","21","22"
"-80.0","-161.41299438476562","-123.14900207519531","rgb(72,31,112)","17","22","23"
"-80.0","-158.7760009765625","-127.09300231933594","rgb(72,28,110)","17","23","24"
"-80.0","-155.6529998779297","-130.65199279785156","rgb(72,27,109)","17","24","25"
"-80.0","-152.093994140625","-133.77499389648438","rgb(72,26,108)","17","25","26"
"-80.0","-148.14999389648438","-136.41200256347656","rgb(72,26,108)","27","17","26"
"-80.0","-143.85899353027344","-138.5070037841797","rgb(72,24,106)","27","26","28"
"-80.0","-84.35810089111328","-133.71499633789062","rgb(72,23,105)","27","28","29"
"-80.0","-139.3000030517578","-140.03399658203125","rgb(72,23,105)","27","29","30"
"-80.0","-134.656005859375","-140.96400451660156","rgb(72,23,105)","27","30","31"
"-80.0","-129.99099731445312","-141.28500366210938","rgb(72,26,108)","32","27","31"
"-80.0","-64.99559783935547","-141.28500366210938","rgb(72,23,105)","32","31","33"
"-80.0","-25.000499725341797","-133.71499633789062","rgb(72,26,108)","34","32","33"
"-80.0","-0.0005261169862933457","-141.28500366210938","rgb(72,23,105)","34","33","35"
"-80.0","34.35710144042969","-133.71499633789062","rgb(72,26,108)","36","34","35"
"-80.0","64.99459838867188","-141.28500366210938","rgb(72,23,105)","36","35","37"
"-80.0","93.7146987915039","-133.71499633789062","rgb(33,166,133)","1","0","38"
"-80.0","129.98899841308594","-141.28500366210938","rgb(41,175,127)","39","1","38"
"-80.0","-84.35749816894531","28.715499877929688","rgb(42,176,127)","40","39","38"
"-80.0","-143.85800170898438","68.50830078125","rgb(44,177,126)","41","40","38"
"-80.0","-139.2989959716797","70.03500366210938","rgb(44,177,126)","42","41","38"
"-80.0","-134.65499877929688","70.96479797363281","rgb(44,177,126)","43","42","38"
"-80.0","-129.99000549316406","71.2853012084961","rgb(34,168,132)","43","38","44"
"-80.0","-64.99469757080078","71.28500366210938","rgb(44,177,126)","45","43","44"
"-80.0","-24.999900817871094","28.715299606323242","rgb(34,168,132)","45","44","46"
"-80.0","0.00027443200815469027","71.28479766845703","rgb(44,177,126)","47","45","46"
"-80.0","34.35770034790039","28.715099334716797","rgb(34,168,132)","47","46","48"
"-80.0","64.99539947509766","71.28459930419922","rgb(44,177,126)","49","47","48"
"-80.0","93.71530151367188","28.71489906311035","rgb(72,38,119)","50","36","37"
"-80.0","129.99000549316406","71.2843017578125","rgb(72,36,117)","50","37","51"
"-80.0","93.71489715576172","-93.10790252685547","rgb(72,36,117)","50","51","52"
"-80.0","134.6540069580078","-140.96499633789062","rgb(72,37,118)","50","52","53"
"-80.0","139.29800415039062","-140.03599548339844","rgb(72,38,119)","50","53","54"
"-80.0","143.85699462890625","-138.50900268554688","rgb(72,40,120)","50","54","55"
"-80.0","148.1490020751953","-136.41400146484375","rgb(71,42,122)","50","55","56"
"-80.0","152.093994140625","-133.77699279785156","rgb(71,44,122)","50","56","57"
"-80.0","155.6529998779297","-130.6540069580078","rgb(71,46,124)","50","57","58"
"-80.0","158.7760009765625","-127.09500122070312","rgb(70,48,126)","50","58","59"
"-80.0","161.41299438476562","-123.1510009765625","rgb(70,51,127)","50","59","60"
"-80.0","163.50799560546875","-118.85900115966797","rgb(69,55,129)","50","60","61"
"-80.0","165.03500366210938","-114.30000305175781","rgb(68,57,131)","50","61","62"
"-80.0","165.96400451660156","-109.65599822998047","rgb(64,69,136)","50","62","63"
"-80.0","166.28500366210938","-104.99099731445312","rgb(58,83,139)","64","50","63"
"-80.0","166.28500366210938","-69.99569702148438","rgb(51,99,141)","64","63","65"
"-80.0","93.71499633789062","-52.500301361083984","rgb(44,113,142)","66","64","65"
"-80.0","166.28500366210938","-35.0005989074707","rgb(39,126,142)","66","65","67"
"-80.0","93.71520233154297","-11.8927001953125","rgb(34,141,141)","48","66","67"
"-80.0","166.28500366210938","-0.005595500115305185","rgb(31,152,139)","48","67","68"
"-80.0","166.28500366210938","34.989498138427734","rgb(35,169,131)","49","48","68"
"-80.0","165.96400451660156","39.65399932861328","rgb(37,172,130)","49","68","69"
"-80.0","165.03500366210938","44.29859924316406","rgb(39,173,129)","49","69","70"
"-80.0","134.65499877929688","70.96379852294922","rgb(49,181,123)","71","49","70"
"-80.0","139.2989959716797","70.03410339355469","rgb(49,181,123)","72","71","70"
"-80.0","143.85699462890625","68.50740051269531","rgb(47,180,124)","73","72","70"
"-80.0","163.50799560546875","48.856998443603516","rgb(41,175,127)","73","70","74"
"-80.0","148.14999389648438","66.41230010986328","rgb(49,181,123)","75","73","74"
"-80.0","152.093994140625","63.77519989013672","rgb(46,179,124)","76","75","74"
"-80.0","155.6529998779297","60.6526985168457","rgb(45,178,125)","77","76","74"
"-80.0","158.7760009765625","57.09370040893555","rgb(42,176,127)","78","77","74"
"-80.0","161.41299438476562","53.14899826049805","rgb(40,174,128)","78","74","79"
"-82.58910369873047","-145.24200439453125","71.8895034790039","rgb(56,185,119)","1","39","80"
"-82.58910369873047","-149.9709930419922","69.58149719238281","rgb(58,186,118)","1","80","81"
"-82.58910369873047","-140.24000549316406","73.5647964477539","rgb(59,187,117)","39","40","82"
"-82.58910369873047","-135.13900756835938","74.58580017089844","rgb(59,187,117)","39","82","80"
"-82.58910369873047","-130.11500549316406","74.93109893798828","rgb(61,188,116)","40","41","83"
"-82.58910369873047","-65.05729675292969","74.93080139160156","rgb(61,188,116)","40","83","82"
"-82.58910369873047","0.00028490499244071543","74.93060302734375","rgb(61,188,116)","41","42","84"
"-82.58910369873047","65.05789947509766","74.9303970336914","rgb(63,188,115)","41","84","83"
"-82.58910369873047","130.11500549316406","74.93009948730469","rgb(61,188,116)","42","43","85"
"-82.58910369873047","135.13900756835938","74.58489990234375","rgb(63,188,115)","42","85","84"
"-82.58910369873047","140.23899841308594","73.56390380859375","rgb(61,188,116)","43","45","86"
"-82.58910369873047","145.24200439453125","71.88849639892578","rgb(63,188,115)","43","86","85"
"-82.58910369873047","149.9709930419922","69.5802001953125","rgb(61,188,116)","45","47","87"
"-82.58910369873047","154.31900024414062","66.67330169677734","rgb(63,188,115)","45","87","86"
"-82.58920288085938","158.23699951171875","63.23619842529297","rgb(61,188,116)","47","49","88"
"-82.58920288085938","161.6739959716797","59.31850051879883","rgb(63,188,115)","47","88","87"
"-82.58920288085938","164.58099365234375","54.970001220703125","rgb(61,188,116)","49","71","89"
"-82.58920288085938","166.88900756835938","50.24140167236328","rgb(63,188,115)","49","89","88"
"-82.58920288085938","168.56399536132812","45.23899841308594","rgb(59,187,117)","71","72","90"
"-82.58920288085938","169.5850067138672","40.13880157470703","rgb(63,188,115)","71","90","89"
"-82.58920288085938","169.93099975585938","35.114601135253906","rgb(58,186,118)","72","73","91"
"-82.58920288085938","169.93099975585938","0.05695100128650665","rgb(61,188,116)","72","91","90"
"-82.58920288085938","169.93099975585938","-35.0005989074707","rgb(56,185,119)","73","75","92"
"-82.58920288085938","169.93099975585938","-70.05829620361328","rgb(58,186,118)","73","92","91"
"-82.58920288085938","169.93099975585938","-105.11599731445312","rgb(53,183,121)","75","76","93"
"-82.58920288085938","169.5850067138672","-110.13999938964844","rgb(55,184,120)","75","93","92"
"-82.58920288085938","168.56399536132812","-115.24099731445312","rgb(50,182,122)","76","77","94"
"-82.58920288085938","166.88900756835938","-120.24299621582031","rgb(52,182,121)","76","94","93"
"-82.58920288085938","164.58099365234375","-124.97200012207031","rgb(46,179,124)","77","78","95"
"-82.58920288085938","161.6739959716797","-129.32000732421875","rgb(47,180,124)","77","95","94"
"-82.58920288085938","158.23699951171875","-133.23800659179688","rgb(42,176,127)","78","79","96"
"-82.58920288085938","154.3179931640625","-136.6750030517578","rgb(44,177,126)","78","96","95"
"-82.58920288085938","149.97000122070312","-139.58200073242188","rgb(39,173,129)","79","74","97"
"-82.58920288085938","145.24099731445312","-141.88999938964844","rgb(40,174,128)","79","97","96"
"-82.58920288085938","140.23899841308594","-143.56500244140625","rgb(36,170,131)","74","70","98"
"-82.58920288085938","135.13800048828125","-144.58599853515625","rgb(37,172,130)","74","98","97"
"-82.58920288085938","130.11399841308594","-144.93099975585938","rgb(33,166,133)","70","69","99"
"-82.58920288085938","65.05709838867188","-144.93099975585938","rgb(34,168,132)","70","99","98"
"-82.58920288085938","-0.0005435909843072295","-144.93099975585938","rgb(32,163,134)","69","68","100"
"-82.58920288085938","-65.05809783935547","-144.93099975585938","rgb(32,164,134)","69","100","99"
"-82.58920288085938","-130.11599731445312","-144.93099975585938","rgb(32,146,140)","68","67","101"
"-82.58920288085938","-135.13999938964844","-144.5850067138672","rgb(31,154,138)","68","101","100"
"-82.58920288085938","-140.24099731445312","-143.56300354003906","rgb(42,120,142)","67","65","102"
"-82.58920288085938","-145.2429962158203","-141.88800048828125","rgb(38,129,142)","67","102","101"
"-82.58920288085938","-149.9720001220703","-139.5800018310547","rgb(53,95,141)","65","63","103"
"-82.58920288085938","-154.32000732421875","-136.67300415039062","rgb(49,104,142)","65","103","102"
"-82.58920288085938","-158.23699951171875","-133.23599243164062","rgb(66,65,134)","63","62","104"
"-82.58920288085938","-161.6739959716797","-129.3179931640625","rgb(62,76,138)","63","104","103"
"-82.58920288085938","-164.58099365234375","-124.97000122070312","rgb(70,52,128)","62","61","105"
"-82.58920288085938","-166.88900756835938","-120.24099731445312","rgb(69,53,129)","62","105","104"
"-82.58920288085938","-168.56399536132812","-115.23899841308594","rgb(71,47,125)","61","60","106"
"-82.58920288085938","-169.5850067138672","-110.13800048828125","rgb(70,48,126)","61","106","105"
"-82.58920288085938","-169.93099975585938","-105.11399841308594","rgb(71,44,122)","60","59","107"
"-82.58920288085938","-169.93099975585938","-70.05699920654297","rgb(71,44,122)","60","107","106"
"-82.58920288085938","-169.93099975585938","-34.9994010925293","rgb(72,38,119)","59","58","108"
"-82.58920288085938","-169.93099975585938","0.05824600160121918","rgb(72,40,120)","59","108","107"
"-82.58920288085938","-169.93099975585938","35.11579895019531","rgb(72,35,116)","58","57","109"
"-82.58920288085938","-169.5850067138672","40.13999938964844","rgb(72,35,116)","58","109","108"
"-82.58920288085938","-168.56399536132812","45.2401008605957","rgb(72,31,112)","57","56","110"
"-82.58920288085938","-166.88900756835938","50.24250030517578","rgb(72,31,112)","57","110","109"
"-82.58920288085938","-164.58099365234375","54.97129821777344","rgb(72,27,109)","56","55","111"
"-82.58920288085938","-161.6739959716797","59.31959915161133","rgb(72,28,110)","56","111","110"
"-82.58920288085938","-158.23699951171875","63.23720169067383","rgb(72,24,106)","55","54","112"
"-82.58910369873047","-154.31900024414062","66.67440032958984","rgb(72,24,106)","55","112","111"
"-82.58920288085938","-140.06900024414062","-13.714799880981445","rgb(72,23,105)","54","53","113"
"-82.58920288085938","-140.06900024414062","25.069900512695312","rgb(72,22,104)","54","113","112"
"-82.58920288085938","-140.06900024414062","-52.4995002746582","rgb(72,20,103)","53","52","114"
"-82.58920288085938","-140.06900024414062","-91.2842025756836","rgb(72,20,103)","53","114","113"
"-82.58920288085938","-140.06900024414062","-130.0679931640625","rgb(71,19,101)","52","51","115"
"-82.58920288085938","-82.53520202636719","-130.06900024414062","rgb(71,19,101)","52","115","114"
"-82.58920288085938","-25.000499725341797","-130.06900024414062","rgb(71,19,101)","51","37","116"
"-82.58920288085938","32.53419876098633","-130.06900024414062","rgb(71,17,100)","51","116","115"
"-82.58920288085938","90.06890106201172","-130.06900024414062","rgb(71,19,101)","37","35","117"
"-82.58920288085938","90.06909942626953","-91.28500366210938","rgb(71,17,100)","37","117","116"
"-82.58920288085938","90.06919860839844","-52.500301361083984","rgb(71,19,101)","35","33","118"
"-82.58920288085938","90.06929779052734","-13.71560001373291","rgb(71,17,100)","35","118","117"
"-82.58920288085938","90.06950378417969","25.06909942626953","rgb(71,19,101)","33","31","119"
"-82.58920288085938","32.5348014831543","25.069299697875977","rgb(71,17,100)","33","119","118"
"-82.58920288085938","-24.999900817871094","25.069499969482422","rgb(71,19,101)","31","30","120"
"-82.58920288085938","-82.53459930419922","25.069700241088867","rgb(71,17,100)","31","120","119"
"-100.0","-145.26800537109375","71.95379638671875","rgb(71,19,101)","30","29","121"
"-100.0","-150.0050048828125","69.64179992675781","rgb(71,17,100)","30","121","120"
"-100.0","-140.25799560546875","73.6321029663086","rgb(72,20,103)","29","28","122"
"-100.0","-135.1490020751953","74.65480041503906","rgb(71,17,100)","29","122","121"
"-100.0","-130.1179962158203","75.00050354003906","rgb(72,22,104)","28","26","123"
"-100.0","-65.05850219726562","75.00019836425781","rgb(71,19,101)","28","123","122"
"-100.0","0.00028516200836747885","75.0","rgb(72,23,105)","26","25","124"
"-100.0","65.05909729003906","74.99980163574219","rgb(72,22,104)","26","124","123"
"-100.0","130.1179962158203","74.99949645996094","rgb(72,26,108)","25","24","125"
"-100.0","135.1490020751953","74.65380096435547","rgb(72,24,106)","25","125","124"
"-100.0","140.2570037841797","73.631103515625","rgb(72,28,110)","24","23","126"
"-100.0","145.26800537109375","71.9529037475586","rgb(72,27,109)","24","126","125"
"-100.0","150.0050048828125","69.6405029296875","rgb(72,32,113)","23","22","127"
"-100.0","154.36099243164062","66.72850036621094","rgb(72,29,111)","23","127","126"
"-100.0","158.28599548339844","63.285400390625","rgb(72,36,117)","22","21","128"
"-100.0","161.72900390625","59.36090087890625","rgb(72,33,115)","22","128","127"
"-100.0","164.64100646972656","55.00469970703125","rgb(72,40,120)","21","20","129"
"-100.0","166.9530029296875","50.267799377441406","rgb(72,38,119)","21","129","128"
"-100.0","168.6320037841797","45.256900787353516","rgb(71,45,123)","20","19","130"
"-100.0","169.6540069580078","40.14799880981445","rgb(71,42,122)","20","130","129"
"-100.0","170.0","35.117000579833984","rgb(70,48,126)","19","18","131"
"-100.0","170.0","0.05814779922366142","rgb(71,47,125)","19","131","130"
"-100.0","170.0","-35.0005989074707","rgb(69,53,129)","18","16","132"
"-100.0","170.0","-70.05950164794922","rgb(70,52,128)","18","132","131"
"-100.0","170.0","-105.11900329589844","rgb(62,76,138)","16","14","133"
"-100.0","169.6540069580078","-110.1500015258789","rgb(66,65,134)","16","133","132"
"-100.0","168.6320037841797","-115.25800323486328","rgb(49,104,142)","14","12","134"
"-100.0","166.9530029296875","-120.26899719238281","rgb(53,95,141)","14","134","133"
"-100.0","164.64100646972656","-125.00599670410156","rgb(38,129,142)","12","10","135"
"-100.0","161.72900390625","-129.36199951171875","rgb(42,120,142)","12","135","134"
"-100.0","158.28599548339844","-133.28700256347656","rgb(31,154,138)","10","9","136"
"-100.0","154.36000061035156","-136.72999572753906","rgb(32,146,140)","10","136","135"
"-100.0","150.00399780273438","-139.64199829101562","rgb(32,164,134)","9","8","137"
"-100.0","145.26699829101562","-141.95399475097656","rgb(32,163,134)","9","137","136"
"-100.0","140.25599670410156","-143.63299560546875","rgb(34,168,132)","8","7","138"
"-100.0","135.1479949951172","-144.65499877929688","rgb(34,167,133)","8","138","137"
"-100.0","130.11700439453125","-145.0","rgb(37,171,130)","7","6","139"
"-100.0","65.05829620361328","-145.0","rgb(36,170,131)","7","139","138"
