work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2022,MI,FT,Data Analyst,90000,SGD,65950,SG,50,SG,M
2022,MI,FT,AI Scientist,200000,USD,200000,US,100,US,M
2022,EN,FT,Machine Learning Developer,180000,USD,180000,US,100,US,L
2022,MI,FT,Data Scientist,153000,USD,153000,US,100,US,L
2022,SE,FT,Data Engineer,210000,USD,210000,US,100,US,M
2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
2022,MI,FT,Machine Learning Scientist,22800,USD,22800,EG,100,EG,M
2022,SE,FT,Data Scientist,160000,USD,160000,US,100,US,L
2022,SE,FT,Data Scientist,92000,USD,92000,US,100,US,L
2022,SE,FT,Machine Learning Engineer,202900,USD,202900,US,100,US,L
2022,SE,FT,Machine Learning Engineer,131300,USD,131300,US,100,US,L
2020,EN,FT,Data Analyst,20000,EUR,22809,PT,100,PT,M
2022,EN,FT,Data Analyst,15000,USD,15000,ID,0,ID,L
2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
2022,SE,FT,Data Science Manager,193000,AUD,138851,AU,100,AU,L
2022,EN,FT,Machine Learning Engineer,83000,USD,83000,US,0,US,L
2022,MI,FT,Data Engineer,75000,GBP,97341,GB,100,GB,M
2022,MI,FT,Data Engineer,55000,GBP,71383,GB,100,GB,M
2022,SE,FT,Data Scientist,186000,USD,186000,US,0,US,M
2022,SE,FT,Data Scientist,148800,USD,148800,US,0,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,0,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,0,US,M
2022,SE,FT,ML Engineer,240000,USD,240000,US,0,US,M
2022,SE,FT,ML Engineer,160000,USD,160000,US,0,US,M
2022,SE,FT,Data Science Manager,300000,USD,300000,US,100,US,M
2022,SE,FT,Data Science Manager,200000,USD,200000,US,100,US,M
2022,MI,FT,Data Engineer,62500,EUR,68324,DE,50,DE,S
2022,MI,FT,AI Scientist,200000,USD,200000,IN,100,US,L
2022,MI,FT,Machine Learning Engineer,95000,GBP,123298,GB,0,GB,M
2022,MI,FT,Machine Learning Engineer,75000,GBP,97341,GB,0,GB,M
2022,MI,FT,AI Scientist,120000,USD,120000,US,0,US,M
2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
2022,SE,FT,Data Analytics Manager,145000,USD,145000,US,100,US,M
2022,SE,FT,Data Analytics Manager,105400,USD,105400,US,100,US,M
2020,EN,FT,Data Scientist,43200,EUR,49268,DE,0,DE,S
2022,MI,FT,Data Engineer,90000,GBP,116809,GB,0,GB,M
2022,MI,FT,Data Engineer,75000,GBP,97341,GB,0,GB,M
2022,SE,FT,Data Scientist,215300,USD,215300,US,100,US,L
2022,SE,FT,Data Scientist,158200,USD,158200,US,100,US,L
2022,SE,FT,Data Engineer,209100,USD,209100,US,100,US,L
2022,SE,FT,Data Engineer,154600,USD,154600,US,100,US,L
2022,SE,FT,Data Analyst,115934,USD,115934,US,0,US,M
2022,SE,FT,Data Analyst,81666,USD,81666,US,0,US,M
2022,SE,FT,Data Engineer,175000,USD,175000,US,100,US,M
2022,SE,FT,Data Engineer,155000,USD,155000,US,100,US,M
2022,MI,FT,Machine Learning Engineer,80000,EUR,87454,FR,100,DE,M
2022,SE,FT,Data Analyst,164000,USD,164000,US,0,US,M
2022,SE,FT,Data Analyst,132000,USD,132000,US,0,US,M
2022,SE,FT,Data Scientist,170000,USD,170000,US,100,US,M
2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
2022,SE,FT,Machine Learning Engineer,189650,USD,189650,US,0,US,M
2022,SE,FT,Machine Learning Engineer,164996,USD,164996,US,0,US,M
2022,MI,FT,ETL Developer,50000,EUR,54659,GR,0,GR,M
2022,MI,FT,ETL Developer,50000,EUR,54659,GR,0,GR,M
2022,EX,FT,Lead Data Engineer,150000,CAD,117990,CA,100,CA,S
2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
