,region,county,salesperson,calls,sales
0,North,Dallam,JE,35,23
1,North,Dallam,ZQ,49,13
2,North,Dallam,IJ,20,6
3,North,Hartley,WE,39,37
4,North,Hartley,PL,42,37
5,North,Hartley,BI,24,8
6,North,Moore,TW,33,6
7,North,Moore,TZ,33,20
8,North,Moore,ZM,21,13
9,North,Gray,ES,49,31
10,North,Gray,XY,31,28
11,North,Gray,YJ,35,13
12,North,Floyd,WH,44,37
13,North,Floyd,OH,31,6
14,North,Floyd,UA,44,34
15,North,Motley,EH,44,34
16,North,Motley,MW,22,21
17,North,Motley,NY,35,15
18,West,Pecos,WV,30,25
19,West,Pecos,QM,48,45
20,West,Pecos,WZ,37,23
21,West,Brewster,IK,33,20
22,West,Brewster,BS,33,14
23,West,Brewster,JF,20,8
24,West,Presidio,DQ,40,15
25,West,Presidio,OT,35,9
26,West,Presidio,SV,45,30
27,South,Webb,KR,20,6
28,South,Webb,QJ,46,40
29,South,Webb,RR,48,26
30,South,Duval,FJ,20,7
31,South,Duval,GW,20,6
32,South,Duval,DS,42,9
33,South,Hidalgo,LQ,41,16
34,South,Hidalgo,LR,39,7
35,South,Hidalgo,LV,21,11
36,South,Zavala,YA,25,21
37,South,Zavala,FL,31,24
38,South,Zavala,IV,28,20
39,East,Shelby,NZ,45,16
40,East,Shelby,VN,29,6
41,East,Shelby,XH,47,6
42,East,Rusk,HW,20,8
43,East,Rusk,UM,24,8
44,East,Rusk,OY,40,20
45,East,Tyler,JC,21,17
46,East,Tyler,GT,30,4
47,East,Tyler,UF,49,35
48,East,Houston,QK,22,8
49,East,Houston,AX,42,9
50,East,Houston,YN,38,23
