Year;Race;Sex;Age 0 to 2;Age 3 to 4;Age 5;Age 6 to 9;Age 10 to 13;Age 14;Age 15;Age 16 to 17;Age 18 to 19;Age 20 to 24;Age 25 to 34;Age 35 to 44;Age 45 to 54;Age 55 to 59;Age 60 to 64;Age 65 to 74;Age 75 to 84;Age 85 to 99;Age 100;Total;medage;Age 0 to 17;Age 18 to 24;Age 25 to 44;Age 45 to 64;Age 65 Plus;Estimate/Projection;Vintage
2023;Black;female;40416;28140;14176;57552;58705;15917;16481;32096;35366;83255;172283;151100;151425;76750;74824;119096;52948;16738;666;1197934;37.79889807;263483;118621;323383;302999;189448;Estimate;2023
2025;American Indian / Alaska Native;male;2387;1755;887;3971;4432;1193;1483;3438;3591;8535;14973;14208;13799;6039;5463;7948;3797;855;53;98807;36.89811458;19546;12126;29181;25301;12653;Projection;2024
2041;Other (Including 2 or More Races);male;21337;14107;7049;28411;29094;7375;7423;15325;16340;38001;70046;46934;36299;14841;13307;21402;13753;5368;130;406542;27.45216595;130121;54341;116980;64447;40653;Projection;2024
2048;Asian;male;9678;6424;3224;13062;13428;3432;3465;7036;7591;19820;44092;53295;53530;26909;25254;43031;26083;11887;919;372160;45.2738478;59749;27411;97387;105693;81920;Projection;2024
2051;Asian;male;9883;6570;3303;13494;14157;3649;3683;7451;7952;20548;44868;55119;56762;27177;26851;46426;30018;14192;1168;393271;46.00773415;62190;28500;99987;110790;91804;Projection;2024
2022;Black;female;41657;28143;14057;57658;59438;16360;16249;30991;35076;82032;172838;149071;151550;77654;74030;115573;49525;16622;640;1189164;37.59217281;264553;117108;321909;303234;182360;Estimate;2023
2025;Other (Including 2 or More Races);male;19993;12583;5989;25139;26770;7053;5635;9731;9709;20991;29052;22437;17760;7081;6621;11132;5380;1095;50;244201;19.89627715;112893;30700;51489;31462;17657;Projection;2024
2028;White;female;111931;74529;37623;150003;164096;42567;42380;85405;102756;254045;462947;527795;495460;260397;258271;510676;325554;106485;1637;4014557;44.06315274;708534;356801;990742;1014128;944352;Projection;2024
2033;Other (Including 2 or More Races);male;20174;13338;6660;27214;27913;6771;6945;14345;14998;34766;44875;32981;26166;10810;9530;15861;9986;2651;47;326031;23.23986104;123360;49764;77856;46506;28545;Projection;2024
2051;White;female;126788;85044;43053;177201;186197;47762;47897;96243;107895;261445;525381;619267;617954;305198;309405;560475;413381;220166;4728;4755480;45.82400628;810185;369340;1144648;1232557;1198750;Projection;2024
