u,v,w,x,y,z
1,1,0,0,0,0
1,1,0.088656062,0,0,1
1,1,0.169392742,0,0,2
1,0.5403023059,0,0,1,0
1,0.5403023059,0.088656062,0,1,1
1,0.5403023059,0.169392742,0,1,2
1,-0.4161468365,0,0,2,0
1,-0.4161468365,0.088656062,0,2,1
1,-0.4161468365,0.169392742,0,2,2
1.841470985,1,0,1,0,0
1.841470985,1,0.088656062,1,0,1
1.841470985,1,0.169392742,1,0,2
1.841470985,0.5403023059,0,1,1,0
1.841470985,0.5403023059,0.088656062,1,1,1
1.841470985,0.5403023059,0.169392742,1,1,2
1.841470985,-0.4161468365,0,1,2,0
1.841470985,-0.4161468365,0.088656062,1,2,1
1.841470985,-0.4161468365,0.169392742,1,2,2
1.909297427,1,0,2,0,0
1.909297427,1,0.088656062,2,0,1
1.909297427,1,0.169392742,2,0,2
1.909297427,0.5403023059,0,2,1,0
1.909297427,0.5403023059,0.088656062,2,1,1
1.909297427,0.5403023059,0.169392742,2,1,2
1.909297427,-0.4161468365,0,2,2,0
1.909297427,-0.4161468365,0.088656062,2,2,1
1.909297427,-0.4161468365,0.169392742,2,2,2
