10 Min Std Dev,Time,10 Min Sampled Avg
2.73,6/11/2001  11:00:00 AM,22.3
1.98,6/11/2001  11:10:00 AM,23
1.87,6/11/2001  11:20:00 AM,23.3
2.03,6/11/2001  11:30:00 AM,22
3.1,6/11/2001  11:40:00 AM,20.5
2.3,6/11/2001  11:50:00 AM,25.2
2.46,6/11/2001  12:00:00 PM,24.8
1.87,6/11/2001  12:10:00 PM,24
1.71,6/11/2001  12:20:00 PM,22.9
1.76,6/11/2001  12:30:00 PM,17.9
1.87,6/11/2001  12:40:00 PM,20.3
1.66,6/11/2001  12:50:00 PM,21.5
2.09,6/11/2001  1:00:00 PM,21.3
1.6,6/11/2001  1:10:00 PM,21.3
1.44,6/11/2001  1:20:00 PM,21.3
3.69,6/11/2001  1:30:00 PM,22.4
2.78,6/11/2001  1:40:00 PM,25.4
2.14,6/11/2001  1:50:00 PM,25.9
2.67,6/11/2001  2:00:00 PM,25.5
2.57,6/11/2001  2:10:00 PM,25.7
2.35,6/11/2001  2:20:00 PM,23.9
2.67,6/11/2001  2:30:00 PM,24.7
2.46,6/11/2001  2:40:00 PM,26.3
2.73,6/11/2001  2:50:00 PM,26.9
2.19,6/11/2001  3:00:00 PM,29
3.32,6/11/2001  3:10:00 PM,24.4
1.98,6/11/2001  3:20:00 PM,21.4
2.46,6/11/2001  3:30:00 PM,20
1.76,6/11/2001  3:40:00 PM,18.3
1.82,6/11/2001  3:50:00 PM,17.1
2.3,6/11/2001  4:00:00 PM,17.6
1.98,6/11/2001  4:10:00 PM,16.7
2.3,6/11/2001  4:20:00 PM,11.4
2.62,6/11/2001  4:30:00 PM,16.6
2.3,6/11/2001  4:40:00 PM,16.1
2.09,6/11/2001  4:50:00 PM,16
2.51,6/11/2001  5:00:00 PM,17
2.19,6/11/2001  5:10:00 PM,17.2
2.62,6/11/2001  5:20:00 PM,17.1
2.94,6/11/2001  5:30:00 PM,16.8
3.05,6/11/2001  5:40:00 PM,16.6
2.62,6/11/2001  5:50:00 PM,17.5
2.09,6/11/2001  6:00:00 PM,17.1
2.03,6/11/2001  6:10:00 PM,18.6
2.03,6/11/2001  6:20:00 PM,18.4
2.73,6/11/2001  6:30:00 PM,15
2.19,6/11/2001  6:40:00 PM,16
2.14,6/11/2001  6:50:00 PM,16.5
2.41,6/11/2001  7:00:00 PM,18.7
2.62,6/11/2001  7:10:00 PM,16.7
2.3,6/11/2001  7:20:00 PM,14.7
2.09,6/11/2001  7:30:00 PM,13.6
2.89,6/11/2001  7:40:00 PM,16
