gender,survived,class
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,No,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,Yes,1
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,No,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,Yes,2
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
Male,No,3
