"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","HUR","TOT","PC_LF","M","2003-06",4.9,
"AUT","HUR","TOT","PC_LF","M","2003-07",4.8,
"AUT","HUR","TOT","PC_LF","M","2003-08",4.8,
"AUT","HUR","TOT","PC_LF","M","2003-09",4.8,
"AUT","HUR","TOT","PC_LF","M","2003-10",4.9,
"AUT","HUR","TOT","PC_LF","M","2003-11",5,
"AUT","HUR","TOT","PC_LF","M","2003-12",5.2,"B"
"AUT","HUR","TOT","PC_LF","M","2004-01",6.1,
"AUT","HUR","TOT","PC_LF","M","2004-02",5.8,
"AUT","HUR","TOT","PC_LF","M","2004-03",6,
"AUT","HUR","TOT","PC_LF","M","2004-04",6.1,
"AUT","HUR","TOT","PC_LF","M","2004-05",5.6,
"AUT","HUR","TOT","PC_LF","M","2004-06",5.7,
"AUT","HUR","TOT","PC_LF","M","2004-07",5.5,
"AUT","HUR","TOT","PC_LF","M","2004-08",5.9,
"AUT","HUR","TOT","PC_LF","M","2004-09",6.2,
"AUT","HUR","TOT","PC_LF","M","2004-10",6.2,
"AUT","HUR","TOT","PC_LF","M","2004-11",5.7,
"AUT","HUR","TOT","PC_LF","M","2004-12",5.9,
"AUT","HUR","TOT","PC_LF","M","2005-01",5.7,
"AUT","HUR","TOT","PC_LF","M","2005-02",5.6,
"AUT","HUR","TOT","PC_LF","M","2005-03",6,
"AUT","HUR","TOT","PC_LF","M","2005-04",5.9,
"AUT","HUR","TOT","PC_LF","M","2005-05",6.2,
"AUT","HUR","TOT","PC_LF","M","2005-06",6.2,
"AUT","HUR","TOT","PC_LF","M","2005-07",6.4,
"AUT","HUR","TOT","PC_LF","M","2005-08",5.9,
"AUT","HUR","TOT","PC_LF","M","2005-09",6.1,
"AUT","HUR","TOT","PC_LF","M","2005-10",6.4,
"AUT","HUR","TOT","PC_LF","M","2005-11",6.2,
"AUT","HUR","TOT","PC_LF","M","2005-12",5.8,
"AUT","HUR","TOT","PC_LF","M","2006-01",6.1,
"AUT","HUR","TOT","PC_LF","M","2006-02",6,
"AUT","HUR","TOT","PC_LF","M","2006-03",6.2,
"AUT","HUR","TOT","PC_LF","M","2006-04",5.7,
"AUT","HUR","TOT","PC_LF","M","2006-05",5.2,
"AUT","HUR","TOT","PC_LF","M","2006-06",6.1,
"AUT","HUR","TOT","PC_LF","M","2006-07",5.8,
"AUT","HUR","TOT","PC_LF","M","2006-08",5.1,
"AUT","HUR","TOT","PC_LF","M","2006-09",5.3,
"AUT","HUR","TOT","PC_LF","M","2006-10",5.3,
"AUT","HUR","TOT","PC_LF","M","2006-11",5.2,
"AUT","HUR","TOT","PC_LF","M","2006-12",5.5,
"AUT","HUR","TOT","PC_LF","M","2007-01",5.1,
"AUT","HUR","TOT","PC_LF","M","2007-02",5.4,
"AUT","HUR","TOT","PC_LF","M","2007-03",5.1,
"AUT","HUR","TOT","PC_LF","M","2007-04",5.5,
"AUT","HUR","TOT","PC_LF","M","2007-05",5.6,
"AUT","HUR","TOT","PC_LF","M","2007-06",5.2,
"AUT","HUR","TOT","PC_LF","M","2007-07",5.6,
"AUT","HUR","TOT","PC_LF","M","2007-08",5.6,
"AUT","HUR","TOT","PC_LF","M","2007-09",4.8,
"AUT","HUR","TOT","PC_LF","M","2007-10",5,
"AUT","HUR","TOT","PC_LF","M","2007-11",5,
"AUT","HUR","TOT","PC_LF","M","2007-12",4.4,
"AUT","HUR","TOT","PC_LF","M","2008-01",4.5,
"AUT","HUR","TOT","PC_LF","M","2008-02",4.6,
"AUT","HUR","TOT","PC_LF","M","2008-03",4.5,
"AUT","HUR","TOT","PC_LF","M","2008-04",4,
"AUT","HUR","TOT","PC_LF","M","2008-05",4.2,
"AUT","HUR","TOT","PC_LF","M","2008-06",3.9,
"AUT","HUR","TOT","PC_LF","M","2008-07",4.3,
"AUT","HUR","TOT","PC_LF","M","2008-08",4.8,
"AUT","HUR","TOT","PC_LF","M","2008-09",4.2,
"AUT","HUR","TOT","PC_LF","M","2008-10",4.3,
"AUT","HUR","TOT","PC_LF","M","2008-11",4.8,
"AUT","HUR","TOT","PC_LF","M","2008-12",5.1,
"AUT","HUR","TOT","PC_LF","M","2009-01",5,
"AUT","HUR","TOT","PC_LF","M","2009-02",4.9,
"AUT","HUR","TOT","PC_LF","M","2009-03",5.3,
"AUT","HUR","TOT","PC_LF","M","2009-04",5.8,
"AUT","HUR","TOT","PC_LF","M","2009-05",5.5,
"AUT","HUR","TOT","PC_LF","M","2009-06",5.8,
"AUT","HUR","TOT","PC_LF","M","2009-07",6.4,
"AUT","HUR","TOT","PC_LF","M","2009-08",5.9,
"AUT","HUR","TOT","PC_LF","M","2009-09",6.5,
"AUT","HUR","TOT","PC_LF","M","2009-10",5.7,
"AUT","HUR","TOT","PC_LF","M","2009-11",6.2,
"AUT","HUR","TOT","PC_LF","M","2009-12",5.5,
"AUT","HUR","TOT","PC_LF","M","2010-01",5,
"AUT","HUR","TOT","PC_LF","M","2010-02",5.3,
"AUT","HUR","TOT","PC_LF","M","2010-03",5.7,
"AUT","HUR","TOT","PC_LF","M","2010-04",5.4,
"AUT","HUR","TOT","PC_LF","M","2010-05",5.2,
"AUT","HUR","TOT","PC_LF","M","2010-06",5.4,
"AUT","HUR","TOT","PC_LF","M","2010-07",5.3,
"AUT","HUR","TOT","PC_LF","M","2010-08",5.1,
"AUT","HUR","TOT","PC_LF","M","2010-09",5.3,
"AUT","HUR","TOT","PC_LF","M","2010-10",5.1,
"AUT","HUR","TOT","PC_LF","M","2010-11",4.7,
"AUT","HUR","TOT","PC_LF","M","2010-12",4.7,
"AUT","HUR","TOT","PC_LF","M","2011-01",4.9,
"AUT","HUR","TOT","PC_LF","M","2011-02",5.7,
"AUT","HUR","TOT","PC_LF","M","2011-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2011-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2011-05",5,
"AUT","HUR","TOT","PC_LF","M","2011-06",4.5,
"AUT","HUR","TOT","PC_LF","M","2011-07",4.5,
"AUT","HUR","TOT","PC_LF","M","2011-08",4.4,
"AUT","HUR","TOT","PC_LF","M","2011-09",4.4,
"AUT","HUR","TOT","PC_LF","M","2011-10",5.2,
"AUT","HUR","TOT","PC_LF","M","2011-11",5.4,
"AUT","HUR","TOT","PC_LF","M","2011-12",5.1,
"AUT","HUR","TOT","PC_LF","M","2012-01",4.4,
"AUT","HUR","TOT","PC_LF","M","2012-02",5.3,
"AUT","HUR","TOT","PC_LF","M","2012-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2012-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2012-05",5.2,
"AUT","HUR","TOT","PC_LF","M","2012-06",5.5,
"AUT","HUR","TOT","PC_LF","M","2012-07",5.5,
"AUT","HUR","TOT","PC_LF","M","2012-08",5.7,
"AUT","HUR","TOT","PC_LF","M","2012-09",5.6,
"AUT","HUR","TOT","PC_LF","M","2012-10",5.3,
"AUT","HUR","TOT","PC_LF","M","2012-11",5.5,
"AUT","HUR","TOT","PC_LF","M","2012-12",5.3,
"AUT","HUR","TOT","PC_LF","M","2013-01",5.9,
"AUT","HUR","TOT","PC_LF","M","2013-02",5.6,
"AUT","HUR","TOT","PC_LF","M","2013-03",5.9,
"AUT","HUR","TOT","PC_LF","M","2013-04",5.4,
"AUT","HUR","TOT","PC_LF","M","2013-05",5.4,
"AUT","HUR","TOT","PC_LF","M","2013-06",5.4,
"AUT","HUR","TOT","PC_LF","M","2013-07",6,
"AUT","HUR","TOT","PC_LF","M","2013-08",5.7,
"AUT","HUR","TOT","PC_LF","M","2013-09",5.9,
"AUT","HUR","TOT","PC_LF","M","2013-10",5.8,
"AUT","HUR","TOT","PC_LF","M","2013-11",6,
"AUT","HUR","TOT","PC_LF","M","2013-12",5.8,
"AUT","HUR","TOT","PC_LF","M","2014-01",6.3,
"AUT","HUR","TOT","PC_LF","M","2014-02",5.7,
"AUT","HUR","TOT","PC_LF","M","2014-03",6.2,
"AUT","HUR","TOT","PC_LF","M","2014-04",5.5,
"AUT","HUR","TOT","PC_LF","M","2014-05",5.6,
"AUT","HUR","TOT","PC_LF","M","2014-06",6.5,
"AUT","HUR","TOT","PC_LF","M","2014-07",6.2,
"AUT","HUR","TOT","PC_LF","M","2014-08",5.8,
"AUT","HUR","TOT","PC_LF","M","2014-09",6.3,
"AUT","HUR","TOT","PC_LF","M","2014-10",6.1,
"AUT","HUR","TOT","PC_LF","M","2014-11",6.1,
"AUT","HUR","TOT","PC_LF","M","2014-12",6.2,
"AUT","HUR","TOT","PC_LF","M","2015-01",5.9,
"AUT","HUR","TOT","PC_LF","M","2015-02",5.8,
"AUT","HUR","TOT","PC_LF","M","2015-03",6.1,
"AUT","HUR","TOT","PC_LF","M","2015-04",6.2,
"AUT","HUR","TOT","PC_LF","M","2015-05",6.3,
"AUT","HUR","TOT","PC_LF","M","2015-06",6.3,
"AUT","HUR","TOT","PC_LF","M","2015-07",6.2,
"AUT","HUR","TOT","PC_LF","M","2015-08",6,
"AUT","HUR","TOT","PC_LF","M","2015-09",6.4,
"AUT","HUR","TOT","PC_LF","M","2015-10",5.9,
"AUT","HUR","TOT","PC_LF","M","2015-11",6.7,
"AUT","HUR","TOT","PC_LF","M","2015-12",6.2,
"AUT","HUR","TOT","PC_LF","M","2016-01",6.6,
"AUT","HUR","TOT","PC_LF","M","2016-02",6.4,
"AUT","HUR","TOT","PC_LF","M","2016-03",6.1,
"AUT","HUR","TOT","PC_LF","M","2016-04",6.2,
"AUT","HUR","TOT","PC_LF","M","2016-05",6.8,
"AUT","HUR","TOT","PC_LF","M","2016-06",6.7,
"AUT","HUR","TOT","PC_LF","M","2016-07",6.7,
"AUT","HUR","TOT","PC_LF","M","2016-08",7,
"AUT","HUR","TOT","PC_LF","M","2016-09",6.6,
"AUT","HUR","TOT","PC_LF","M","2016-10",6.3,
"AUT","HUR","TOT","PC_LF","M","2016-11",6.2,
"AUT","HUR","TOT","PC_LF","M","2016-12",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-01",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-02",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-03",6,
"AUT","HUR","TOT","PC_LF","M","2017-04",5.8,
"AUT","HUR","TOT","PC_LF","M","2017-05",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-06",5.6,
"AUT","HUR","TOT","PC_LF","M","2017-07",6.1,
"AUT","HUR","TOT","PC_LF","M","2017-08",5.9,
"AUT","HUR","TOT","PC_LF","M","2017-09",6,
"AUT","HUR","TOT","PC_LF","M","2017-10",5.7,
"AUT","HUR","TOT","PC_LF","M","2017-11",5.9,
"AUT","HUR","TOT","PC_LF","M","2017-12",5.8,
"AUT","HUR","TOT","PC_LF","M","2018-01",5.7,
"AUT","HUR","TOT","PC_LF","M","2018-02",5.2,
"AUT","HUR","TOT","PC_LF","M","2018-03",5.2,
"AUT","HUR","TOT","PC_LF","M","2018-04",5.1,
"AUT","HUR","TOT","PC_LF","M","2018-05",4.6,
"AUT","HUR","TOT","PC_LF","M","2018-06",5.1,
"AUT","HUR","TOT","PC_LF","M","2018-07",5.5,
"AUT","HUR","TOT","PC_LF","M","2018-08",5.4,
"AUT","HUR","TOT","PC_LF","M","2018-09",5.4,
"AUT","HUR","TOT","PC_LF","M","2018-10",5.5,
"AUT","HUR","TOT","PC_LF","M","2018-11",4.7,
"AUT","HUR","TOT","PC_LF","M","2018-12",5.2,
"AUT","HUR","TOT","PC_LF","M","2019-01",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-02",5,
"AUT","HUR","TOT","PC_LF","M","2019-03",5,
"AUT","HUR","TOT","PC_LF","M","2019-04",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-05",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-06",4.6,
"AUT","HUR","TOT","PC_LF","M","2019-07",4.9,
"AUT","HUR","TOT","PC_LF","M","2019-08",5.1,
"AUT","HUR","TOT","PC_LF","M","2019-09",4.6,
"AUT","HUR","TOT","PC_LF","M","2019-10",5,
"AUT","HUR","TOT","PC_LF","M","2019-11",4.1,
"AUT","HUR","TOT","PC_LF","M","2019-12",4.7,
"AUT","HUR","TOT","PC_LF","M","2020-01",4.3,
"AUT","HUR","TOT","PC_LF","M","2020-02",4.6,
"AUT","HUR","TOT","PC_LF","M","2020-03",4.8,
"AUT","HUR","TOT","PC_LF","M","2020-04",6,
"AUT","HUR","TOT","PC_LF","M","2020-05",7,
"AUT","HUR","TOT","PC_LF","M","2020-06",7.9,
"AUT","HUR","TOT","PC_LF","M","2020-07",6.8,
"AUT","HUR","TOT","PC_LF","M","2020-08",6.4,
"AUT","HUR","TOT","PC_LF","M","2020-09",6.5,
"AUT","HUR","TOT","PC_LF","M","2020-10",6.1,
"AUT","HUR","TOT","PC_LF","M","2020-11",5.8,
"AUT","HUR","TOT","PC_LF","M","2020-12",6.8,
"AUT","HUR","TOT","PC_LF","M","2021-01",7.6,
"AUT","HUR","TOT","PC_LF","M","2021-02",7,
"AUT","HUR","TOT","PC_LF","M","2021-03",6.5,
"AUT","HUR","TOT","PC_LF","M","2021-04",7.2,
"AUT","HUR","TOT","PC_LF","M","2021-05",6.7,
"AUT","HUR","TOT","PC_LF","M","2021-06",6.2,
"AUT","HUR","TOT","PC_LF","M","2021-07",6.1,
"AUT","HUR","TOT","PC_LF","M","2021-08",6.1,
"AUT","HUR","TOT","PC_LF","M","2021-09",4.9,
"AUT","HUR","TOT","PC_LF","M","2021-10",5.9,
"AUT","HUR","TOT","PC_LF","M","2021-11",5.1,
"AUT","HUR","TOT","PC_LF","M","2021-12",4.8,
"AUT","HUR","TOT","PC_LF","M","2022-01",4.7,
"AUT","HUR","TOT","PC_LF","M","2022-02",4.8,
"AUT","HUR","TOT","PC_LF","M","2022-03",4.2,
"AUT","HUR","TOT","PC_LF","M","2022-04",4.4,
"AUT","HUR","TOT","PC_LF","M","2022-05",4.7,
"AUT","HUR","TOT","PC_LF","M","2022-06",4.2,
"AUT","HUR","TOT","PC_LF","M","2022-07",4.6,
"AUT","HUR","TOT","PC_LF","M","2022-08",5.3,
"AUT","HUR","TOT","PC_LF","M","2022-09",5.2,
"AUT","HUR","TOT","PC_LF","M","2022-10",4.5,
"AUT","HUR","TOT","PC_LF","M","2022-11",5.5,
"AUT","HUR","TOT","PC_LF","M","2022-12",4.9,
"AUT","HUR","TOT","PC_LF","M","2023-01",5.1,
"AUT","HUR","TOT","PC_LF","M","2023-02",4.9,
"AUT","HUR","TOT","PC_LF","M","2023-03",4.5,
"AUT","HUR","TOT","PC_LF","M","2023-04",5.1,
"BEL","HUR","TOT","PC_LF","M","2003-06",8.1,
"BEL","HUR","TOT","PC_LF","M","2003-07",8.1,
"BEL","HUR","TOT","PC_LF","M","2003-08",8.1,
"BEL","HUR","TOT","PC_LF","M","2003-09",8.2,
"BEL","HUR","TOT","PC_LF","M","2003-10",8.3,
"BEL","HUR","TOT","PC_LF","M","2003-11",8.3,
"BEL","HUR","TOT","PC_LF","M","2003-12",8.5,
"BEL","HUR","TOT","PC_LF","M","2004-01",8.7,
"BEL","HUR","TOT","PC_LF","M","2004-02",8.6,
"BEL","HUR","TOT","PC_LF","M","2004-03",8.3,
"BEL","HUR","TOT","PC_LF","M","2004-04",7.7,
"BEL","HUR","TOT","PC_LF","M","2004-05",7.6,
"BEL","HUR","TOT","PC_LF","M","2004-06",8,
"BEL","HUR","TOT","PC_LF","M","2004-07",8.6,
"BEL","HUR","TOT","PC_LF","M","2004-08",9,
"BEL","HUR","TOT","PC_LF","M","2004-09",9,
"BEL","HUR","TOT","PC_LF","M","2004-10",8.6,
"BEL","HUR","TOT","PC_LF","M","2004-11",8.3,
"BEL","HUR","TOT","PC_LF","M","2004-12",8.2,
"BEL","HUR","TOT","PC_LF","M","2005-01",8.3,
"BEL","HUR","TOT","PC_LF","M","2005-02",8.5,
"BEL","HUR","TOT","PC_LF","M","2005-03",8.6,
"BEL","HUR","TOT","PC_LF","M","2005-04",8.4,
"BEL","HUR","TOT","PC_LF","M","2005-05",8.6,
"BEL","HUR","TOT","PC_LF","M","2005-06",8.5,
"BEL","HUR","TOT","PC_LF","M","2005-07",8.5,
"BEL","HUR","TOT","PC_LF","M","2005-08",8.5,
"BEL","HUR","TOT","PC_LF","M","2005-09",8.5,
