City,State,Population,lat,lon,year
Marysville,Washington,63269,48.0517637,-122.1770818,2014
Perris,California,72326,33.7825194,-117.2286478,2014
Cleveland,Ohio,390113,41.49932,-81.6943605,2014
Worcester,Massachusetts,182544,42.2625932,-71.8022934,2014
Columbia,South Carolina,133358,34.0007104,-81.0348144,2014
Waterbury,Connecticut,109676,41.5581525,-73.0514965,2014
Eagan,Minnesota,65453,44.8041322,-93.1668858,2014
Southfield,Michigan,73006,42.4733688,-83.2218731,2014
Lafayette,Louisiana,124276,30.2240897,-92.0198427,2014
Boise City,Idaho,214237,43.6187102,-116.2146068,2014
Elkhart,Indiana,51265,41.6819935,-85.9766671,2014
Buena Park,California,82882,33.8675143,-117.9981181,2014
Marietta,Georgia,59089,33.952602,-84.5499327,2014
Parker,Colorado,48608,39.5186002,-104.7613633,2014
West Palm Beach,Florida,102436,26.7153424,-80.0533746,2014
Salem,Massachusetts,42544,42.51954,-70.8967155,2014
Aurora,Illinois,199963,41.7605849,-88.3200715,2014
Leesburg,Virginia,47673,39.1156615,-77.5636015,2014
Doral,Florida,50213,25.8195424,-80.3553302,2014
Westminster,California,91739,33.7513419,-117.9939921,2014
Lubbock,Texas,239538,33.5778631,-101.8551665,2014
Overland Park,Kansas,181260,38.9822282,-94.6707917,2014
Jackson,Mississippi,172638,32.2987573,-90.1848103,2014
Gastonia,North Carolina,73209,35.262082,-81.1873005,2014
Daytona Beach,Florida,62316,29.2108147,-81.0228331,2014
Kansas City,Missouri,467007,39.0997265,-94.5785667,2014
Rancho Palos Verdes,California,42448,33.7444613,-118.3870173,2014
Burnsville,Minnesota,61434,44.7677424,-93.2777226,2014
Rowlett,Texas,58043,32.9029017,-96.56388,2014
Roswell,New Mexico,48611,33.3942655,-104.5230242,2014
Montgomery,Alabama,201332,32.3668052,-86.2999689,2014
Logan,Utah,48913,41.7369803,-111.8338359,2014
Woburn,Massachusetts,39083,42.4792618,-71.1522765,2014
Allentown,Pennsylvania,118577,40.6084305,-75.4901833,2014
Mount Pleasant,South Carolina,74885,32.8323225,-79.8284258,2014
Columbus,Georgia,202824,32.4609764,-84.9877094,2014
Buffalo,New York,258959,42.8864468,-78.8783689,2014
New Berlin,Wisconsin,39834,42.9764027,-88.1084224,2014
North Richland Hills,Texas,67317,32.8342952,-97.2289029,2014
Lima,Ohio,38355,40.742551,-84.1052256,2014
Sacramento,California,479686,38.5815719,-121.4943996,2014
Fort Smith,Arkansas,87650,35.3859242,-94.3985475,2014
East Providence,Rhode Island,47149,41.8137116,-71.3700545,2014
Urbandale,Iowa,41776,41.6266555,-93.7121656,2014
Mount Vernon,New York,68224,40.9125992,-73.8370786,2014
Lakewood,Colorado,147214,39.7047095,-105.0813734,2014
Henderson,Nevada,270811,36.0395247,-114.9817213,2014
Covina,California,48508,34.0900091,-117.8903397,2014
Stamford,Connecticut,126456,41.0534302,-73.5387341,2014
Bloomington,Indiana,82575,39.165325,-86.5263857,2014
Kingsport,Tennessee,52962,36.548434,-82.5618186,2014
Spokane,Washington,210721,47.6587802,-117.4260466,2014
Kennewick,Washington,76762,46.2112458,-119.1372338,2014
Philadelphia,Pennsylvania,1553165,39.9525839,-75.1652215,2014
Bellingham,Washington,82631,48.74908,-122.4781473,2014
Visalia,California,127763,36.3302284,-119.2920585,2014
La Crosse,Wisconsin,51522,43.8013556,-91.2395807,2014
Council Bluffs,Iowa,61969,41.2619444,-95.8608333,2014
North Lauderdale,Florida,42757,26.217305,-80.2258811,2014
Dallas,Texas,1257676,32.7766642,-96.7969879,2014
Antioch,California,107100,38.0049214,-121.805789,2014
Sterling Heights,Michigan,131224,42.5803122,-83.0302033,2014
Deerfield Beach,Florida,78041,26.3184123,-80.0997657,2014
Fishers,Indiana,83891,39.9567548,-86.01335,2014
Cheyenne,Wyoming,62448,41.1399814,-104.8202462,2014
Murrieta,California,107479,33.5539143,-117.2139232,2014
Lenexa,Kansas,50344,38.9536174,-94.7335709,2014
Noblesville,Indiana,56540,40.0455917,-86.0085955,2014
Southaven,Mississippi,50997,34.9889818,-90.0125913,2014
Chino,California,80988,34.0122346,-117.688944,2014
Gaithersburg,Maryland,65690,39.1434406,-77.2013705,2014
Fountain Valley,California,56707,33.7091847,-117.9536697,2014
Frederick,Maryland,66893,39.4142688,-77.4105409,2014
Greenville,North Carolina,89130,35.612661,-77.3663538,2014
DeKalb,Illinois,43849,41.9294736,-88.7503647,2014
West Allis,Wisconsin,60697,43.0166806,-88.0070315,2014
Thornton,Colorado,127359,39.8680412,-104.9719243,2014
West Des Moines,Iowa,61255,41.5772115,-93.711332,2014
Fall River,Massachusetts,88697,41.7014912,-71.1550451,2014
Tulare,California,61170,36.2077288,-119.3473379,2014
Chula Vista,California,256780,32.6400541,-117.0841955,2014
Coral Springs,Florida,126604,26.271192,-80.2706044,2014
Concord,North Carolina,83506,35.4087517,-80.579511,2014
Smyrna,Georgia,53438,33.8839926,-84.5143761,2014
Apopka,Florida,45587,28.6934076,-81.5322149,2014
Grand Forks,North Dakota,54932,47.9252568,-97.0328547,2014
Lancaster,Ohio,39325,39.7136754,-82.5993294,2014
Naperville,Illinois,144864,41.7508391,-88.1535352,2014
Hollywood,Florida,146526,26.0112014,-80.1494901,2014
Rogers,Arkansas,60112,36.3320196,-94.1185366,2014
New Orleans,Louisiana,378715,29.9510658,-90.0715323,2014
Lakewood,Washington,59097,47.1717649,-122.518458,2014
Oak Lawn,Illinois,57073,41.719978,-87.7479528,2014
Caldwell,Idaho,48957,43.6629384,-116.6873596,2014
Portland,Oregon,609456,45.5230622,-122.6764816,2014
Concord,California,125880,37.9779776,-122.0310733,2014
Burien,Washington,49858,47.4703767,-122.3467918,2014
St. Charles,Missouri,67569,38.7881062,-90.4974359,2014
Waukesha,Wisconsin,71016,43.0116784,-88.2314813,2014
Flagstaff,Arizona,68667,35.1982836,-111.651302,2014
Puyallup,Washington,38609,47.1853785,-122.2928974,2014
Schenectady,New York,65902,42.8142432,-73.9395687,2014
Denver,Colorado,649495,39.7392358,-104.990251,2014
Springfield,Illinois,117006,39.7817213,-89.6501481,2014
Campbell,California,40584,37.2871651,-121.9499568,2014
Moreno Valley,California,201175,33.9424658,-117.2296717,2014
