City,State,Population,lat,lon
Marysville,Washington,63269,48.0517637,-122.1770818
Perris,California,72326,33.7825194,-117.22864779999999
Cleveland,Ohio,390113,41.499320000000004,-81.6943605
Worcester,Massachusetts,182544,42.262593200000005,-71.8022934
Columbia,South Carolina,133358,34.0007104,-81.0348144
Waterbury,Connecticut,109676,41.558152500000006,-73.0514965
Eagan,Minnesota,65453,44.804132200000005,-93.1668858
Southfield,Michigan,73006,42.473368799999996,-83.2218731
Lafayette,Louisiana,124276,30.2240897,-92.0198427
Boise City,Idaho,214237,43.6187102,-116.2146068
Elkhart,Indiana,51265,41.6819935,-85.9766671
Buena Park,California,82882,33.867514299999996,-117.99811809999999
Marietta,Georgia,59089,33.952602,-84.5499327
Parker,Colorado,48608,39.5186002,-104.76136329999999
West Palm Beach,Florida,102436,26.7153424,-80.0533746
Salem,Massachusetts,42544,42.51954,-70.8967155
Aurora,Illinois,199963,41.7605849,-88.3200715
Leesburg,Virginia,47673,39.1156615,-77.5636015
Doral,Florida,50213,25.8195424,-80.3553302
Westminster,California,91739,33.7513419,-117.99399209999999
Lubbock,Texas,239538,33.5778631,-101.85516650000001
Overland Park,Kansas,181260,38.9822282,-94.6707917
Jackson,Mississippi,172638,32.298757300000005,-90.1848103
Gastonia,North Carolina,73209,35.262082,-81.1873005
Daytona Beach,Florida,62316,29.2108147,-81.02283309999999
Kansas City,Missouri,467007,39.0997265,-94.5785667
Rancho Palos Verdes,California,42448,33.7444613,-118.3870173
Burnsville,Minnesota,61434,44.7677424,-93.27772259999999
Rowlett,Texas,58043,32.9029017,-96.56388000000001
Roswell,New Mexico,48611,33.3942655,-104.52302420000001
Montgomery,Alabama,201332,32.366805199999995,-86.2999689
Logan,Utah,48913,41.7369803,-111.83383590000001
Woburn,Massachusetts,39083,42.479261799999996,-71.1522765
Allentown,Pennsylvania,118577,40.6084305,-75.4901833
Mount Pleasant,South Carolina,74885,32.8323225,-79.82842579999999
Columbus,Georgia,202824,32.4609764,-84.9877094
Buffalo,New York,258959,42.8864468,-78.8783689
New Berlin,Wisconsin,39834,42.9764027,-88.10842240000001
North Richland Hills,Texas,67317,32.8342952,-97.22890290000001
Lima,Ohio,38355,40.742551,-84.1052256
Sacramento,California,479686,38.5815719,-121.49439960000001
Fort Smith,Arkansas,87650,35.385924200000005,-94.39854749999999
