Number,Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status,Last Known
0803-001,Abu,Japan,Honshu-Japan,34.5,131.6,571,Shield volcano,Holocene,Unknown
1505-096,Acamarachi,Chile,Chile-N,-23.3,-67.62,6046,Stratovolcano,Holocene,Unknown
1402-08=,Acatenango,Guatemala,Guatemala,14.501,-90.876,3976,Stratovolcano,Historical,D1
0103-004,Acigol-Nevsehir,Turkey,Turkey,38.57,34.52,1689,Maar,Holocene,U
1201-04-,Adams,United States,US-Washington,46.206,-121.49,3742,Stratovolcano,Tephrochronology,D6
0803-17=,Adatara,Japan,Honshu-Japan,37.62,140.28,1718,Stratovolcano,Historical,D1
0201-17=,Adwa,Ethiopia,Africa-NE,10.07,40.84,1733,Stratovolcano,Holocene,U
0201-11=,Afdera,Ethiopia,Africa-NE,13.08,40.85,1295,Stratovolcano,Holocene,Unknown
0104-07-,Agmagan-Karadag,Armenia,Armenia,40.275,44.75,3560,Volcanic field,Holocene,U
0804-16=,Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965,Stratovolcano,Historical,D2
1402-10=,Agua,Guatemala,Guatemala,14.465,-90.743,3760,Stratovolcano,Holocene,U
1802-09=,Agua de Pau,Portugal,Azores,37.77,-25.47,947,Stratovolcano,Historical,D5
1508-062,Aguilera,Chile,Chile-S,-50.17,-73.83,0,Stratovolcano,Radiocarbon,D7
0604-02=,Agung,Indonesia,Lesser Sunda Is,-8.342,115.508,3142,Stratovolcano,Historical,D1
0804-141,Ahyi,United States,Mariana Is-C Pacific,20.42,145.03,-137,Submarine volcano,Uncertain,U
1000-125,Akademia Nauk,Russia,Kamchatka,53.983,159.45,1180,Stratovolcanoes,Historical,D2
1000-123,Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180,Stratovolcano,Historical,D1
0803-13=,Akagi,Japan,Honshu-Japan,36.53,139.18,1828,Stratovolcano,Historical,D6
0805-07=,Akan,Japan,Hokkaido-Japan,43.38,144.02,1499,Caldera,Historical,D1
1000-32-,Akhtang,Russia,Kamchatka,55.43,158.65,1956,Shield volcano,Holocene,U
0803-23=,Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637,Stratovolcano,Historical,D1
0803-26=,Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366,Complex volcano,Historical,D1
0802-021,Akuseki-jima,Japan,Ryukyu Is,29.45,129.6,586,Stratovolcano,Holocene,U
0802-022,Akuseki-jima,Japan,Ryukyu Is,29.461,129.597,584,Stratovolcanoes,Holocene?,?
1101-32-,Akutan,United States,Aleutian Is,54.13,-165.97,1303,Stratovolcano,Historical,D1
0900-39=,Alaid,Russia,Kuril Is,50.858,155.55,2339,Stratovolcano,Historical,D1
0804-18=,Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744,Stratovolcano,Radiocarbon,D6
0201-112,Alayta,Ethiopia,Africa-NE,12.88,40.57,1501,Shield volcano,Historical,D2
0101-004,"Albano, Monte",Italy,Italy,41.73,12.7,949,Caldera,Holocene,Unknown
1503-04=,"Alcedo, Volcan",Ecuador,Galapagos,-0.43,-91.12,1130,Shield volcano,Historical,D1
0201-09=,Ale Bagu,Ethiopia,Africa-NE,13.52,40.63,1031,Stratovolcano,Holocene,U
0201-04=,Alid,Eritrea,Africa-NE,14.88,39.92,904,Stratovolcano,Holocene,U
1200-02-,Alligator Lake,Canada,Canada,60.42,-135.42,2217,Volcanic field,Holocene,U
1402-04=,Almolonga,Guatemala,Guatemala,14.82,-91.48,3197,Stratovolcano,Historical,D3
1000-45-,Alney-Chashakondzha,Russia,Kamchatka,56.7,159.65,2598,Stratovolcano,Holocene,U
1000-60-,Alngey,Russia,Kamchatka,57.7,160.4,1853,Stratovolcano,Holocene,U
0201-06=,Alu,Ethiopia,Africa-NE,13.82,40.55,429,Fissure vent,Holocene,U
0201-27-,Alutu,Ethiopia,Africa-NE,7.77,38.78,2335,Stratovolcano,Holocene,U
1101-39-,Amak,United States,Aleutian Is,55.42,-163.15,513,Stratovolcano,Historical,D4
0608-072,Amasing,Indonesia,Halmahera-Indonesia,-0.55,127.5,1030,Stratovolcano,Holocene,U
0703-088,Ambalatungan Group,Philippines,Luzon-Philippines,17.32,121.1,2329,Compound volcano,Fumarolic,U
0606-02=,Ambang,Indonesia,Sulawesi-Indonesia,0.75,124.42,1795,Complex volcano,Historical,D3
0504-02=,Ambitle,Papua New Guinea,New Ireland-SW Pacif,-4.08,153.65,450,Stratovolcano,Radiocarbon,D7
1203-20-,Amboy,United States,US-California,34.55,-115.78,288,Cinder cone,Holocene,U
