r,0-1,1-2,2-3,3-4,4-4,4-5,5-6,6+
N,0.5,1.6,0.9,0.9,0.4,0.3,0.2,0.1
NNE,0.6,1.8,1.3,0.8,0.5,0.3,0.1,0.1
NE,0.5,1.5,1.6,1.2,1.2,0.6,0.1,0.1
ENE,0.4,1.6,0.9,1,0.5,0.2,0.1,0.1
E,0.4,1.6,1,0.8,0.4,0.1,0.1,0.1
ESE,0.3,1.2,0.6,0.4,0.2,0.1,0.1,0.05
SE,0.4,1.5,0.6,0.5,0.4,0.05,0.05,0.05
SSE,0.4,1.7,0.9,0.5,0.4,0.1,0.05,0.05
S,0.6,2.2,1.4,0.8,0.7,0.1,0.1,0.05
SSW,0.4,2,1.7,0.9,0.6,0.2,0.05,0.1
SW,0.5,2.3,1.9,1.3,0.7,0.3,0.2,0.1
WSW,0.6,2.4,2.2,1.1,0.8,0.4,0.2,0.1
W,0.6,2.3,1.8,1.2,0.9,0.9,0.4,0.9
WNW,0.5,2.6,1.7,1.2,1,0.9,0.7,2.2
NW,0.4,2.3,1.8,1.3,1,0.9,0.7,1.5
NNW,0.1,0.8,0.8,1,0.7,0.3,0.4,0.2
